Sample_ID_Gt,SiO2_Gt,TiO2_Gt,Al2O3_Gt,Cr2O3_Gt,FeOt_Gt,MnO_Gt,MgO_Gt,CaO_Gt,Na2O_Gt,Ti_Gt,Ni_Gt,Zn_Gt,Ga_Gt,Sr_Gt,Y_Gt,Zr_Gt
173/034/0021/2,41.92,0.03,21.83,2.73,8.91,0.51,18.18,5.34,0,179.845333014,7.04,2.31,2.11,,10.83,1.2
EAK807,41.46,0.1,18.27,6.33,6.6,0.38,20.05,5.85,0.02,599.484443379,8.03,0,0.337,,2.091,14.74
EAK807,40.99,0,18.37,7.07,6.75,0.24,19.91,5.68,0,0,8.03,0,0.337,,2.091,14.74
173/033/K069/10,42.78,0.21,20.67,3.08,6.9,0.28,21.76,4.58,0,1258.9173311,8.21,15.64,6.12,,2.39,20.11
173/034/0021/2,42.32,0.03,22.22,2.51,9.41,0.51,19.03,5.18,0.12,179.845333014,8.25,5.89,2.22,,9.44,5.01
173/033/K017/6,42.33,0.11,20.21,4.65,6.12,0.35,20.72,5.16,-0.99,659.432887717,8.67,3.97,2.91,,9.72,15.93
FrankSmith,41.2,0,20.4,5.65,5.96,0.27,21.6,4.38,0.05,0,8.8394,7.6994,2.5752,,15.065,16.85
173/034/K001/167,43.41,0.03,18.55,5.8,6.11,0.2,20.18,4.93,0,179.845333014,9.11,8.83,2.33,,6.05,4.63
EAK130,40.61,0.17,19.85,5.49,7.17,0.37,21.22,5.25,0,1019.12355374,9.13,0,6.94,,17.81,6.66
173/034/0021/2,41.91,0.02,21.6,3.29,8.39,0.6,19.44,5.09,0,119.896888676,9.46,4.82,2.52,,7.56,2.3
COY553,43.06,0.08,20.76,2.56,7.1,0.33,21.28,4.44,-0.99,800,9.6,,1.16,,1.43,1.87
173/034/0021/2,41.96,0.07,22.38,2.05,9.17,0.47,19.43,4.54,0.02,419.639110365,9.83,4.05,4.11,,30.67,21.52
173/034/K007/203,42.91,0.02,20,5.05,6.38,0.16,21.61,4.83,0,119.896888676,9.83,9.02,2.51,,5.22,13.22
COY553,43.18,0.06,21.87,2.46,6.95,0.31,21.04,4.45,-0.99,600,9.9,,1,,1.45,0.84
173/034/0021/2,41.78,0.14,18.9,6.69,6.46,0.43,19.44,5.54,0.07,839.27822073,9.95,4.42,1.93,,2.48,0.66
EAK807,42.22,0,21.22,4.17,6.39,0.34,20.85,5.14,0.02,0,9.96,0,0.656,,0.12,1.453
EAK807,41.99,0,20.97,3.99,6.35,0.21,20.85,5.13,0,0,9.96,0,0.656,,0.12,1.453
COY553,42.98,0.08,22.79,2.5,7.12,0.43,20.6,4.81,-0.99,800,10.1,,1.2,,1.68,2.4
COY553,42.49,0.18,21.27,3.64,7.93,0.45,18.62,5.11,-0.99,1800,10.1,,1.41,,20.8,45.6
COY553,42.42,0.13,22.16,2.15,8.33,0.47,20.15,4.49,-0.99,1300,10.2,,1.96,,10.4,11.5
173/034/0021/2,42.16,0.01,21.62,2.85,8.04,0.42,19.45,4.96,0.02,59.9484443379,10.25,3.7,2.1,,6.97,11.4
173/034/0021/2,41.91,0.03,21.74,3.33,8.05,0.45,19.71,4.99,0.1,179.845333014,10.26,-0.77,0.99,,4.03,14.83
