Sample no.,Sample description,Date analyzed,No. points,SiO2_Liq,TiO2_Liq,Al2O3_Liq,Cr2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Sum,,T(MgO),T(CaO),Comments
KI-112,1960 core,3-Jul-84,10,54.71,3.72,13.04,0.00,10.72,0.16,3.72,7.07,2.72,1.13,0.99,97.98,,1087,1086,
KI-113R,1960 core ooze,3-Jul-84,9,53.66,3.96,12.86,0.00,11.31,0.17,3.93,7.40,2.67,1.49,0.86,98.31,,1092,1091,
KI-113,1960 core ooze,6-Oct-83,7,54.27,3.98,13.11,0.01,11.36,0.17,3.86,7.41,2.08,1.65,0.83,98.73,,1090,1091,
KI-168,1961 core,3-Jul-84,9,53.03,4.22,12.60,0.00,12.28,0.19,4.02,7.71,2.67,1.11,0.71,98.54,,1094,1097,
KI-169,1961 core brown glass,3-Jul-84,4,52.81,4.31,12.62,0.00,12.50,0.19,4.10,7.67,2.86,1.40,0.72,99.18,,1096,1096,
KI-184,1961 core,3-Jul-84,10,62.95,1.77,13.06,0.00,9.05,0.13,1.09,3.55,3.80,3.08,0.62,99.10,,1027,1030,
KI-184R,1961 core,6-Nov-84,9,65.00,1.72,13.04,0.00,7.76,0.12,0.94,3.03,3.43,3.50,0.37,98.91,,1023,1023,
KI-186,1961 core,3-Jul-84,7,55.05,3.51,12.38,0.00,13.45,0.20,2.80,6.40,3.09,1.73,0.97,99.58,,1067,1076,
KI-186R,1961 core,16-Nov-84,8,54.91,3.49,12.00,0.00,13.66,0.20,2.74,6.25,3.23,1.91,0.85,99.24,,1064,1074,
KI-227,1962  segregation vein,16-Nov-84,6,72.05,0.85,13.10,0.00,3.90,0.05,0.18,1.31,2.30,4.28,0.06,98.08,,,993,
KI-231,1962 core,3-Jul-84,6,65.58,1.89,14.07,0.00,5.69,0.07,0.93,2.33,2.48,3.90,0.57,97.51,,1022,1010,
KI-231 R,1962 core,16-Nov-84,6,66.60,1.67,14.16,0.00,5.41,0.05,0.85,2.10,2.82,4.22,0.32,98.20,,1021,1007,
KI-235,1962 core,3-Jul-84,10,55.49,3.67,12.04,0.01,12.99,0.19,1.99,5.94,2.59,2.46,1.18,98.55,,1048,1068,
KI-235 R,1962 core,16-Nov-84,8,55.38,3.61,12.17,0.00,12.92,0.20,2.09,6.21,2.86,2.19,1.02,98.65,,1050,1073,
KI-236,1962  ooze,16-Nov-84,6,54.23,3.44,12.50,0.00,13.57,0.20,3.14,7.07,3.57,1.77,0.81,100.30,,1074,1087,
KI67-3-70.0,segregation vein,3-Nov-82,6,74.96,0.84,12.92,0.00,2.04,0.04,0.02,0.55,2.81,4.73,0.08,98.99,,,980,
KI67-3-72.2,segregation vein,3-Nov-82,5,73.35,0.73,13.28,0.00,2.28,0.04,0.11,0.78,3.15,5.07,0.16,98.95,,,983,
KI67-3-75.0,matrix glass,1-Nov-11,8,69.67,1.14,13.75,0.00,4.44,0.05,0.48,1.49,2.91,4.73,0.21,98.87,,1021,995,
KI67-3-75.7 R,segregation vein,14-Dec-82,4,68.17,1.15,12.53,0.00,6.51,0.12,0.51,2.47,2.39,3.29,0.18,97.32,,,1010,
KI67-3-75.7,segregation vein,3-Nov-82,5,67.81,1.04,12.78,0.00,7.14,0.12,0.48,2.62,3.28,3.22,0.18,98.67,,,1014,
KI67-3-77.3,matrix glass,3-Nov-82,5,66.48,1.62,13.76,0.00,6.81,0.09,0.99,2.86,4.00,3.52,0.46,100.59,,1031,1018,
KI67-3-80.7,matrix glass,3-Nov-82,5,58.14,2.23,12.78,0.00,11.53,0.17,2.20,5.73,2.94,2.13,1.10,98.95,,1057,1064,
KI67-3-80.7  R,matrix glass,22-Jun-10,7,57.90,2.34,12.66,0.00,11.72,0.18,2.30,5.88,2.59,2.14,1.13,98.84,,1058,1066,
KI67-3-82.4,matrix glass,7-Mar-83,6,57.55,2.51,12.79,0.00,12.03,0.19,2.45,6.12,2.12,1.86,0.98,98.60,,1063,1072,
KI67-3-83.0,matrix glass,3-Nov-82,5,55.27,2.79,12.65,0.00,12.73,0.19,2.78,6.56,3.08,1.82,0.98,98.85,,1068,1078,
KI67-3-83±,matrix glass,15-Jun-79,3,55.48,2.96,12.51,nd,12.67,0.34,2.79,6.56,3.50,1.81,0.89,99.51,,1068,1078,
KI67-3-83± R,matrix glass,14-Dec-82,4,54.93,2.70,12.48,0.00,12.49,0.19,2.70,6.35,2.95,1.84,0.81,97.44,,1066,1074,
KI67-3-83.8,matrix glass,7-Mar-83,7,55.05,3.11,12.56,0.00,13.15,0.21,3.18,6.98,2.71,1.62,0.77,99.34,,1076,1080,
KI67-3-84.5,matrix glass,7-Mar-83,7,54.50,3.29,12.63,0.00,13.20,0.21,3.39,7.22,2.61,1.48,0.70,99.23,,1084,1090,
KI67-3-87.0 R,glass in bit,15-Jun-79,4,49.86,4.41,12.59,nd,12.94,0.20,5.51,9.34,2.83,0.90,0.42,99.00,,1125,1125,
KI67-3-87.0,glass in bit,3-Nov-82,4,50.00,4.38,12.67,0.00,12.91,0.25,5.50,9.40,2.59,0.91,0.42,99.03,,1125,1120,
KI67-1-69.5,vesicle lining in foundered crust ,19-Mar-86,9,70.72,1.13,14.06,0.00,1.81,0.01,0.36,0.53,3.73,5.99,0.16,98.50,,1017,978,
KI67-1-69.5 R,vesicle lining in foundered crust ,3-Dec-87,5,71.45,1.11,14.34,0.00,1.73,0.01,0.32,0.51,4.09,6.03,0.09,99.68,,1016,977,
KI67-1-75.8,matrix glass,19-Mar-86,5,69.34,1.66,13.40,0.00,3.63,0.04,0.62,1.45,3.08,3.21,0.33,96.76,,1025,993,
KI67-1-75.8,segregation vein,19-Mar-86,8,68.37,1.21,13.00,0.00,4.80,0.08,0.62,2.36,3.12,2.86,0.48,96.90,,,1008,
KI67-1-79.0,matrix glass,19-Mar-86,5,61.63,2.10,13.04,0.00,8.87,0.12,1.58,4.20,3.30,2.43,0.75,98.02,,1044,1039,
KI67-1-79.0 ,segregation vein,19-Mar-86,7,59.31,2.03,12.32,0.00,10.80,0.17,1.71,4.84,3.30,2.07,0.60,97.15,,1046,1050,
KI67-1-82.8,matrix glass,19-Mar-86,8,52.96,3.40,12.47,0.00,12.59,0.17,3.32,7.05,3.06,1.36,0.77,97.15,,1079,1086,
KI67-1-84.8,matrix glass,19-Mar-86,8,53.20,3.80,12.45,0.00,13.09,0.17,3.74,7.45,3.12,1.28,0.69,98.99,,1087,1093,
KI67-1-86.9,matrix glass,15-Jun-79,2,53.00,4.16,12.48,nd,13.48,0.31,4.08,7.96,3.12,1.23,0.70,100.52,,1094,1101,
KI67-1-86.9R,matrix glass,19-Mar-86,9,51.01,4.15,12.16,0.00,12.93,0.18,4.02,7.78,3.17,1.38,0.56,97.34,,1093,1097,
KI67-1-89.0,glass in bit,15-Jun-79,3,50.38,4.56,12.32,nd,13.32,0.27,4.97,9.11,3.03,0.90,0.51,99.37,,1113,1117,
