,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Fe3Fet_Liq,NiO_Liq,CoO_Liq,CO2_Liq,SiO2_Liq_mol_frac,MgO_Liq_mol_frac,MnO_Liq_mol_frac,FeOt_Liq_mol_frac,CaO_Liq_mol_frac,Al2O3_Liq_mol_frac,Na2O_Liq_mol_frac,K2O_Liq_mol_frac,TiO2_Liq_mol_frac,P2O5_Liq_mol_frac,Cr2O3_Liq_mol_frac,Si_Liq_cat_frac,Mg_Liq_cat_frac,Mn_Liq_cat_frac,Fet_Liq_cat_frac,Ca_Liq_cat_frac,Al_Liq_cat_frac,Na_Liq_cat_frac,K_Liq_cat_frac,Ti_Liq_cat_frac,P_Liq_cat_frac,Cr_Liq_cat_frac,Mg_Number_Liq_NoFe3,Mg_Number_Liq_Fe3,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Si_Cpx_cat_6ox,Mg_Cpx_cat_6ox,Fet_Cpx_cat_6ox,Ca_Cpx_cat_6ox,Al_Cpx_cat_6ox,Na_Cpx_cat_6ox,K_Cpx_cat_6ox,Mn_Cpx_cat_6ox,Ti_Cpx_cat_6ox,Cr_Cpx_cat_6ox,oxy_renorm_factor,Al_IV_cat_6ox,Al_VI_cat_6ox,En_Simple_MgFeCa_Cpx,Fs_Simple_MgFeCa_Cpx,Wo_Simple_MgFeCa_Cpx,Cation_Sum_Cpx,Ca_CaMgFe_Cpx,Lindley_Fe3_Cpx,Lindley_Fe2_Cpx,Lindley_Fe3_Cpx_prop,CrCaTs,a_cpx_En,Mgno_Cpx,Jd,"Jd_from 0=Na, 1=Al",CaTs,CaTi,DiHd_1996,EnFs,DiHd_2003,Di_Cpx,FeIII_Wang21,FeII_Wang21,Kd_Fe_Mg_Fe2,Kd_Fe_Mg_Fe2_Lind,Kd_Fe_Mg_Fet,lnK_Jd_liq,lnK_Jd_DiHd_liq_1996,lnK_Jd_DiHd_liq_2003,Kd_Fe_Mg_IdealWB,Mgno_Liq_noFe3,Mgno_Liq_Fe2,DeltaFeMg_WB,Sample_ID_Liq,Sample_ID_Cpx,P_kbar,T_K
0,52.15,1.12,10.24,19.23,0.55,4.97,9.96,1.51,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473061370136225,0.07775725837450488,0.004889042602926578,0.16877623068038458,0.11199753905284926,0.06332903662391175,0.015362790007100866,0.0017405155113270022,0.008841450133372893,0.0,0.0,0.5065621563386322,0.0719686511978377,0.004525079833534342,0.1562117534779882,0.10365992823833325,0.11722906498400354,0.028438226824344586,0.0032218870972999824,0.00818325200802633,0.0,0.0,0.3153952043025553,0.3153952043025553,52.33,0.23,1.4,12.64,0.52,15.49,16.41,0.17,0.0,0.0,1.970609646855573,0.8695805816165794,0.3980640320328262,0.6621121952491641,0.06213478797778807,0.012412118938755799,0.0,0.016585873182337018,0.006514891385944114,0.0,0.0,0.02939035314442706,0.03274443483336101,0.4506166671399917,0.20627678586092188,0.3431065469990864,3.9980141272389678,0.3431065469990864,0.0,0.3980640320328262,0.0,0.0,0.31334408298516436,0.685974168497006,0.012412118938755799,0,0.02033231589460521,0.004529018624910926,0.637250860729648,0.31519687645987876,0.637250860729648,0.4314965107829242,-0.00397174552206638,0.40203577755489256,0.21089814541581023,0.21089814541581023,0.21089814541581023,2.6747810028416064,-1.9791019758888395,-1.9791019758888395,0.2365911953404431,0.3153952043025553,0.3153952043025553,0.025693049924632866,0,1,0.001,1413.15
1,50.59,1.1,9.59,21.1,0.5,5.1,10.16,1.64,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530533128396211,0.0797308786701358,0.00444122688264334,0.1850488020258914,0.11416018734795556,0.059264326786913415,0.01667281066490433,0.001471631428877078,0.008677007796468229,0.0,0.0,0.49241582556207936,0.07400244083122426,0.004122137308439831,0.17175356964853372,0.1059581011824834,0.11001270548128599,0.03094983287025867,0.0027317977565858046,0.00805358935910894,0.0,0.0,0.30111456084760224,0.30111456084760224,52.05,0.24,1.66,13.79,0.51,14.65,16.38,0.21,0.0,0.0,1.9647225013652352,0.8243784974850588,0.43531210633364015,0.6624719874264505,0.07384914788278457,0.015369046243118899,0.0,0.01630556260627808,0.0068142992361831176,0.0,0.0,0.035277498634764815,0.03857164924801976,0.42888073113057423,0.22646997101928365,0.34464929785014214,3.999223148578749,0.34464929785014214,0.0,0.43531210633364015,0.0,0.0,0.3077877457316962,0.6544217909084716,0.015369046243118899,0,0.02320260300490086,0.006037447814931977,0.6332319366066177,0.31322933360604066,0.6332319366066177,0.40911000063730213,-0.0015537028425022803,0.43686580917614243,0.22751726703653968,0.22751726703653968,0.22751726703653968,2.924010809920526,-1.6840617631825525,-1.6840617631825525,0.2307224531089757,0.30111456084760224,0.30111456084760224,0.003205186072436028,1,2,0.001,1413.15
2,72.57,0.32,14.98,2.83,0.05,0.34,2.31,2.93,3.53,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.7872593934182901,0.0054985501543353184,0.00045942630700262745,0.025674568757233996,0.02685009609519251,0.09576337888446039,0.030813816380505857,0.02442665386960934,0.002611200260634772,0.0006429158727350646,0.0,0.6835944990591734,0.004774511005812111,0.00039892988107313526,0.022293787936851463,0.023314523959108296,0.1663068603919579,0.05351261743927227,0.04242039245333056,0.0022673621287150458,0.0011165157447057708,0.0,0.17638269980307086,0.17638269980307086,48.94,0.5,3.77,21.68,0.24,10.4,12.17,0.53,0.0,0.0,1.9231329024506445,0.6092383286278055,0.7124601943789814,0.5123999134161293,0.17459974242064347,0.0403801883350117,0.0,0.007988067055456679,0.014778991910934082,0.0,0.0,0.0768670975493555,0.09773264487128797,0.3321731901238719,0.3884525389861347,0.27937427088999356,3.994978328595607,0.27937427088999356,0.0,0.7124601943789814,0.0,0.0,0.3991482468698135,0.4609427547013572,0.0403801883350117,0,0.05735245653627626,0.00975732050653962,0.4452901363733135,0.43820419331673666,0.4452901363733135,0.20402388086490808,-0.010043342808788932,0.7225035371877704,0.2504484914378908,0.2504484914378908,0.2504484914378908,2.2731232009637212,-5.046699114459207,-5.046699114459207,0.19473535237445244,0.17638269980307086,0.17638269980307086,0.05571313906343833,2,3,10.0,1248.15
3,44.86,1.25,14.12,8.98,0.18,11.82,11.45,3.37,3.03,0.18,0.77,0.0,0.0,0.0,0.0,0.0,0.46119486724544134,0.18115537239939822,0.0015674107756615608,0.07720715095355105,0.12612576662273264,0.08554346001612308,0.033587079222652826,0.019869931475766288,0.00966639823034084,0.0033510530674344093,0.0007315099908978656,0.40346576199562306,0.1584796266299872,0.001371213402134178,0.06754290692139847,0.11033823694018126,0.14967147178062337,0.058765773317087704,0.034765508521604656,0.00845642700026419,0.0058631839830110685,0.0012798895080848752,0.7011603759079813,0.7011603759079813,51.16,0.37,7.15,3.42,0.05,16.94,19.03,0.74,0.0,1.32,1.8453180118391133,0.9108830833991022,0.10316272019591195,0.7354490809934456,0.30395104590229755,0.051751094848736814,0.0,0.0015275513430267295,0.010038570723772688,0.03764152177661719,0.0,0.15468198816088674,0.1492690577414108,0.5206548995502622,0.05896714594863152,0.42037795450110627,3.9997226810220243,0.42037795450110627,0.0,0.10316272019591195,0.0,0.018820760888308596,0.17094809304807945,0.8982631598628296,0.051751094848736814,0,0.09751796289267399,0.028582012634106375,0.5905283445783566,0.2117587295083288,0.5905283445783566,0.5296537928340173,-0.0005546379559498299,0.10371735815186178,0.2657381088237537,0.2657381088237537,0.2657381088237537,3.58752585926837,-1.3923891204559566,-1.3923891204559566,0.2760769477344863,0.7011603759079813,0.7011603759079813,0.010338838910732617,3,4,20.0,1713.15
4,47.72,0.57,18.55,8.08,0.21,10.42,11.81,2.39,0.08,0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.49374319490023755,0.16072260115009693,0.0018403698495326444,0.069914626633768,0.13092534345271692,0.11310232210787727,0.023972632661769955,0.0005279821252190346,0.004436137691143542,0.0005693894610572986,0.00024539996658084855,0.4337100376108903,0.14118069091324525,0.0016166032968211905,0.06141385979610245,0.11500641673566743,0.19870091530151793,0.042115705171264534,0.0009275718622629064,0.0038967573928015424,0.0010003172787841766,0.00043112464064237304,0.696856163046488,0.696856163046488,50.2,0.35,9.8,4.7,0.14,18.8,16.0,0.45,0.0,0.13,1.7922095003151728,1.0005791591625155,0.14032624690502823,0.6120377035501569,0.4123519465129105,0.031149043066831222,0.0,0.0042334869043074005,0.009399020055205704,0.00366928095630266,0.0,0.2077904996848272,0.2045614468280833,0.5707995619896256,0.08005179753701876,0.3491486404733558,4.005955387428431,0.3491486404733558,0.011910774856861064,0.12841547204816717,0.08487916636808641,0.00183464047815133,0.2770351138599481,0.8770008825672819,0.031149043066831222,0,0.17341240376125208,0.017189047961787565,0.41960161134896584,0.36065189735928893,0.41960161134896584,0.36663205663830783,0.011910774856861064,0.12841547204816717,0.3224009900990098,0.2950358628231602,0.3224009900990098,2.98507550055787,-1.576549044524919,-1.576549044524919,0.27212216415751445,0.696856163046488,0.696856163046488,0.05027882594149535,4,5,11.0,1563.15
5,49.68,3.06,15.53,12.9,0.0,5.08,10.66,2.76,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5296602810262554,0.08073987585222754,0.0,0.11501686442957931,0.12177164150111472,0.09756952592379194,0.028526076547615253,0.0021761776348384787,0.024539557084577304,0.0,0.0,0.469443879006155,0.07156066231189841,0.0,0.10194074376188737,0.10792757884066541,0.1729539418500818,0.05056596655272021,0.0038575415484264886,0.02174968612816541,0.0,0.0,0.41244194730245065,0.41244194730245065,49.16,1.81,5.07,10.36,0.0,14.82,19.08,0.34,0.01,0.0,1.8258988336261053,0.820581244178179,0.32179595923787374,0.7593051467599163,0.22193700020085852,0.024484480367116316,0.0004738308983475836,0.0,0.050567663318900426,0.0,0.0,0.17410116637389472,0.0478358338269638,0.4315027923050597,0.16921646204903615,0.39928074564590416,4.025044158587297,0.39928074564590416,0.049614486276246386,0.27218147296162737,0.15417995425968362,0.0,0.18910437161187424,0.7183034816249336,0.024484480367116316,0,0.02335135345984748,0.07537490645702362,0.6605788868430452,0.2408991582865037,0.6605788868430452,0.4745005793380537,0.049614486276246386,0.27218147296162737,0.27528690539706446,0.23284318291465525,0.27528690539706446,2.5419037042388606,-2.5337350292063094,-2.5337350292063094,0.24260444758223765,0.41244194730245065,0.41244194730245065,0.032682457814826815,5,6,2.0,1348.15
6,54.84,0.45,19.8,6.31,0.0,4.9,9.68,3.95,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854367290044579,0.07798070282748597,0.0,0.056333647610205595,0.11072125840177463,0.12455886132731919,0.04087866994698589,0.0004766604343284406,0.0036134704474423047,0.0,0.0,0.5021267715649873,0.06688374100087603,0.0,0.04831714718872175,0.09496518627971577,0.21366728737520496,0.07012294770523152,0.0008176595459909454,0.0030992593392716204,0.0,0.0,0.5805754188472573,0.5805754188472573,50.72,0.26,4.05,5.63,0.1,16.49,22.3,0.21,0.0,0.0,1.8731575491087742,0.9078712498817261,0.17388393146621378,0.8824153645182284,0.17628160685288816,0.015037010195679055,0.0,0.003128096836474001,0.0072226718513194186,0.0,0.0,0.1268424508912258,0.049439155961662345,0.46221610022227944,0.08852791924416813,0.4492559805335525,4.038997480711304,0.4492559805335525,0.07799496142260368,0.0958889700436101,0.44854611213893764,0.0,0.09273799036041755,0.8392530866060899,0.015037010195679055,0,0.03440214576598329,0.046220152562621256,0.8017930661896239,0.13998105757915796,0.8017930661896239,0.6709706820869066,0.07799496142260368,0.0958889700436101,0.26512730666138734,0.1462054840365542,0.26512730666138734,1.3814049334490215,-4.2908183918104665,-4.2908183918104665,0.26510107410873274,0.5805754188472573,0.5805754188472573,2.623255265460367e-05,6,7,2.035,1293.15
7,50.93,0.47,18.31,6.18,0.07,9.96,11.81,1.97,0.07,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5258748638862507,0.15331216635524927,0.0006121979957686544,0.053364593495390265,0.13065672567516315,0.11140995540280814,0.01971932770436682,0.0004610365124298157,0.003650363122036008,0.0,0.0009387698505370413,0.46433673869894443,0.1353715041677004,0.0005405582968778962,0.04711984353563677,0.11536721386670201,0.1967454195016425,0.034823525307579664,0.0008141716035665158,0.0032231959037306887,0.0,0.0016578291176189538,0.7417904368608738,0.7417904368608738,52.9,0.18,6.07,4.64,0.11,23.1,12.9,0.31,0.0,0.63,1.8661668698760205,1.214829497420134,0.1368890714697156,0.48759321052971866,0.2523715583762824,0.02120330860358532,0.0,0.003286794981888486,0.004776357024641037,0.017570653287336792,0.0,0.13383313012397946,0.11853842825230293,0.6604804639502161,0.07442407154751855,0.26509546450226534,4.004687321569323,0.26509546450226534,0.009374643138642988,0.12751442833107263,0.06848350301446066,0.008785326643668396,0.4196976343696979,0.898726566027615,0.02120330860358532,0,0.0973351196487176,0.018249005237630928,0.3632237589997017,0.49424740494507385,0.3632237589997017,0.3256481105992343,0.009374643138642988,0.12751442833107263,0.32372546547303827,0.3015556115824578,0.32372546547303827,2.6639992555289393,-1.718242636666698,-1.718242636666698,0.2761631412811364,0.7417904368608738,0.7417904368608738,0.04756232419190187,7,8,10.0,1538.15
8,72.85,0.05,15.43,2.65,0.13,0.95,2.23,2.7,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7862960096542828,0.015285817368476302,0.0011884611647537343,0.023919846234788354,0.025789000757554765,0.09814074744920562,0.028251233944968944,0.020722948897299347,0.0004059345286701566,0.0,0.0,0.6854553008515811,0.013325445397692,0.0010360436721469177,0.02085217932671357,0.022481618952515908,0.17110883113389297,0.049256152455082254,0.03613055387925914,0.0003538743311160735,0.0,0.0,0.3898800435008968,0.3898800435008968,50.8,0.7,4.2,8.5,0.23,15.0,19.0,0.46,0.0,0.3,1.894319551534831,0.8338526898170394,0.26507236269544104,0.7591301958576013,0.1845847149088245,0.033257875140674145,0.0,0.007264445876850498,0.01963437328053945,0.008844297459170406,0.0,0.105680448465169,0.0789042664436555,0.44877712358042604,0.14266118455194865,0.40856169186762525,4.005960506570972,0.4085616918676253,0.011921013141938322,0.2531513495535027,0.04497267470934023,0.004422148729585203,0.18408047800418867,0.7587832936712293,0.033257875140674145,0,0.04564639130298136,0.03001702858109382,0.679044627243941,0.20994021263426976,0.679044627243941,0.5118681652263191,0.011921013141938322,0.2531513495535027,0.20314465408805032,0.194008695640807,0.20314465408805032,2.128056765656186,-5.411460119137421,-5.411460119137421,0.2501336926228486,0.3898800435008968,0.3898800435008968,0.0469890385347983,8,9,10.0,1123.15
9,63.16,1.02,16.89,5.09,0.1,1.98,4.72,4.77,1.98,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.6847624857860486,0.0320015912899569,0.0009182965770387143,0.046149990379121354,0.05482933434984281,0.10790818993486914,0.0501341157359475,0.013692778207003896,0.008318164106415903,0.0012850536337552197,0.0,0.5837602133912991,0.027281365653146004,0.0007828480924349453,0.03934287989038546,0.0467420230876486,0.18398352506340374,0.08547869577465418,0.02334619461188708,0.007091237260480379,0.002191017174660462,0.0,0.40947296693134444,0.40947296693134444,50.1,1.04,3.28,11.3,0.33,14.5,18.9,0.34,0.0,0.05,1.8840708612717967,0.8128979995783676,0.35538078678626656,0.761543029795764,0.14537518019255755,0.02479051571695654,0.0,0.010511351857123475,0.029418621607921015,0.0014865587171520663,0.0,0.11592913872820332,0.029446041464354228,0.4212295626317052,0.1841521242066469,0.3946183131616478,4.025474905523906,0.39461831316164786,0.05094981104781153,0.304430975738455,0.1433668136889286,0.0007432793585760331,0.1953282901618657,0.6958011638057237,0.02479051571695654,0,0.0046555257473976895,0.05563680649040281,0.7005074181993876,0.23388568408262334,0.7005074181993876,0.4830724829468875,0.05094981104781153,0.304430975738455,0.3031501930763499,0.2596885158258101,0.3031501930763499,1.5316329876277612,-4.96074502436389,-4.96074502436389,0.23841901646786462,0.40947296693134444,0.40947296693134444,0.06473117660848526,9,10,1.0,1228.15
