,Data Source,Unnamed: 1,T (C),P (kbar),T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Unnamed: 17,SiO2_Amp,TiO2_Amp,Al2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,Cr2O3_Amp,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
0,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,950,12.0,1223.15,55.3,0.68,15.4,5.91,0.22,1.6,6.04,2.88,1.45,,,9.1,,41.0,1.51,15.1,13.8,0.36,11.6,10.8,2.13,0.78,,0.6823780041275547,0.2878126240571655,0.19207749909528715,0.19258545979778527,0.2961916811329822,0.06873295793736588,0.016561388608737196,0.005074925638242384,0.0188990963478435,0.0,0.0,0.0,5.984020245456849,2.523933302126485,1.6843972641709966,1.688851755829958,2.597412293061476,0.6027442404934972,0.14523282422367867,0.04450386381116964,0.16573303137302633,0.0,0.0,0.0,1.4824338303990752,5.984020245456849,2.0159797545431513,0.0,0.0,0.9774005769016725,2.523933302126485,0.7069966872693241,0.04450386381116964,1.688851755829958,0.31114824417004194,0.29159599632345523,0.14523282422367867,0.5814325385183245,0.16573303137302633,45.02259942309833,97.07999999999998,1.9385673166757136,0.9774005769016725,0.7069966872693241,8.89928265687128,5.792311880249058,-0.0,99.91016185379604,,,True,0.7811785802881064,0.599746921579656,0.31114824417004194,2.0,0.4368288205471339,N/A,Tschermakitic pargasite
1,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,900,12.0,1173.15,61.6,0.5,16.4,3.26,0.06,0.82,4.87,3.08,1.9,,,8.7,,40.7,1.65,15.0,16.5,0.25,10.1,10.5,2.08,0.7,,0.6773849943412555,0.250595474394601,0.2296578793530607,0.18723586369229123,0.29423014682084325,0.06711950822052631,0.014862784648866713,0.0035242539154461,0.020651330446319057,0.0,0.0,0.0,5.965949831784402,2.2070758000246244,2.0226715946472638,1.6490471132820603,2.591380543702134,0.5911433263547758,0.13090137560839343,0.03103924980574469,0.18188298003582984,0.0,0.0,0.0,1.4760440792715257,5.965949831784402,2.0340501682155976,0.0,0.0,1.0928149041301154,2.2070758000246244,0.9298566905171484,0.03103924980574469,1.6490471132820603,0.35095288671793967,0.24019043963683617,0.13090137560839343,0.5573303754865364,0.18188298003582984,44.907185095869885,97.47999999999999,1.930211488278149,1.0928149041301154,0.9298566905171484,9.907247875366723,7.585331911584277,-0.0,100.40279127522913,,,True,0.7035777169828239,0.5217984891496891,0.35095288671793967,2.0,0.3710918152452296,N/A,Tschermakitic pargasite
2,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,850,12.0,1123.15,60.3,0.3,16.5,2.31,0.06,0.54,5.02,2.88,1.67,,,11.0,,40.5,1.31,15.2,16.8,0.35,9.4,10.9,2.22,0.82,,0.6740563211503894,0.2332274712187376,0.23383347715948,0.19436865849961663,0.2981532154451212,0.07163716742767712,0.017410690588672437,0.00493395548162454,0.016395904778592707,0.0,0.0,0.0,5.999404425412161,2.0758293914807737,2.0812231169138515,1.7299684809332958,2.6536977164453255,0.6376030100216348,0.15496297696444045,0.04391442290864681,0.14593092683924108,0.0,0.0,0.0,1.4606003452339456,5.999404425412161,2.000595574587839,0.0,0.0,0.8031286301992111,2.0758293914807737,1.2780944867146404,0.04391442290864681,1.7299684809332958,0.2700315190667042,0.3675714909549306,0.15496297696444045,0.6531021418574863,0.14593092683924108,45.19687136980079,97.5,1.9100158360751596,0.8031286301992111,1.2780944867146404,7.204827703455603,10.317004074337673,-0.0,100.13184761386844,,,True,0.6189256127654508,0.4993512560375187,0.2700315190667042,2.0,0.5225344679193711,N/A,Mg-hastingsite
3,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,900,12.0,1173.15,54.8,0.57,16.4,3.23,0.14,0.77,5.55,2.2,1.43,,,11.0,,40.0,1.85,16.0,15.5,0.37,9.48,10.6,1.9,0.82,,0.6657346381732241,0.2352123858674077,0.21573921999832976,0.18901906239412256,0.3138454899422328,0.06131108923990384,0.017410690588672437,0.005215895794860228,0.023154522015569855,0.0,0.0,0.0,5.93223492447631,2.095932898941286,1.9224112162245066,1.684312966504256,2.7966175553573196,0.5463314720181398,0.15514335719827613,0.04647785682536152,0.2063255481752153,0.0,0.0,0.0,1.4589021517916245,5.93223492447631,2.06776507552369,0.0,0.0,0.8561607371147062,2.095932898941286,1.0662504791098004,0.04647785682536152,1.684312966504256,0.315687033495744,0.2306444385223958,0.15514335719827613,0.7288524798336296,0.2063255481752153,45.143839262885294,96.52,1.9077951215736628,0.8561607371147062,1.0662504791098004,7.671646182685075,8.596954848536335,-0.0,99.19639615279507,,,True,0.6628119398417208,0.521591192509109,0.315687033495744,2.0,0.3857877957206719,N/A,Tschermakitic pargasite
4,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,850,12.0,1123.15,65.8,0.23,13.7,1.94,0.09,0.26,3.3,1.01,1.98,,,9.6,,41.4,1.67,13.6,18.1,0.49,8.48,10.4,1.73,0.69,,0.689035350509287,0.21040095275903137,0.25192773432063026,0.1854526649904599,0.26676866645089786,0.055825360202649284,0.014650459153882902,0.006907537674274356,0.020901649603244137,0.0,0.0,0.0,6.19489594319713,1.8916475152230476,2.265001495450387,1.667345457900439,2.3984315584785096,0.5019079169033859,0.13171758155990457,0.06210345678812424,0.1879200308627994,0.0,0.0,0.0,1.4459418913173652,6.19489594319713,1.80510405680287,0.0,0.0,0.8676200791374598,1.8916475152230476,1.3973814163129274,0.06210345678812424,1.667345457900439,0.332654542099561,0.16925337480382485,0.13171758155990457,0.5933275016756396,0.1879200308627994,45.13237992086254,96.56000000000002,1.890847088645785,0.8676200791374598,1.3973814163129274,7.705264064932887,11.166705049011304,-0.0,99.22281620258998,,,True,0.5751386061355347,0.4550895469801946,0.332654542099561,2.0,0.3009709563637294,N/A,Tschermakitic pargasite
5,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,950,8.0,1223.15,54.0,0.84,16.1,6.2,0.26,2.03,6.26,2.92,1.47,,,7.6,,42.5,2.92,12.5,12.5,0.4,13.2,10.5,2.24,0.51,,0.7073430530590507,0.32751091703056767,0.1739832419341369,0.18723586369229123,0.24519178901736938,0.07228254731441296,0.01082860024417432,0.005638806264713761,0.0365465969110616,0.0,0.0,0.0,6.145816845400876,2.845609499145129,1.5116698106696602,1.6268164650331287,2.1303719896307887,0.6280337312881182,0.09408531476339073,0.048993300181230076,0.31753855497231714,0.0,0.0,0.0,1.4962144042168999,6.145816845400876,1.8541831545991236,0.0,0.0,0.9671652335050496,2.845609499145129,0.5445045771646106,0.048993300181230076,1.6268164650331287,0.3731835349668713,0.25485019632124695,0.09408531476339073,0.276188835031665,0.31753855497231714,45.03283476649495,97.27000000000001,1.956588067052869,0.9671652335050496,0.5445045771646106,8.887949955208384,4.502509189849126,-0.0,100.11704721211038,,,True,0.839384585619218,0.653070252516377,0.3731835349668713,2.0,0.34893551108463766,N/A,Tschermakitic pargasite
6,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,900,8.0,1173.15,59.4,0.46,16.3,3.62,0.16,1.0,5.37,2.3,1.62,,,11.7,,42.1,1.91,13.9,17.3,0.39,10.4,10.1,1.84,0.58,,0.7006857066773184,0.2580389043271139,0.24079280683684548,0.18010306888496586,0.27265326938731477,0.05937494957969635,0.01231487870906099,0.005497836108095917,0.02390547948634509,0.0,0.0,0.0,6.0662439344847,2.2339929633476894,2.0846834608176885,1.5592570803055468,2.3605180266648667,0.5140434924185491,0.10661707176390195,0.04759796671417876,0.20696364797087646,0.0,0.0,0.0,1.5015740028230335,6.0662439344847,1.9337560655152997,0.0,0.0,1.3538920836304342,2.2339929633476894,0.7307913771872543,0.04759796671417876,1.5592570803055468,0.44074291969445323,0.07330057272409585,0.10661707176390195,0.426761961149567,0.20696364797087646,44.646107916369566,98.52,1.9635967729224286,1.3538920836304342,0.7307913771872543,12.486418361390694,6.0645613892770935,-0.0,101.7345765235902,,,True,0.7535094316319156,0.5172864887138258,0.44074291969445323,2.0,0.1799176444879978,N/A,Tschermakitic pargasite
7,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,850,8.0,1123.15,59.7,0.4,16.0,4.37,0.22,0.75,5.23,2.36,1.84,,,12.3,,42.1,1.56,14.1,18.3,0.42,8.97,10.3,1.85,0.63,,0.7006857066773184,0.22255855498213578,0.2547114661915764,0.18366946628862854,0.27657633801159265,0.05969763952306427,0.013376506183980043,0.005920746577949448,0.0195248942401562,0.0,0.0,0.0,6.154764457387991,1.9549356734951953,2.2373641478133557,1.613337181346653,2.4294233473385343,0.5243790567226798,0.11749810798282133,0.052007341168651314,0.17150503279627252,0.0,0.0,0.0,1.479977706680729,6.154764457387991,1.8452355426120093,0.0,0.0,1.0494861448941322,1.9549356734951953,1.1878780029192235,0.052007341168651314,1.613337181346653,0.38666281865334695,0.13771623806933286,0.11749810798282133,0.584187804726525,0.17150503279627252,44.95051385510587,98.22999999999999,1.9353554625824916,1.0494861448941322,1.1878780029192235,9.539793534304746,9.715972017638329,-0.0,101.12112101452556,,,True,0.622033589889919,0.46631580679384643,0.38666281865334695,2.0,0.2552143460521542,N/A,Tschermakitic pargasite
8,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,800,8.0,1073.15,67.6,0.14,13.6,2.18,0.1,0.37,2.66,2.64,2.37,,,15.3,,43.1,1.12,12.8,18.5,0.45,8.76,10.3,1.61,0.63,,0.717329072631649,0.2173481540293767,0.2574951980625226,0.18366946628862854,0.2510763919537863,0.05195308088223431,0.013376506183980043,0.00634365704780298,0.014017872787804453,0.0,0.0,0.0,6.371421168502226,1.930517920369807,2.287109805412402,1.63137891682775,2.2300970358509007,0.46145482168677326,0.11881207372306787,0.05634528467082651,0.12450878519383744,0.0,0.0,0.0,1.463610346512942,6.371421168502226,1.6285788314977738,0.0,0.0,0.9350183276916297,1.930517920369807,1.3520914777207724,0.05634528467082651,1.63137891682775,0.36862108317225006,0.0928337385145232,0.11881207372306787,0.6015182043531269,0.12450878519383744,45.06498167230837,97.27,1.9139519915938474,0.9350183276916297,1.3520914777207724,8.405289711620297,10.936813037415106,-0.0,100.02605474062925,,,True,0.5881046710865893,0.45772601231934695,0.36862108317225006,2.0,0.21164581223759107,N/A,Tschermakitic pargasite
9,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,950,8.0,1223.15,55.7,0.68,16.6,6.0,0.3,1.57,5.8,2.55,1.51,,,7.6,,41.4,1.97,14.1,16.9,0.41,10.1,10.0,2.09,0.57,,0.689035350509287,0.250595474394601,0.23522534309495305,0.1783198701831345,0.27657633801159265,0.06744219816389421,0.01210255321407718,0.005779776421331604,0.024656436957120328,0.0,0.0,0.0,6.044705201898544,2.1984006575651907,2.063563000031111,1.5643479628456858,2.4263231601470507,0.591650639938058,0.10617215258304841,0.05070428472793255,0.2163036956301706,0.0,0.0,0.0,1.4818687193888858,6.044705201898544,1.9552947981014563,0.0,0.0,1.2251403265830447,2.1984006575651907,0.8384226734480662,0.05070428472793255,1.5643479628456858,0.4356520371543142,0.15599860278374378,0.10617215258304841,0.4710283620455944,0.2163036956301706,44.774859673416955,97.53999999999999,1.9378283253546966,1.2251403265830447,0.8384226734480662,11.15071352614841,6.866445648162278,-0.0,100.59498749966538,,,True,0.7239145705692663,0.5158187244621094,0.4356520371543142,2.0,0.2621707553667922,N/A,Tschermakitic pargasite
