,Reference,spot/exp.,T ,P,H2O_Liq,∆NNO,logfO2,Unnamed: 7,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,F,Cl,T_K,P_kbar,H2O_Liq.1,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
0,Adam & Green (1994),1446,1050,1500.0,,,,,42.43,2.5,12.97,0.31,7.8,0.09,15.56,11.21,2.41,1.61,,,1323.15,15.0,,0.7061780174422475,0.3860658991663358,0.10856554296690142,0.1998965744752938,0.2544110002844225,0.07776827635166751,0.03418440469239344,0.001268731409560596,0.03128989461563494,0.0040792103701422855,0.0,0.0,6.153610064570462,3.364164479803704,0.9460362704101273,1.7418916224830314,2.2169283852222064,0.6776699872296087,0.29788168361338924,0.011055680265135478,0.27265902601091235,0.03554609371745368,0.0,0.0,1.491858296255245,6.153610064570462,1.8463899354295377,0.0,0.03554609371745368,0.43565242408853067,3.364164479803704,0.5103838463215966,0.011055680265135478,1.7418916224830314,0.2581083775169686,0.4195616097126401,0.29788168361338924,0.3705384497926687,0.27265902601091235,45.56434757591147,96.89,1.9508916181799356,0.43565242408853067,0.5103838463215966,3.9918554005974136,4.208077560897963,-0.0,99.24082457967532,,,True,0.8682726853914349,0.7805122486781633,0.2581083775169686,2.0,0.7174432933260293,N/A,Mg-hastingsite
1,Adam & Green (1994),1447,1050,1000.0,,,,,41.19,2.62,12.25,0.1,9.44,0.11,15.67,11.54,2.44,1.4,,,1323.15,10.0,,0.6855402436588774,0.3887951568082572,0.13139214430866017,0.2057811301913372,0.240287953237022,0.07873634618177125,0.029725569297733425,0.0015506717227962842,0.032791809557185414,0.0013158743129491246,0.0,0.0,6.014834604712387,3.4112345481478887,1.152816371737827,1.8054949717694109,2.1082530305029397,0.6908217337250687,0.26080800435947943,0.01360537769313681,0.28771076928029604,0.011545297925524696,0.0,0.0,1.4816738536057477,6.014834604712387,1.9851653952876127,0.0,0.011545297925524696,0.7124912419628018,3.4112345481478887,0.44032512977502525,0.01360537769313681,1.8054949717694109,0.19450502823058913,0.4963167054944796,0.26080800435947943,0.12308763521532695,0.28771076928029604,45.2875087580372,96.75999999999999,1.9375735008690547,0.7124912419628018,0.44032512977502525,6.483943771240773,3.605664637474064,-0.0,99.34718190958388,,,True,0.8856761502881644,0.7474137795625878,0.19450502823058913,2.0,0.7571247098539591,N/A,Mg-hastingsite
2,Gardner et al. (1995),G-14b,850,250.0,6.3,1.19131266596065,-11.594938719083462,,45.69,1.44,9.64,,13.37,0.21,14.57,10.72,1.76,0.23,,,1123.15,2.5,6.3,0.7604353904533652,0.36150258038904326,0.18609247557275282,0.1911589008363202,0.1890919076901953,0.05679343003275303,0.004883486384627635,0.002960373288974724,0.01802297929860572,0.0,0.0,0.0,6.5118390849269705,3.095656332980325,1.5935663582451125,1.6369516957324828,1.6192514059692886,0.4863393814875674,0.04181877633439411,0.02535057511937516,0.15433624275892752,0.0,0.0,0.0,1.518105706692937,6.5118390849269705,1.4881609150730295,0.0,0.0,1.24633638937199,3.095656332980325,0.3472299688731224,0.02535057511937516,1.6369516957324828,0.3630483042675172,0.12329107722005017,0.04181877633439411,0.13109049089625913,0.15433624275892752,44.75366361062801,97.63,1.9852151549061483,1.24633638937199,0.3472299688731224,11.621023533743626,2.9132547005736744,-0.0,100.77949338922343,,,True,0.8991456764964343,0.6601640691479583,0.3630483042675172,2.0,0.1651098535544443,N/A,Mg-Hornblende
3,Gardner et al. (1995),G-15a,850,250.0,5.7,1.19,-11.596251385044113,,45.56,1.43,10.4,,12.27,0.21,15.15,11.03,1.89,0.25,,,1123.15,2.5,5.7,0.7582717528793023,0.37589321159190153,0.17078195028254878,0.19668681681199734,0.20399956846245135,0.06098839929653592,0.005308137374595255,0.002960373288974724,0.017897819720143184,0.0,0.0,0.0,6.443654500882852,3.1942716783635854,1.451273739828816,1.6714085518845416,1.7335509762955257,0.5182682489971614,0.045107579380659825,0.02515671010473696,0.1520923945244835,0.0,0.0,0.0,1.529804676225322,6.443654500882852,1.556345499117148,0.0,0.0,1.1687623007428911,3.1942716783635854,0.2825114390859249,0.02515671010473696,1.6714085518845416,0.3285914481154584,0.18967680088170302,0.045107579380659825,0.17720547717837776,0.1520923945244835,44.83123769925711,98.19,2.0005138073715747,1.1687623007428911,0.2825114390859249,10.98169231074443,2.3885330950680452,-0.0,101.29073921318405,,,True,0.9187434391095499,0.68759884810393,0.3285914481154584,2.0,0.23478438026236284,N/A,Tschermakitic pargasite
4,Gardner et al. (1995),G-14a,850,250.0,7.0,0.9864173670271219,-11.799834018016991,,45.65,1.55,10.78,,13.3,0.21,14.21,10.81,1.89,0.27,,,1123.15,2.5,7.0,0.759769655815192,0.35257046447002777,0.18511816941792167,0.1927637796679684,0.21145339884857936,0.06098839929653592,0.0057327883645628755,0.002960373288974724,0.01939973466169366,0.0,0.0,0.0,6.450197507821783,2.99320868351356,1.5715931083755363,1.6365018551294654,1.7951706492017547,0.5177716932199306,0.04866951047459007,0.02513260731672554,0.16469744377063897,0.0,0.0,0.0,1.5312717965023892,6.450197507821783,1.549802492178217,0.0,0.0,1.1355945336599476,2.99320868351356,0.4359985747155888,0.02513260731672554,1.6365018551294654,0.36349814487053456,0.154273548349396,0.04866951047459007,0.24536815702353776,0.16469744377063897,44.86440546634005,98.66999999999999,2.002432349272355,1.1355945336599476,0.4359985747155888,10.680280760211158,3.689747055273862,-0.0,101.74246016475736,,,True,0.8728573276901497,0.655714929141502,0.36349814487053456,2.0,0.20294305882398606,N/A,Tschermakitic pargasite
5,Moore & Carmichael (1998),PEM12-25,900,285.1,6.548349380493164,,,,44.9,1.55,10.9,,8.7,,16.6,11.18,2.1,0.4,,,1173.15,2.8510000000000004,6.548349380493164,0.747287131349444,0.41186978959904724,0.12109233638615927,0.19936161486474438,0.2138072400231461,0.06776488810726214,0.008493019799352408,0.0,0.01939973466169366,0.0,0.0,0.0,6.418905616173554,3.537801194054392,1.0401360407492761,1.712438680690107,1.8365209786027725,0.582074014931317,0.07295173461624059,0.0,0.16663617042000442,0.0,0.0,0.0,1.5134562320194904,6.418905616173554,1.5810943838264464,0.0,0.0,0.9124923372823446,3.537801194054392,0.12764370346693155,0.0,1.712438680690107,0.2875613193098929,0.2945126956214241,0.07295173461624059,0.2554265947763261,0.16663617042000442,45.087507662717655,96.33000000000001,1.979135072640872,0.9124923372823446,0.12764370346693155,8.482154615596517,1.0676490157598428,-0.0,99.15893870399724,,,True,0.9651764773347846,0.772793730582048,0.2875613193098929,2.0,0.36746443023766473,N/A,Tschermakitic pargasite
6,Martel et al. (1999),P1R/12,930,226.5,,2.2,-9.156105867721461,,46.24,1.27,10.03,,10.1,0.32,16.3,11.72,1.78,0.19,,,1203.15,2.265,,0.7695892417282472,0.40442635966653434,0.1405784594827826,0.20899088785463366,0.19674189150753718,0.05743880991948886,0.004034184404692394,0.004511045011771009,0.015895266464742548,0.0,0.0,0.0,6.531555848857275,3.4323938169665467,1.193098875961603,1.7737197740178658,1.6697617151008206,0.48748705743149506,0.03423839538695343,0.03828554355168022,0.13490419956207583,0.0,0.0,0.0,1.5317422638616147,6.531555848857275,1.4684441511427249,0.0,0.0,0.9281531872062985,3.4323938169665467,0.26494568875530455,0.03828554355168022,1.7737197740178658,0.22628022598213415,0.2612068314493609,0.03423839538695343,0.20131756395809575,0.13490419956207583,45.0718468127937,97.94999999999999,2.0030475758190347,0.9281531872062985,0.26494568875530455,8.73197429256337,2.242858081876774,-0.0,100.82787995025917,,,True,0.9283415308912569,0.7420601533355106,0.22628022598213415,2.0,0.29544522683631436,N/A,Mg-Hornblende
7,Martel et al. (1999),D29/2,876,213.0,5.843305587768555,,,,47.08,1.31,9.24,,13.9,0.45,13.22,10.13,1.75,0.22,,,1149.15,2.13,5.843305587768555,0.7835696691298848,0.3280071456927352,0.19346936503076023,0.18063802849551527,0.18124577044163945,0.056470740089385116,0.0046711608896438245,0.00634365704780298,0.016395904778592707,0.0,0.0,0.0,6.750293560383193,2.8257149434944817,1.66669928705738,1.5561599287879926,1.561395502224433,0.48648395693869373,0.04024110237433122,0.05464931710107554,0.1412473897394368,0.0,0.0,0.0,1.5090315121214153,6.750293560383193,1.2497064396168067,0.0,0.0,1.0164776806413016,2.8257149434944817,0.6502216064160784,0.05464931710107554,1.5561599287879926,0.4438400712120074,0.042643885726686315,0.04024110237433122,0.3116890626076263,0.1412473897394368,44.9835223193587,97.3,1.973348900466466,1.0164776806413016,0.6502216064160784,9.421135465608852,5.422742062331208,-0.0,100.21722642840652,,,True,0.8129362843424719,0.6289969710000144,0.4438400712120074,2.0,0.08288498810101753,N/A,Mg-Hornblende
8,Scailet & Evans (1999),35,866,208.8,5.04,0.81,-11.688692443444642,,45.28,2.03,9.06,,13.99,0.2,13.5,10.91,2.17,0.38,,,1139.15,2.088,5.04,0.7536116104120897,0.3349543469630806,0.194722044372686,0.19454697836979976,0.17771500867978934,0.07002371771083754,0.008068368809384788,0.0028194031323568805,0.025407394427895566,0.0,0.0,0.0,6.578535349486355,2.923931878857096,1.6997958026807698,1.698267591235287,1.5513355295773366,0.6112611534890022,0.07043157070816204,0.024611541163119994,0.22178989823532086,0.0,0.0,0.0,1.4892298079878983,6.578535349486355,1.421464650513645,0.0,0.0,0.7697860683115749,2.923931878857096,0.9300097343691949,0.024611541163119994,1.698267591235287,0.3017324087647131,0.30952874472428915,0.07043157070816204,0.12987087906369155,0.22178989823532086,45.230213931688425,97.52,1.947454364291867,0.7697860683115749,0.9300097343691949,7.041073207296368,7.654352460045777,-0.0,100.17288003163401,,,True,0.7586860861675987,0.6323754512040353,0.3017324087647131,2.0,0.3799603154324512,N/A,Mg-Hornblende
9,Dalpè & Baker (2000),25,1000,2200.0,,,,,41.6,1.66,14.54,,11.94,0.15,13.59,10.11,2.77,1.08,,,1273.15,22.0,,0.6923640237001532,0.33718737594283443,0.16618879269548756,0.18028138875514899,0.2852070889850041,0.08938511431291243,0.022931153458251502,0.00211455234926766,0.020776490024781595,0.0,0.0,0.0,5.98517285154141,2.914831879320095,1.4366267111276765,1.5584508100940802,2.4654858826106048,0.7726937582032121,0.19822941752429252,0.01827934566323006,0.17960332973698417,0.0,0.0,0.0,1.5038383236975283,5.98517285154141,2.01482714845859,0.0,0.0,1.1171369589169373,2.914831879320095,0.31948975221073916,0.01827934566323006,1.5584508100940802,0.44154918990591985,0.3311445682972922,0.19822941752429252,0.45065873415201496,0.17960332973698417,44.88286304108306,97.44,1.9665578079121526,1.1171369589169373,0.31948975221073916,10.318454673472157,2.655322786252443,-0.0,100.44033526763675,,,True,0.9012189297761577,0.6698516873672362,0.44154918990591985,2.0,0.5293739858215847,N/A,Mg-hastingsite
