,Reference,Expename,T_K,T(C),DwellatstartT(h),fO2(bar),Fe2+(mol.Frac),Fe3+(mol.Frac),Fe3Fet_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,Cr2O3_Liq,MnO_Liq,FeOt_Liq,NiO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,TOTAL_Liq,Unnamed: 22,Unnamed: 23,SiO2_Ol,TiO2_Ol,Al2O3_Ol,Cr2O3_Ol,MnO_Ol,FeOt_Ol,NiO_Ol,MgO_Ol,CaO_Ol,Na2O_Ol,K2O_Ol,P2O5_Ol,TOTAL_Ol
0,Shea_2022,k1820-ol2,1513.15,1240,26.0,1.41253754462276e-09,0.0828717163058731,0.00881737285125427,0.0961659989461119,50.09735294,2.455460588,13.00855294,0.0,0.180685706,11.75021176,0.0,9.83975,10.18180588,2.006213529,0.210785941,0.215940353,99.94675963699999,,,39.06762105,0.025473333,0.048623737,0.098159241,0.194319211,15.50895263,0.298837333,43.97067018,0.248488822,0.055257263,0.0,0.001619,99.51802180000001
1,Shea_2022,k1820-ol4,1528.15,1255,24.0,2.04173794466953e-09,0.0839778412935883,0.00886050865537541,0.09544017811870119,49.29070741,2.437605556,12.5837037,0.0,0.187740074,11.83074815,0.0,10.43099259,10.13078519,1.910607407,0.206528444,0.228076111,99.23749463200001,,,39.51690526,0.0,0.046867289,0.091630553,0.188107974,15.12237105,0.320915526,44.71395,0.252946755,0.004720053,0.0,0.068934632,100.32734909199999
2,Shea_2022,k1820-ol12,1513.15,1240,24.0,1.99526231496888e-09,0.081228424523724,0.0092942883403134,0.10267355060683127,50.25675833,2.356773333,12.62745833,0.097753167,0.173686167,11.70019167,0.024341667,10.66549167,10.13965833,1.954208333,0.333256583,0.207044167,100.53662174699998,,,38.7646,0.0409882,0.0545386,0.097782667,0.186643868,14.99513947,0.301033333,44.42725263,0.250712138,0.029721079,0.006651,0.082665947,99.237728932
3,Shea_2022,k1820-ol13,1513.15,1240,24.0,1.34896288259166e-09,0.0807497469862386,0.0085247049370065,0.09548874009706303,50.58845,2.402263333,13.0056,0.1087435,0.1753715,11.49286667,0.014396167,10.027145,10.36661667,1.818805,0.267601,0.1877235,100.45558234,,,39.40926327,0.064789,0.106581,0.106581,0.191965735,15.55620612,0.243682163,44.59669796,0.262964957,0.007974673,0.0,0.086185,100.632890878
4,Shea_2022,k1820-ol15,1528.15,1255,24.0,1.51356124843621e-09,0.0817665729268792,0.0080081966155544,0.08920319880931789,50.8857,2.368288333,12.90931667,0.112937167,0.179887167,11.63616667,0.024126,10.70216667,10.2157,1.680635,0.158261,0.1932495,101.06643417699998,,,39.16849556,0.0,0.045347533,0.095330422,0.183321556,14.87229111,0.284789,45.18575333,0.239320622,0.005374556,0.0,0.051773022,100.131796711
5,Shea_2022,k1820-ol16,1528.15,1255,24.0,1.44543977074593e-09,0.080922047065623,0.00803009946281758,0.09027437533786915,50.6285875,2.34033125,12.792975,0.106751167,0.171768563,11.5605,0.027389,10.77588125,10.08108125,1.97478875,0.336764938,0.21101775,101.007836418,,,39.64930714,0.057183667,0.052419385,0.092126727,0.182363,14.57636429,0.281763455,45.23584286,0.2711469,0.008185714,0.0,0.087012,100.493715138
6,Shea_2022,k1820-ol17,1543.15,1270,24.0,2.81838293126445e-09,0.0820830466762451,0.00838054782939452,0.09264000480184396,50.57765556,2.297115556,12.49808889,0.100773167,0.181516111,11.63561111,0.027138333,10.94112222,9.959631111,1.659112222,0.153627111,0.178819667,100.21021105799998,,,39.69479545,0.0,0.039393091,0.082726545,0.177626091,14.21224091,0.306692727,45.44618182,0.259576,0.003177136,0.0,0.020340476,100.242750246
7,Shea_2022,k1820-ol18,1528.15,1255,24.0,1.99526231496888e-09,0.0820083799476223,0.00857020877737912,0.0946162762968019,50.45898333,2.344673333,12.49528333,0.099165833,0.180159667,11.61436667,0.026867833,10.47035,9.949496667,1.82328,0.272571,0.198335667,99.93353332999999,,,39.30686176,0.0,0.045195269,0.099321235,0.180542691,14.74485588,0.287370059,44.85781765,0.2536005,0.008504088,0.008504088,0.059270206,99.85184342599997
8,Shea_2022,k1820-ol19,1493.15,1220,24.0,1.41253754462276e-09,0.0793018269815678,0.00950371430880031,0.10701713170944982,50.999625,2.502351875,13.24025625,0.100921333,0.177717375,11.3802875,0.015105,8.998893125,10.569875,1.870495,0.3002785,0.206895,100.362700958,,,38.8007,0.0166805,0.045528957,0.102140412,0.209477261,16.47414783,0.228131824,43.58298261,0.261823588,0.008328739,0.003162,0.050251348,99.78335506900002
9,Shea_2022,k1820-ol20,1493.15,1220,24.0,1.08564337379547e-09,0.0807598937652279,0.0091781831559794,0.10205002675363181,50.6106,2.419773333,12.9033,0.095231333,0.176449333,11.49178333,0.0165695,9.387993333,10.35205,1.908011667,0.323838333,0.2035665,99.889166662,,,39.46779104,0.0,0.049414149,0.103324358,0.191218642,15.73925522,0.25158303,44.38835224,0.254148255,0.005895448,0.0,0.070557642,100.521540024
10,Shea_2022,k1820-ol22,1513.15,1240,24.0,1.93386221513402e-09,0.0805026558223973,0.00900866747146853,0.10064276942809862,50.95108333,2.379253333,12.6946,0.108868833,0.170631333,11.58355,0.0209005,10.66296667,10.07188333,1.762866667,0.252590167,0.190024333,100.849218496,,,38.85076,0.0,0.0371178,0.0872832,0.1877308,14.99186,0.2926998,43.8774,0.26572925,0.0095176,0.0,0.0209302,98.62102865
11,Shea_2022,k1820-ol23,1563.15,1290,24.0,6.22086874216518e-09,0.0813478867999973,0.00889063271903033,0.09852369881972253,50.3864,2.303576667,12.3686,0.104501333,0.175414667,11.67333333,0.035468667,11.29873333,9.871183333,1.814655,0.277543667,0.205834667,100.51524466100004,,,39.4758,0.0,0.042644,0.094326,0.160838,13.1603,0.333227,46.6241,0.228495,0.008585,0.0,0.01551,100.14382499999999
12,Shea_2022,k1820-ol28,1555.15,1282,24.0,6.53271027946421e-09,0.0802941290891342,0.00907202079408065,0.10151518003109808,50.32742,2.312078,12.2525,0.0,0.1725214,11.57844,0.0,12.06236,9.938994,1.557354,0.1420364,0.2189786,100.56268239999999,,,39.77711667,0.020077833,0.039400667,0.0,0.179640167,13.64985,0.0,46.02518333,0.2469504,0.010963167,0.002518167,0.059739167,100.01143956800001
13,Shea_2022,k1820-ol30,1453.15,1180,24.0,3.28203623100009e-10,0.0789552502541423,0.00892928121357989,0.10160242154626943,51.1871,2.631375,13.6007,0.0,0.1794095,11.1991,0.0,8.163765,10.9638,1.79279,0.1926265,0.2571515,100.16781750000001,,,38.57502,0.054955,0.0361534,0.0,0.211093,17.59502,0.0,42.04128,0.3471686,0.007041,0.0038786,0.0605152,98.9321248
14,Shea_2022,k1820-ol32,1473.15,1200,24.0,6.39371781662568e-10,0.0817134096679999,0.00926237903667599,0.10181147279462859,50.17654444,2.495702222,13.02462222,0.0,0.172894222,11.50605556,0.0,9.057242222,10.5919,1.71688,0.185597222,0.214175667,99.14161377500001,,,38.31212308,0.0,0.0,0.0,0.0,16.92885641,0.262119579,43.31981282,0.231923143,0.0,0.0,0.0,99.05483503200001
15,Shea_2022,k1820-ol33,1473.15,1200,24.0,5.81735611013979e-10,0.0799673987562557,0.00899361276074275,0.10109611623541705,50.53334,2.487173,13.06882,0.0,0.1741634,11.31766,0.0,9.10805,10.47057,1.875718,0.2772719,0.22335,99.5361163,,,39.208425,0.04584875,0.03194825,0.0,0.20175875,16.523875,0.0,43.151325,0.256345,0.0080845,0.00582225,0.054278,99.48771049999998
16,Shea_2022,k1820-GR5,1493.15,1220,20.33,9.58692935243772e-10,0.0810506205255769,0.00893995107433263,0.09934319690821497,50.68664138,2.493851724,13.13988276,0.0,0.186610552,11.52135172,0.0,9.319074138,10.56484483,1.808951724,0.244619172,0.233107586,100.198935586,,,39.0027625,0.037760875,0.044407125,0.0,0.2038555,15.8999,0.0,44.3783875,0.28324075,0.009694125,0.0020365,0.110714625,99.97275950000001
17,Shea_2022,k1820-GR9,1493.15,1220,24.0,1.02019539062302e-09,0.0830860547706681,0.00922751509183941,0.09995838212716653,50.00865758,2.40500303,12.6544303,0.0,0.179816091,11.79395455,0.0,10.05259182,10.32786061,1.833546667,0.228280606,0.237328879,99.721470133,,,39.09564231,0.060053833,0.047675167,0.0,0.193306167,15.55551538,0.2794073,43.95375,0.25900325,0.005798,0.1247425,0.007178167,99.58207207400001
18,Shea_2022,k1820-GR11,1493.15,1220,24.0,9.88966184234095e-10,0.0824015563352516,0.00912218927927329,0.09967019179583916,49.77742727,2.387537273,12.53723636,0.0,0.181228636,11.74895455,0.0,10.6302,10.12251455,1.959238182,0.254289364,0.251330636,99.84995682100002,,,38.74066667,0.0372195,0.047474167,0.0,0.198890167,15.2284,0.0,44.6193,0.26613875,0.0041745,0.0031845,0.101356,99.24680425400001
19,Shea_2022,k1820-GR13,1513.15,1240,24.0,1.90546071796324e-09,0.0827171111400716,0.00923635335685277,0.10044595282390588,49.97261667,2.396281429,12.42997143,0.0,0.160058,11.84755714,0.0,11.09147143,10.11796143,1.790835714,0.196389571,0.219206,100.222348814,,,39.26498333,0.034463333,0.057814667,0.0,0.199491667,14.96841667,0.0,44.84311667,0.2651858,0.003064667,0.003664,0.104709167,99.744909971
20,Shea_2022,k1820-GR15,1493.15,1220,24.0,1e-09,0.0817251100931055,0.00909375064596681,0.1001306399569762,50.16358824,2.419321176,12.75575294,0.089689,0.184974824,11.68411176,0.0,10.23550412,10.16013529,2.099124706,0.142785412,0.213289118,100.14827658600001,,,39.3984,0.059528667,0.054131875,0.0,0.184261125,15.187925,0.0,44.2079,0.2898115,0.004483,0.0016065,0.09380275,99.48185041699999
21,Shea_2022,k1820-GR18,1528.15,1255,24.0,1.51356124843621e-09,0.0830960694477877,0.00836019388297904,0.09141193373211644,49.78665,2.413086667,12.39793333,0.0,0.1688925,11.72493333,0.0,10.59536667,10.14198333,2.021268333,0.228682167,0.215064333,99.69386066,,,38.99048182,0.039660136,0.056169727,0.0,0.181519091,14.80770455,0.0,44.39900455,0.2605932,0.006644318,0.003273273,0.127914091,98.872964756
22,Helz&Thornber1987,15,1534.15,1261,,1.28812871309349e-07,0.0639144015718021,0.0160031549571422,0.20024579894839784,48.21,2.42,12.03,0.0,0.16,10.33,0.0,12.35,10.95,2.14,0.5,0.22,99.31,,,40.35,0.09,0.19,0.25,0.17,11.33,0.0,47.57,0.49,0.06,0.0,0.0,100.5
23,Helz&Thornber1987,1,1468.15,1195,,2.39577617653892e-08,0.0630470186352867,0.0169433998199961,0.21181786702951183,50.07,2.64,12.84,0.0,0.16,10.3,0.0,8.91,12.04,2.4,0.53,0.28,100.16999999999999,,,40.55666667,0.06,0.073333333,0.003333333,0.186666667,12.43333333,0.0,47.01666667,0.38,0.02,0.0,0.0,100.730000003
24,Helz&Thornber1987,2,1453.15,1180,,1.60016999265522e-08,0.0614518184243229,0.0167895528477534,0.21458663843415346,49.92,2.75,13.26,0.0,0.17,10.04,0.0,8.31,12.31,2.39,0.55,0.29,99.99000000000002,,,39.585,0.0825,0.1525,0.045,0.215,14.935,0.0,44.965,0.4025,0.0225,0.0,0.0,100.40500000000002
