,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Fe3Fet_Liq,NiO_Liq,CoO_Liq,CO2_Liq,SiO2_Liq_mol_frac,MgO_Liq_mol_frac,MnO_Liq_mol_frac,FeOt_Liq_mol_frac,CaO_Liq_mol_frac,Al2O3_Liq_mol_frac,Na2O_Liq_mol_frac,K2O_Liq_mol_frac,TiO2_Liq_mol_frac,P2O5_Liq_mol_frac,Cr2O3_Liq_mol_frac,Si_Liq_cat_frac,Mg_Liq_cat_frac,Mn_Liq_cat_frac,Fet_Liq_cat_frac,Ca_Liq_cat_frac,Al_Liq_cat_frac,Na_Liq_cat_frac,K_Liq_cat_frac,Ti_Liq_cat_frac,P_Liq_cat_frac,Cr_Liq_cat_frac,Mg_Number_Liq_NoFe3,Mg_Number_Liq_Fe3,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Si_Cpx_cat_6ox,Mg_Cpx_cat_6ox,Fet_Cpx_cat_6ox,Ca_Cpx_cat_6ox,Al_Cpx_cat_6ox,Na_Cpx_cat_6ox,K_Cpx_cat_6ox,Mn_Cpx_cat_6ox,Ti_Cpx_cat_6ox,Cr_Cpx_cat_6ox,oxy_renorm_factor,Al_IV_cat_6ox,Al_VI_cat_6ox,En_Simple_MgFeCa_Cpx,Fs_Simple_MgFeCa_Cpx,Wo_Simple_MgFeCa_Cpx,Cation_Sum_Cpx,Ca_CaMgFe,Lindley_Fe3_Cpx,Lindley_Fe2_Cpx,Lindley_Fe3_Cpx_prop,CrCaTs,a_cpx_En,Mgno_Cpx,Jd,"Jd_from 0=Na, 1=Al",CaTs,CaTi,DiHd_1996,EnFs,DiHd_2003,Di_Cpx,FeIII_Wang21,FeII_Wang21,Kd_Fe_Mg_Fe2,Kd_Fe_Mg_Fe2_Lind,Kd_Fe_Mg_Fet,lnK_Jd_liq,lnK_Jd_DiHd_liq_1996,lnK_Jd_DiHd_liq_2003,Kd_Fe_Mg_IdealWB,Mgno_Liq_noFe3,Mgno_Liq_Fe2,DeltaFeMg_WB,Sample_ID_Liq,Sample_ID_Cpx,P_kbar,T_K
0,48.7,0.69,17.2,9.69,0.09,8.51,11.6,2.63,0.44,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.5097825678897199,0.1327987921619846,0.0007979646562366563,0.08482732862503647,0.13010295026769322,0.10609902328567353,0.026688791547284985,0.0029379015660946487,0.005432935937282982,0.0005317440629930913,0.0,0.44865057931714053,0.11687385718724652,0.0007022745143624167,0.07465502456682874,0.11450129464037873,0.18675173009210355,0.04697666237796545,0.005171189925388889,0.004781430376768431,0.0009359570018169362,0.0,0.6102073709099327,0.6102073709099327,51.2,0.33,7.25,5.89,0.16,17.7,17.5,0.44,0.0,0.0,1.8468399823163781,0.9517899592819383,0.17767674763086913,0.676348439039484,0.30821532510508637,0.030772240710256117,0.0,0.004888373900858676,0.008953703750667698,0.0,0.0,0.15316001768362186,0.1550553074214645,0.5270694297892903,0.09839143725709079,0.3745391329536189,4.005484771735538,0.3745391329536189,0.01096954347107807,0.16670720415979107,0.061738767831724134,0.0,0.24323809632561594,0.8426852706388047,0.030772240710256117,0,0.1242830667112084,0.014438475486206734,0.537626896842069,0.29591990503536925,0.537626896842069,0.4511002691389566,0.01096954347107807,0.16670720415979107,0.2922454857649274,0.27420260956941717,0.2922454857649274,2.857959093489251,-1.944358087124936,-1.944358087124936,0.2657394603388177,0.6102073709099327,0.6102073709099327,0.026506025426109747,0,0,8.0,1523.15
1,48.2,0.98,16.7,9.83,0.17,8.13,11.8,2.64,0.42,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.5082749683137772,0.1278058623087171,0.0015183983813029942,0.08668844157219106,0.1333235371793311,0.10377555734404072,0.026988127445129403,0.0028250719883788048,0.007773332294765358,0.0010267031723663093,0.0,0.44797112877010653,0.11264244743708918,0.0013382493319542992,0.07640336716019867,0.11750548259338571,0.18292639402008787,0.047572289287016636,0.004979787581077928,0.006851072076092187,0.0018097817429909345,0.0,0.5958393044092328,0.5958393044092328,50.5,0.55,7.06,5.25,0.13,16.5,18.9,0.33,0.0,0.0,1.8478190224174857,0.9000373769782954,0.16065097030026942,0.7409740455387125,0.3044595995963865,0.023411494206372823,0.0,0.004028993204106408,0.01513771132293926,0.0,0.0,0.15218097758251425,0.15227862201387227,0.49955939612576256,0.08916818763645164,0.4112724162377859,3.996519213564568,0.4112724162377859,0.0,0.16065097030026942,0.0,0.0,0.19698887485515187,0.8485365427840508,0.023411494206372823,0,0.12886712780749945,0.0116569248875074,0.6004499928437057,0.23011917721742958,0.6004499928437057,0.5075783177539793,-0.006961572870863721,0.16761254317113314,0.26315546101914367,0.26315546101914367,0.26315546101914367,2.5957010855088978,-2.3073121585427048,-2.3073121585427048,0.26682779695783343,0.5958393044092328,0.5958393044092328,0.0036723359386897636,1,1,8.0,1473.15
2,47.8,1.21,15.9,11.3,0.25,7.17,11.5,2.77,0.55,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.5092219960883132,0.11386938093447255,0.0022558197467103416,0.10067315885497911,0.13126539053137598,0.09981672173431061,0.028607253810046557,0.0037374078434432747,0.00969603339416919,0.0008568370621791448,0.0,0.4494384881878378,0.10050092653342255,0.0019909827626729956,0.08885396283829985,0.1158546157176923,0.17619614571541184,0.05049742942118821,0.00659725991336478,0.00855770297349534,0.0015124859366142424,0.0,0.5307460055069169,0.5307460055069169,50.2,0.63,6.75,6.36,0.2,15.6,19.2,0.26,0.0,0.0,1.8495676296714358,0.8568398228380887,0.1959654948341247,0.7579505349742256,0.29310767257952247,0.018573210644050077,0.0,0.006241394321580565,0.017459689748899984,0.0,0.0,0.15043237032856416,0.1426753022509583,0.4731945621414439,0.10822303545103501,0.41858240240752104,3.9957054496119273,0.41858240240752104,0.0,0.1959654948341247,0.0,0.0,0.18864961620912854,0.8138584414795407,0.018573210644050077,0,0.12410209160690824,0.013165139360827957,0.6206833040064894,0.216061006832862,0.6206833040064894,0.5021744236779203,-0.008589100776144054,0.20455459561026876,0.25868618107556157,0.25868618107556157,0.25868618107556157,2.335467821125275,-2.606661922900948,-2.606661922900948,0.2603776701151946,0.5307460055069169,0.5307460055069169,0.0016914890396330096,2,2,8.0,1473.15
3,48.4,1.16,15.6,12.7,0.3,7.25,10.8,2.65,0.54,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.5110807449284734,0.1141276065885346,0.0026831845169117156,0.11215118647508181,0.12219151494297693,0.09707237950547849,0.027127337659608123,0.0036371939679303235,0.009213648090831476,0.0007152033241731184,0.0,0.45286410647885106,0.10112745802920017,0.0023775459569293097,0.09937616972967543,0.10827281556399236,0.17202994573656577,0.04807458567858128,0.0064457705077797635,0.008164131698307125,0.0012674706201177362,0.0,0.5043588728212608,0.5043588728212608,50.7,0.64,6.1,7.5,0.18,16.5,17.6,0.36,0.0,0.0,1.861967851936537,0.9033513725836438,0.2303464250322418,0.6925482291482409,0.2640285978305755,0.025633851094128808,0.0,0.005599146761508018,0.017679650154182477,0.0,0.0,0.13803214806346298,0.1259964497671125,0.4946493294686403,0.12613110263154745,0.37921956789981215,4.001155124541058,0.3792195678998122,0.0023102490821143296,0.22803617595012748,0.010029454903808304,0.0,0.2410018853636998,0.7968130864302091,0.025633851094128808,0,0.1003625986729837,0.018834774695239642,0.5733508557800175,0.2801734709179341,0.5733508557800175,0.4546113154230652,0.0023102490821143296,0.22803617595012748,0.2594846098783106,0.2568821206853038,0.2594846098783106,2.7155731957694043,-2.142519842543034,-2.142519842543034,0.25720723407601886,0.5043588728212608,0.5043588728212608,0.002277375802291759,3,3,8.0,1473.15
4,49.0,2.13,14.3,14.6,0.11,5.12,8.73,3.11,1.14,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.5314519872283913,0.08278401044453816,0.0010105219872293305,0.1324270806316831,0.1014507671191269,0.09139678358372792,0.03269982933911097,0.007886809510802612,0.017377089289039,0.0015151208663508591,0.0,0.468859876679821,0.07303406866631366,0.000891507089446594,0.11683039331144059,0.08950233568344064,0.16126493346456605,0.05769717046818756,0.013915870571551822,0.015330491063930701,0.002673353001301328,0.0,0.38465633151069784,0.38465633151069784,52.1,0.36,2.75,13.8,0.37,18.1,12.1,0.38,0.0,0.0,1.9323356285949542,1.0007646552186513,0.4280356271580459,0.48084305176556275,0.12020829778533043,0.027325969058890738,0.0,0.011623360006872446,0.010043308726758373,0.0,0.0,0.06766437140504578,0.052543926380284656,0.5240584130691385,0.2241442784132794,0.2517973085175821,4.011179898315066,0.2517973085175821,0.022359796630135105,0.4056758305279108,0.05223816713247348,0.0,0.45555001771357667,0.7004160430459252,0.027325969058890738,0,0.025217957321393918,0.02122320704182593,0.43440188740234287,0.49719919748717717,0.43440188740234287,0.3018098580728321,0.022359796630135105,0.4056758305279108,0.2673730417013548,0.2534059640622416,0.2673730417013548,2.5922387321136786,-2.1638141299421108,-2.1638141299421108,0.23927738400654208,0.38465633151069784,0.38465633151069784,0.028095657694812703,4,4,8.0,1423.15
5,47.8,2.62,14.0,16.2,0.32,4.67,7.85,3.32,1.5,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.5217650675614501,0.07599281441259266,0.0029585724458790867,0.14788295206199759,0.09180998066424988,0.09005380305685717,0.035131955853125944,0.010444001049650516,0.021511855310186147,0.0024489975840108705,0.0,0.45846130076937214,0.06677289590802189,0.0025996201284563805,0.12994087718602057,0.08067102566996909,0.15825583679502722,0.06173905912970818,0.01835374042512167,0.018901903903923087,0.004303740084379799,0.0,0.3394344048814723,0.3394344048814723,51.3,0.53,3.75,17.1,0.53,20.2,5.98,0.13,0.0,0.0,1.9067918388001421,1.1192982747182785,0.531542535557427,0.23815529380737208,0.16427599349851657,0.009368636937208382,0.0,0.016685795474878952,0.014818057062690296,0.0,0.0,0.09320816119985786,0.0710678322986587,0.5925360419213718,0.2813888998545282,0.1260750582241,4.000936425856514,0.1260750582241,0.0018728517130269448,0.5296696838444,0.003523427736715164,0.0,0.6871443547766274,0.6780097927260329,0.009368636937208382,0,0.061699195361450326,0.01575448291920377,0.16070161552671797,0.7450695973744937,0.16070161552671797,0.10786816856965911,0.0018728517130269448,0.5296696838444,0.24403190319031906,0.2431720744139749,0.24403190319031906,1.5177519599334055,-2.3571822174655295,-2.3571822174655295,0.23510982144704212,0.3394344048814723,0.3394344048814723,0.008922081743276938,5,5,8.0,1423.15
6,59.4,1.44,12.8,11.6,0.34,1.83,5.44,3.56,2.26,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.6483519776506915,0.029777211814257694,0.003143318864642319,0.1058859599311271,0.06362040521438285,0.08233060071686077,0.03766964562700843,0.015734805500385796,0.011822691599214459,0.0016633830814293171,0.0,0.5700306574565084,0.026180106196649802,0.0027636040002531727,0.0930948704338999,0.05593502088697678,0.1447700263843604,0.06623825823968134,0.02766806251393142,0.010394503136437791,0.0029248907513012355,0.0,0.21948797937701944,0.21948797937701944,50.7,0.52,1.95,24.0,0.76,16.3,5.34,0.13,0.0,0.0,1.9438784053526215,0.9316596481411932,0.7695349900348126,0.21936913823640664,0.08811557154260982,0.009663882159956628,0.0,0.02468083537040132,0.014996639559025323,0.0,0.0,0.05612159464737854,0.031993976895231285,0.48509695933218155,0.40068182035188316,0.11422122031593517,4.0018991103970265,0.11422122031593518,0.0037982207940532343,0.7657367692407594,0.0049357350130127394,0.0,0.7332746145594561,0.5476419623461464,0.009663882159956628,0,0.022330094735274655,0.01689574995605194,0.18014329354508005,0.760525672315463,0.18014329354508005,0.09724469699678602,0.0037982207940532343,0.7657367692407594,0.23228263169028981,0.23113614617214132,0.23228263169028981,1.1318763221075048,-3.2881396043054476,-3.2881396043054476,0.21086140499638323,0.21948797937701944,0.21948797937701944,0.021421226693906587,6,6,8.0,1398.15
7,49.1,1.62,16.2,13.5,0.25,6.13,8.38,3.22,0.96,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.5261743285739785,0.09793032222817397,0.0022692027390177373,0.12098678210946992,0.09621999241949256,0.1023034070927098,0.03345192981114591,0.006562177015037068,0.013058480711502658,0.0010433772994719141,0.0,0.46019969076717976,0.0856512785948271,0.0019846775908170834,0.10581679243947768,0.08415539936560239,0.17895208394559542,0.05851508490114535,0.011478750174924062,0.011421136416156013,0.0018251058042751346,0.0,0.44733148909178577,0.44733148909178577,51.2,0.64,5.53,14.8,0.46,21.5,5.66,0.18,0.0,0.0,1.8709337151636136,1.1712118175087536,0.4522787151015688,0.22160421050043283,0.23816091320290672,0.012752874410661908,0.0,0.01423742334970329,0.017591298101311787,0.0,0.0,0.12906628483638638,0.10909462836652034,0.6347705568409662,0.24512492748152606,0.12010451567750775,3.9987709673389524,0.12010451567750775,0.0,0.4522787151015688,0.0,0.0,0.6695877331966797,0.7214091455627849,0.012752874410661908,0,0.09634175395585844,0.016362265440263972,0.10890019110431043,0.757295170753006,0.10890019110431043,0.07787935125987627,-0.0024580653220956164,0.45473678042366444,0.31257192075796725,0.31257192075796725,0.31257192075796725,1.7492988507132192,-1.7136916137444953,-1.7136916137444953,0.24318210107467797,0.44733148909178577,0.44733148909178577,0.06938981968328928,7,7,8.0,1448.15
8,48.3,1.2,14.9,13.9,0.36,7.45,9.23,2.33,1.02,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5142496216798058,0.11824741853831108,0.0032464930530155824,0.12376494249388165,0.10529353039790358,0.09348459226048206,0.02404916006403982,0.006927165548644986,0.009610313831633795,0.0011267621322815602,0.0,0.4568721129546447,0.10505393816831637,0.002884264913951321,0.1099558432385139,0.09354538279718368,0.16610805878761845,0.04273174003454516,0.012308531217419604,0.008538041062769338,0.0020020868250372214,0.0,0.48859239243072666,0.48859239243072666,52.0,0.67,5.18,10.7,0.33,18.9,11.8,0.06,0.0,0.0,1.8993122921134022,1.0291137599370013,0.32683819772175654,0.46179388622680634,0.22298708506370524,0.004249045905561754,0.0,0.010209209177227967,0.018407606081032386,0.0,0.0,0.10068770788659775,0.12229937717710748,0.5661483223293724,0.17980412323381584,0.2540475544368119,3.9729110822264935,0.2540475544368119,0.0,0.32683819772175654,0.0,0.0,0.4732898987646645,0.758954229655853,0.004249045905561754,0,0.11805033127154572,0.0,0.3437435549552606,0.5061042013517486,0.3437435549552606,0.25893813327559545,-0.05417783554701274,0.38101603326876926,0.30343344372121345,0.30343344372121345,0.30343344372121345,1.0535727755634567,-3.3516517201720366,-3.3516517201720366,0.25016548671598865,0.48859239243072666,0.48859239243072666,0.0532679570052248,8,8,8.0,1448.15
9,47.6,2.07,14.9,15.7,0.31,5.7,8.23,3.02,1.16,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.5145060505719097,0.09184741438970517,0.002838117388592786,0.14191855485146185,0.09531395817581767,0.09490666698855385,0.031645183504176326,0.007997791311384663,0.016829970436030444,0.002196292382367378,0.0,0.4526130554758645,0.08079854224896457,0.0024967033558152977,0.12484632720769445,0.08384807485063017,0.16697955828885244,0.055676792064927615,0.014071378785459783,0.014805393122496539,0.0038641745992945473,0.0,0.3928953047112,0.3928953047112,51.9,0.5,4.57,16.8,0.46,20.9,5.8,0.18,0.0,0.0,1.8916699891584297,1.1356195168871197,0.5120864587595109,0.2265057054577713,0.1963139364167839,0.012720308922167517,0.0,0.014201066946326737,0.013708107273076496,0.0,0.0,0.10833001084157035,0.08798392557521356,0.6059184927382067,0.2732276529499367,0.12085385431185663,4.002825089821186,0.12085385431185663,0.005650179642371314,0.5064362791171395,0.011033643920322418,0.0,0.6812600776412634,0.6892053216428833,0.012720308922167517,0,0.07526361665304604,0.016533197094262153,0.1347088917104631,0.7564985419680837,0.1347088917104631,0.09204970109877775,0.005650179642371314,0.5064362791171395,0.29183555298204983,0.2886155434071555,0.29183555298204983,1.8989557242606385,-1.7421937735693052,-1.7421937735693052,0.23719218982557627,0.3928953047112,0.3928953047112,0.05464336315647356,9,9,8.0,1423.15
