,Sample I.D.,XAn,XAb,"T
(°C)","P
(bars)","Viscosity
(log10 Pa s)",SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,H2O_Liq,Total,Source,T_K,P_kbar
0,#41,0.877,0.123,1050,2020,1.247964531829877,51.13,0.98,18.17,8.62,6.03,12.19,2.43,0.07,4.783592126236939,94.1,Berndt et al. (2005),1323.15,2.02
1,#191,0.854,0.146,980,2000,1.802203290487268,48.44,2.15,17.05,11.2,3.58,8.61,3.1,0.43,4.93868108188451,95.8,Botcharnikov et al. (2008),1253.15,2.0
2,Puy 10,0.3563779792250487,0.6203717912343074,925,500,4.161183527552307,70.5,0.62,14.4,3.23,0.52,1.88,5.69,2.86,2.531911991904829,98.8,Castro et al. (2013),1198.15,0.5
3,Puy 15,0.37193152351512543,0.6055795264705625,875,750,4.442125596756572,72.4,0.47,14.4,2.36,0.33,1.41,5.29,3.04,3.294989003242291,98.0,Castro et al. (2013),1148.15,0.75
4,Puy 17,0.3680931199410288,0.610985570179017,825,1500,4.354234328196976,72.8,0.29,14.8,1.75,0.26,1.49,5.42,2.96,4.994418176861055,93.8,Castro et al. (2013),1098.15,1.5
5,Puy 2,0.3587158514027879,0.6092410534618729,850,1000,4.4829855469933095,73.0,0.32,14.5,2.02,0.28,1.45,5.01,3.0,3.9174360310124223,94.1,Castro et al. (2013),1123.15,1.0
6,Puy 9,0.40078560565592697,0.5811082603761973,900,500,4.182096864734433,72.4,0.46,13.8,2.6,0.34,1.36,5.53,3.08,2.593844080977611,98.7,Castro et al. (2013),1173.15,0.5
7,sc-80,0.626,0.364,995,500,3.998238591770213,70.6266,0.28709999999999997,13.3023,2.0097,0.8613,3.4452,3.5409,1.7244,2.335145467845721,95.7,Couch et al. (2003),1268.15,0.5
8,sc-63,0.632,0.358,950,850,3.918706955843796,69.7939,0.4735,13.447399999999998,1.7993,0.8523,3.4092,3.4092,1.6098999999999999,3.257096415396707,94.7,Couch et al. (2003),1223.15,0.85
9,sc-51,0.53,0.45999999999999996,875,1000,4.531321824405565,73.8208,0.1888,11.516799999999998,1.2272,0.472,1.888,3.304,2.0768,3.824317272634382,94.4,Couch et al. (2003),1148.15,1.0
10,sc-73,0.698,0.29200000000000004,950,1100,3.6786858860649625,70.70039999999999,0.3832,13.603599999999998,1.8201999999999998,0.7664,3.4488,3.4488,1.6285999999999998,3.779860535965294,95.8,Couch et al. (2003),1223.15,1.1
11,sc-53,0.603,0.387,900,1150,3.8959184561215126,70.55149999999999,0.28409999999999996,12.2163,2.0834,0.947,3.4092,3.5039,1.7046,4.048565115280023,94.7,Couch et al. (2003),1173.15,1.15
12,sc-10,0.58,0.41000000000000003,875,1250,4.383536446742561,73.20979999999999,0.2823,11.9507,1.2233,0.4705,2.1643,3.1052999999999997,1.7878999999999998,4.292479002832593,94.1,Couch et al. (2003),1148.15,1.25
13,sc-26,0.599,0.391,875,1600,4.094809594452293,71.04240000000001,0.18720000000000003,12.8232,1.3104,0.5616,2.6208,3.4632000000000005,1.6848,4.912851008194563,93.6,Couch et al. (2003),1148.15,1.6
14,sc-69,0.526,0.46399999999999997,825,1750,4.573630034804499,71.7316,0.1844,11.8938,1.0142000000000002,0.3688,2.1206,3.0426,1.9362000000000001,5.310731858917292,92.2,Couch et al. (2003),1098.15,1.75
15,#86,0.57,0.405,875,2000,3.8493933391970088,66.2377,0.26012,15.179860000000001,1.10551,0.77107,2.64765,4.10618,2.9356400000000002,5.576465726158675,92.9,Costa et al. (2004),1148.15,2.0
16,#94,0.457,0.52,850,2000,4.219485557981769,66.4119,0.31884999999999997,14.61244,1.26629,0.21864,1.9859800000000003,3.34337,3.1885000000000003,5.5915655948196035,92.1,Costa et al. (2004),1123.15,2.0
17,#97,0.549,0.43,875,2030,3.6335990683762542,64.5621,0.34998,14.92941,2.56038,0.65391,2.68932,3.9879300000000004,2.8551,5.6186891126788385,92.1,Costa et al. (2004),1148.15,2.03
18,M P1D/22,0.809,0.187,951,2126,2.618056767232564,58.241426000000004,0.440736,15.765494000000002,5.536746,2.029222,5.3714699999999995,3.277974,0.954928,5.337066416590504,92.1629335834095,M P1D/22,1224.15,2.126
19,#185,0.598,0.386,900,2000,2.9754981494016657,55.43939700000001,0.445968,17.996667000000002,5.041268727,0.919809,4.970685,4.515426000000001,3.196104,5.385850339914549,92.41414966008544,Luhr (1990),1173.15,2.0
20,#119,0.721,0.268,950,2000,2.9476987452504417,56.512496,0.6047600000000001,17.72412,2.792725856,1.321168,6.084816,4.242623999999999,2.967976,5.263099082968391,92.43690091703161,Luhr (1990),1223.15,2.0
21,79-35q #4,0.933,0.067,1050,2000,1.1685249256136971,46.337199999999996,0.66816,17.8176,7.68384,6.106240000000001,11.6928,2.57056,0.11136,4.734217489548521,93.06578251045147,79-35q #4,1323.15,2.0
22,79-35q #11,0.927,0.071,1035,2000,1.2585662898695371,45.472,0.66816,18.2816,8.06432,5.91136,11.2288,2.8582400000000003,0.10208,4.7495303728052365,92.65046962719477,79-35q #11,1308.15,2.0
23,79-35q #10,0.92,0.08,1025,2000,1.314197447011775,45.71210000000001,0.6796300000000001,18.154500000000002,8.16487,5.930470000000001,11.3582,2.7836900000000004,0.10241,4.769309493766321,92.93069050623369,79-35q #10,1298.15,2.0
24,82-66 #3,0.884,0.116,1012,2000,1.681913971295387,49.197,1.0044000000000002,18.041999999999998,8.0166,4.2408,8.918700000000001,3.6828000000000003,0.41850000000000004,4.913197822605609,93.4868021773944,82-66 #3,1285.15,2.0
25,82-66 #5,0.911,0.088,1000,2000,1.797840644672417,49.16910000000001,0.9889800000000001,18.0069,7.2307500000000005,4.506390000000001,9.143400000000002,3.20952,0.7464000000000001,4.904188820847124,92.99581117915288,82-66 #5,1273.15,2.0
26,8735a #3,0.852,0.145,970,2000,1.99281424101061,48.8177,1.18999,18.084100000000003,7.82395,3.87918,8.21749,4.20713,0.937,5.069177946444902,93.13082205355511,8735a #3,1243.15,2.0
27,8735a #11,0.815,0.181,965,2000,2.0767058727586525,50.1144,1.0362,18.086399999999998,7.18746,3.44772,8.08236,4.27668,1.15866,5.1020340045506725,93.29796599544933,8735a #11,1238.15,2.0
28,3a,0.428,0.506,875,1500,3.9820074921219426,69.3,0.34,13.75,1.95,0.43,1.87,4.72,2.06,4.812463786271833,94.58753621372817,Gardner et al. (1995),1148.15,1.5
29,3b,0.37,0.547,825,1500,4.4212255487833865,68.95,0.28,13.71,1.59,0.4,1.91,4.79,2.13,4.945149274532997,93.95485072546701,Gardner et al. (1995),1098.15,1.5
30,14a,0.536,0.417,875,2500,3.6546014586140254,67.47,0.28,14.66,1.54,0.64,2.45,4.67,1.79,6.364025621799091,93.83597437820092,Gardner et al. (1995),1148.15,2.5
31,14b,0.526,0.427,825,2500,4.067091260788719,68.14,0.29,14.55,1.48,0.67,2.34,5.05,1.79,6.513918988409907,94.78608101159008,Gardner et al. (1995),1098.15,2.5
32,#20,0.783,0.21,1000,1000,2.5948596461609257,58.3,1.02,17.3,6.91,3.45,7.03,4.22,1.46,3.3972062111784807,94.8,Grove et al. (1997),1273.15,1.0
33, #38,0.782,0.21799999999999997,985,1500,2.5121131023288137,58.5,0.98,17.9,6.61,3.07,6.72,4.3,1.49,4.307900480467192,94.2,Grove et al. (1997),1258.15,1.5
34,#39,0.772,0.222,955,1500,2.794234441519964,59.7,1.04,17.6,6.59,2.58,5.98,4.57,1.6,4.429822107042952,94.2,Grove et al. (1997),1228.15,1.5
35,#33,0.771,0.222,970,1500,2.722241604643132,59.9,1.12,17.6,6.31,2.64,5.98,4.43,1.61,4.385777623498082,95.8,Grove et al. (1997),1243.15,1.5
36,#45,0.775,0.22,980,2000,2.4789401483292237,60.2,0.84,17.9,6.32,2.42,5.96,4.21,1.65,5.153804843990601,93.9,Grove et al. (1997),1253.15,2.0
37,#3,0.382,0.595,880,1000,4.263067870841154,71.3,0.4,15.1,2.44,0.44,1.65,5.05,3.03,3.82584442995038,95.6,Grove et al. (1997),1153.15,1.0
38,#1,0.567,0.329,825,3000,4.0003925852612126,64.38,0.24,14.36,2.0,0.4,2.89,3.17,2.54,6.976859466083195,90.0231405339168,Holtz et al. (2005),1098.15,3.0
39,#7,0.708,0.217,850,3000,3.741458440456705,63.57,0.32,14.68,2.18,0.4,3.23,3.27,2.39,6.912835972299674,90.08716402770033,Holtz et al. (2005),1123.15,3.0
40,#ACP1,0.33,0.6699999999999999,880,650,4.617057327934914,73.8,0.33,14.3,1.6,0.23,1.58,5.44,3.35,3.045194121842088,96.0,Larsen (2006),1153.15,0.65
41,#ACP11,0.39,0.61,870,1500,3.861629764002909,70.6,0.33,15.7,2.36,0.35,1.89,5.5,2.91,4.844195914098227,94.84,Larsen (2006),1143.15,1.5
42,#ACP14,0.38,0.62,890,1000,3.83215131600551,71.7,0.37,14.3,2.31,0.3,1.67,6.44,3.04,3.899033392334061,95.51,Larsen (2006),1163.15,1.0
43,#ACP15,0.38,0.62,850,2000,3.749249193698894,70.2,0.49,15.4,2.1,0.33,2.23,6.26,2.94,5.860007485576344,94.33,Larsen (2006),1123.15,2.0
44,#ACP16,0.37,0.63,900,500,4.35614783942469,70.7,0.57,14.5,2.62,0.4,1.91,6.27,3.11,2.6024616763446224,94.74,Larsen (2006),1173.15,0.5
45,#ACP3,0.34,0.6599999999999999,880,950,4.275663266173842,72.6,0.26,14.9,1.3,0.22,1.84,5.65,3.12,3.7557057401613605,95.68,Larsen (2006),1153.15,0.95
46,#ACP7,0.38,0.62,840,1100,4.349417676881456,71.8,0.26,14.7,1.48,0.3,1.65,6.15,3.12,4.218639223424428,95.9,Larsen (2006),1113.15,1.1
47,#ACP9,0.36,0.64,870,1200,4.092908545919397,71.9,0.46,15.0,1.87,0.33,1.76,5.56,3.15,4.3075090266092735,95.1,Larsen (2006),1143.15,1.2
48,#750DOM3,0.206,0.673,750,3000,1.5492908748772813,71.28,0.14,16.73,0.84,0.02,0.93,5.42,4.54,7.468192521151372,,Martel et al. (2013),1023.15,3.0
49,#800CL3,0.3549,0.612,800,2900,2.7187591074241273,68.96,0.18,18.51,0.98,0.02,1.91,5.15,4.2,7.019492368625688,,Martel et al. (2013),1073.15,2.9
50,#750DOM3.5,0.2209,0.7058,750,3500,1.247964531829877,70.84,0.1,17.34,0.59,0.01,1.12,5.19,4.63,8.005051359937571,,Martel et al. (2013),1023.15,3.5
51,#750SAR3.5,0.2044,0.6768,750,3500,1.802203290487268,70.41,0.07,17.37,0.85,0.03,1.46,5.15,4.49,7.977802453936928,,Martel et al. (2013),1023.15,3.5
52,# HPE1000,0.502,0.498,875,1000,4.496400283504559,77.9,0.3,12.1,1.5,0.4,1.8,3.6,2.2,3.8319326063951618,,Martel (2012),1148.15,1.0
53,# HPE1500,0.564,0.43600000000000005,875,1500,4.080994496361681,76.5,0.3,13.0,1.9,0.4,2.4,3.6,2.0,4.771131402550182,,Martel (2012),1148.15,1.5
54,# PE1000,0.47200000000000003,0.528,850,1000,4.905047233706578,79.7,0.3,11.7,1.1,0.4,1.5,2.9,2.2,3.872298127588752,,Martel (2012),1123.15,1.0
55,# PE1250,0.512,0.488,850,1250,4.5992533579280215,78.2,0.2,12.5,1.6,0.4,1.8,3.0,2.1,4.350903438983647,,Martel (2012),1123.15,1.25
56,# PE1500C,0.516,0.484,850,1500,4.416306235723283,77.7,0.3,12.5,1.1,0.4,1.9,3.8,2.1,4.87412360457341,,Martel (2012),1123.15,1.5
57,# PE1750B,0.5429999999999999,0.4570000000000001,850,1750,4.283082428689799,76.8,0.3,13.1,1.2,0.4,2.2,3.8,2.1,5.2841556473341065,,Martel (2012),1123.15,1.75
58,# T1000,0.494,0.506,850,1000,4.869941230809284,79.6,0.3,11.8,1.3,0.4,1.4,2.9,2.3,3.8726728686515175,,Martel (2012),1123.15,1.0
59,# T1250,0.5,0.5,850,1250,4.687471909245636,79.3,0.1,11.7,0.9,0.4,1.4,3.1,2.3,4.39588092472174,,Martel (2012),1123.15,1.25
60,# T1500B,0.537,0.46299999999999997,850,1500,4.49608185641096,78.2,0.2,12.7,0.8,0.4,2.0,3.7,2.0,4.852854925984211,,Martel (2012),1123.15,1.5
61,# VM250,0.601,0.399,1040,250,4.80345619606719,76.6,0.3,12.9,2.4,0.4,2.2,3.2,1.8,1.516500329621262,,Martel (2012),1313.15,0.25
62,#PAF22,0.943,0.055,1050,2000,1.269700692566361,47.9,0.72,17.11,9.03,5.72,10.97,1.38,0.4,4.672567969613046,94.32743203038696,Parman et al. (2011),1323.15,2.0
63,#PAF5,0.946,0.053,1040,2000,1.3816600425541432,47.85,0.71,17.17,8.69,5.58,10.7,1.28,0.38,4.661838602237055,93.02816139776294,Parman et al. (2011),1313.15,2.0
64,#PAF11,0.922,0.076,1037,2000,1.419743029357694,48.64,0.76,16.67,8.92,5.13,10.61,1.3,0.41,4.7039685077259925,95.08603149227402,Parman et al. (2011),1310.15,2.0
65,#PAF8,0.922,0.076,1030,2000,1.4865827993850285,48.41,0.79,16.98,8.89,4.93,10.28,1.52,0.46,4.717159127416094,94.46284087258391,Parman et al. (2011),1303.15,2.0
66,#PAF16,0.943,0.056,1040,2000,1.2292378085457998,47.03,0.65,16.84,9.99,5.74,11.39,1.28,0.4,4.696102164114146,92.98389783588586,Parman et al. (2011),1313.15,2.0
67,#SAR3,0.921,0.078,1040,2000,1.5835645555986995,50.45,0.72,17.8,7.14,4.85,9.67,1.99,0.47,4.706465764993595,95.8135342350064,Parman et al. (2011),1313.15,2.0
68,#SAR4,0.899,0.099,1030,2000,1.7018836359324157,51.52,0.78,17.39,7.37,4.3,8.97,2.32,0.53,4.788043746855804,95.7119562531442,Parman et al. (2011),1303.15,2.0
69,#SAR16,0.923,0.075,1040,2000,1.5492908748772813,50.38,0.76,17.09,8.18,4.5,9.53,1.95,0.33,4.735030112647575,95.08496988735241,Parman et al. (2011),1313.15,2.0
70,PEM 12-4,0.626,0.366,1000,1055,3.1233752146688296,63.4,0.68,16.2,3.03,1.5,3.62,3.6,2.01,3.510121787230799,94.1898782127692,Moore & Carmichael (1998),1273.15,1.055
