,Melt analysis #,Rock type/Co-present phases,P_kbar,P GPa,P MPa,T ºC,T_K,Ref.,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Total,Amph,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MgO_Amp,CaO_Amp,MnO_Amp,Na2O_Amp,K2O_Amp,F_Amp,Cl_Amp,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
0,A2.3(1040)9.3kb,liq+cpx+opx+amph+ap,9.30000007152557,0.930000007152557,930.000007152557,1040,1313.15,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., and Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721. 10.1093/petrology/egg103",52.25,1.24000000953674,17.7999992370605,8.28999996185303,0.259999990463257,2.52999997138977,5.63000011444092,3.78999996185303,2.42000007629395,1.10000002384186,95.30999934673305,A2.3(1040)9.3kb,38.9900016784668,5.23999977111816,13.8299999237061,,12.789999961853,11.4700002670288,9.52000045776367,0.100000001490116,2.45000004768372,0.930000007152557,0.0,0.0,0.6489248664946874,0.2845871443784438,0.1780196526160538,0.16976052457717988,0.27128019387228647,0.07905903766384484,0.01974627118536137,0.0014097015871846286,0.06558361624969536,0.0,0.0,0.0,5.818728894574944,2.551813816234732,1.5962527404360247,1.5221954351221079,2.432494090012636,0.7089004144914653,0.1770593247982977,0.012640402273976522,0.5880700564676872,0.0,0.0,0.0,1.4498051751983514,5.818728894574944,2.181271105425056,0.0,0.0,0.8235573983681164,2.551813816234732,0.7726953420679084,0.012640402273976522,1.5221954351221079,0.47780456487789214,0.2310958496135732,0.1770593247982977,0.2512229845875802,0.5880700564676872,45.176442601631884,95.32000211626291,1.8958990752593825,0.8235573983681164,0.7726953420679084,7.333488430878675,6.191233471507156,-0.0,97.95062313205513,,Recalc Total<98.5,False,0.7675761126606686,0.6151815023630722,0.47780456487789214,2.0,0.4081551744118709,N/A,kaersutite
1,C*4(980)9.3kb,liq+cpx+amph+plag+ap+ilm,9.30000007152557,0.930000007152557,930.000007152557,980,1253.15,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., and Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721. 10.1093/petrology/egg103",58.5800018310547,0.620000004768372,17.25,5.46999979019165,0.109999999403954,0.660000026226044,2.67000007629395,5.05999994277954,3.65000009536743,0.340000003576279,94.41000176966192,C*4(980)9.3kb,38.4900016784668,6.44000005722046,12.8800001144409,,17.5599994659424,7.73999977111816,10.3400001525879,0.28999999165535,2.40000009536743,1.02999997138977,0.0,0.0,0.6406031835175221,0.19204048657994638,0.2444116508357097,0.18438274849030653,0.25264562164829496,0.07744558948571063,0.021869525375864327,0.004088134424282815,0.08060276924604445,0.0,0.0,0.0,5.887930850136706,1.7650881770530606,2.2464435646206145,1.694704149155041,2.3221238796954453,0.7118201833404812,0.20100782582963392,0.03757498154172419,0.7408385469524508,0.0,0.0,0.0,1.4143918462518004,5.887930850136706,2.112069149863294,0.0,0.0,0.11810101864605116,1.7650881770530606,2.1283425459745633,0.03757498154172419,1.694704149155041,0.305295850844959,0.4065243324955222,0.20100782582963392,0.21005472983215112,0.7408385469524508,45.88189898135395,97.17000129818918,1.8495893374062005,0.11810101864605116,2.1283425459745633,1.0259601209122573,16.63682745440685,-0.0,99.12237874497208,,Low Mg# (<54),False,0.4533503489900255,0.4400035424664589,0.305295850844959,2.0,0.6075321583251562,N/A,low-Mg
2,C*4(960)9.3kb,liq+amph+plag+ap+ilm,9.30000007152557,0.930000007152557,930.000007152557,960,1233.15,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., and Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721. 10.1093/petrology/egg103",60.6699981689453,0.5,16.8500003814697,5.13000011444092,0.109999999403954,0.519999980926514,2.13000011444092,4.96000003814697,3.89000010490418,0.25,95.00999890267845,C*4(960)9.3kb,39.4500007629394,5.30999994277954,13.1199998855591,,18.4300003051758,7.76999998092651,10.4399995803833,0.300000011920929,2.82999992370605,1.05999994277954,0.0,0.0,0.656580799596222,0.19278483477884353,0.2565208961553294,0.18616593698859288,0.25735329950783337,0.09132125151119089,0.02250650125334763,0.004229104866584843,0.06645973544743974,0.0,0.0,0.0,5.952562753804259,1.747787671690324,2.3256189230110564,1.6877807319782387,2.3331654933574697,0.8279186365343019,0.20404398234233234,0.0383410726086516,0.6025240855282404,0.0,0.0,0.0,1.4339286703522527,5.952562753804259,2.0474372461957406,0.0,0.0,0.14913674514441055,1.747787671690324,2.176482177866646,0.0383410726086516,1.6877807319782387,0.31221926802176125,0.5156993685125406,0.20404398234233234,0.28572824716172907,0.6025240855282404,45.85086325485559,98.71000033617018,1.8751374919990995,0.14913674514441055,2.176482177866646,1.3134674095000893,17.24812556579858,-0.0,100.71673049829215,,Low Mg# (<54),False,0.4453790739919785,0.429072725998877,0.31221926802176125,2.0,0.719743350854873,N/A,low-Mg
3,C*4(940)9.3kb,liq+amph+plag+ap+ilm,9.30000007152557,0.930000007152557,930.000007152557,940,1213.15,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., and Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721. 10.1093/petrology/egg103",62.2099990844727,0.409999996423721,16.3199996948242,3.47000002861023,0.0500000007450581,0.28999999165535,1.55999994277954,5.30000019073486,4.57999992370606,0.119999997317791,94.30999885126951,C*4(940)9.3kb,38.6199989318848,4.71999979019165,13.0699996948242,,19.4500007629395,6.67999982833862,9.64000034332276,0.300000011920929,2.75999999046326,0.939999997615814,0.0,0.0,0.6427667753792158,0.1657403689047891,0.270717935068612,0.17190036097866865,0.2563725286104334,0.08906242406180351,0.019958596477855813,0.004229104866584843,0.0590753184083663,0.0,0.0,0.0,5.973233216721356,1.5402256538690253,2.51578243315396,1.5974704752876954,2.382470535828826,0.8276573247797808,0.18547528591584567,0.03930108187558221,0.5489870785512515,0.0,0.0,0.0,1.3989020312380014,5.973233216721356,2.026766783278644,0.0,0.0,0.36501531235494866,1.5402256538690253,2.1507671207990113,0.03930108187558221,1.5974704752876954,0.40252952471230463,0.4251278000674762,0.18547528591584567,0.35570375255018183,0.5489870785512515,45.63498468764505,96.17999935150152,1.8293334254650788,0.36501531235494866,2.1507671207990113,3.1362124660494977,16.62799675725612,-0.0,98.32354123733273,,Low Mg# (<54),False,0.4172930557978541,0.3797392955889086,0.40252952471230463,2.0,0.6106030859833218,N/A,low-Mg
4,B2(1000)4.3kb,liq+ol+plag+ilm+ap+amph+bi,4.30000007152557,0.430000007152557,430.000007152557,1000,1273.15,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., and Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721. 10.1093/petrology/egg103",57.7700004577637,0.899999976158142,16.7800006866455,5.26000022888184,0.0799999982118607,0.959999978542328,2.82999992370605,4.09999990463257,5.67999982833862,0.330000013113022,94.69000099599364,B2(1000)4.3kb,41.6800003051758,5.03999996185303,10.9200000762939,,15.789999961853,10.9899997711182,9.75,0.209999993443489,1.79999995231628,0.9200000166893,0.0,0.0,0.6936954980556521,0.2726776441821705,0.21977563068024664,0.17386187342855614,0.21419954838210492,0.058084188267518995,0.019533945892866927,0.002960373196547486,0.06308042706767417,0.0,0.0,0.0,6.149828406461928,2.417372934809069,1.9483799742016419,1.5413400995228084,1.8989462537724364,0.5149345670760196,0.17317456388134989,0.026244637926705505,0.5592277928282163,0.0,0.0,0.0,1.466389121564396,6.149828406461928,1.8501715935380716,0.0,0.0,0.9121520176442885,2.417372934809069,1.0362279565573533,0.026244637926705505,1.5413400995228084,0.45865990047719163,0.05627466659882796,0.17317456388134989,0.04877466023436483,0.5592277928282163,45.08784798235571,97.10000003874299,1.917585774353441,0.9121520176442885,1.0362279565573533,8.215302241343347,8.397766149909257,-0.0,99.84065424249604,,,True,0.69995723618563,0.553712723828168,0.45865990047719163,2.0,0.22944923048017785,N/A,kaersutite
5,C*3.5(940)4.3kb,liq+cpx+plag+spn+ap+amph+bi,4.30000007152557,0.430000007152557,430.000007152557,940,1213.15,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., and Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721. 10.1093/petrology/egg103",61.8600006103516,0.449999988079071,16.6000003814697,3.99000000953674,0.00999999977648258,0.310000002384186,1.55999994277954,4.94999980926514,5.46999979019165,0.129999995231628,95.33000052906574,C*3.5(940)4.3kb,39.7400016784668,5.82999992370606,11.2399997711182,,19.0900001525879,7.23000001907349,10.289999961853,0.300000011920929,2.5699999332428,0.959999978542328,0.0,0.0,0.6614073909604353,0.17938666184680155,0.2657072092056329,0.1834911457382086,0.2204764521948235,0.08293131329136644,0.020383247062844695,0.004229104866584843,0.07296803328876894,0.0,0.0,0.0,6.123379910996002,1.660780778180094,2.4599455786152706,1.6987805262161,2.0411944236925104,0.7677869112763607,0.18871026736524288,0.03915350226724356,0.6755458062488796,0.0,0.0,0.0,1.404174852363047,6.123379910996002,1.876620089003998,0.0,0.0,0.006895910743921263,1.660780778180094,2.4530496678713494,0.03915350226724356,1.6987805262161,0.3012194737839,0.46656743749246066,0.18871026736524288,0.16457433468851246,0.6755458062488796,45.99310408925608,97.2500014305115,1.8362286530901386,0.006895910743921263,2.4530496678713494,0.05947300943097767,19.03648557962414,-0.0,99.09218852006886,,Low Mg# (<54),False,0.4037066670489915,0.40303107616970274,0.3012194737839,2.0,0.6552777048577035,N/A,low-Mg
6,C*3.5(920)4.3kb,liq+cpx+plag+spn+ap+amph+bi,4.30000007152557,0.430000007152557,430.000007152557,920,1193.15,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., and Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721. 10.1093/petrology/egg103",64.9499969482422,0.430000007152557,15.8299999237061,4.09999990463257,0.0799999982118607,0.28999999165535,1.12000000476837,3.64000010490418,5.1100001335144,0.100000001490116,95.6499970182777,C*3.5(920)4.3kb,38.8499984741211,4.55999994277954,10.6000003814697,,22.0699996948242,6.67000007629395,10.5299997329712,0.349999994039535,2.6800000667572,0.8299999833107,0.0,0.0,0.646594741929983,0.1654922607258324,0.3071848077112741,0.18777081854118655,0.2079226445693883,0.08648090697678891,0.01762301572929986,0.004933955397599772,0.05707276706274926,0.0,0.0,0.0,6.050766283426978,1.548659347861517,2.8746034521289814,1.7571397726638587,1.9457184627982322,0.8092793246871199,0.1649143466104735,0.04617144097803696,0.5340810128062559,0.0,0.0,0.0,1.3892011773968267,6.050766283426978,1.9457184627982322,0.003515253774789562,0.0,0.3961137281099951,1.548659347861517,2.4784897240189863,0.04617144097803696,1.7571397726638587,0.24286022733614132,0.5664190973509786,0.1649143466104735,0.0,0.5305657590314663,45.603886271890005,97.13999834656713,1.8166476935189273,0.3961137281099951,2.4784897240189863,3.3798087755228066,19.028804620759768,-0.0,99.29525974154443,,Low Mg# (<54),False,0.3845547607549478,0.35011696521057795,0.24286022733614132,2.0,0.7313334439614521,N/A,low-Mg
7,2,"gl, amph, cpx, phl",14.0,1.4,1400.0,1015,1288.15,"Tiepolo, M., Vannucci, R., Bottazzi, P., Oberti, R., Zanetti, A. and Foley, S. (2000) Partitioning of rare earth elements, Y, Th, U, and Pb between pargasite, kaersutite, and basanite to trachyte melts: Implications for percolated and veined mantle. Geochemistry, Geophysics, Geosystems 1(8) . 10.1029/2000GC000064",52.25,1.71,18.91,9.8,,1.98,4.6,3.81,3.48,,96.54,2,38.06,4.98,15.53,0.01,15.29,9.13,9.71,,2.46,1.55,0.0,0.0,0.6334465082218228,0.226528384279476,0.21281630153383624,0.17314859394782361,0.3046262786751797,0.07938172606850707,0.03291045172249058,0.0,0.0623294700743448,0.00013158743129491245,0.0,0.0,5.719096739117731,2.0452204361929844,1.9214203572609225,1.563278897549858,2.750330350563245,0.7167010391743373,0.2971333091050467,0.0,0.5627440745608974,0.001188042304219439,0.0,0.0,1.4398785302159545,5.719096739117731,2.280903260882269,0.0,0.001188042304219439,0.5444078363961751,2.0452204361929844,1.3770125208647475,0.0,1.563278897549858,0.43672110245014206,0.2799799367241952,0.2971333091050467,0.469427089680976,0.5627440745608974,45.455592163603825,96.72000000000001,1.8829180779747097,0.5444078363961751,1.3770125208647475,4.814567906627591,10.957790347363773,-0.0,99.08527633196607,,,True,0.5976274735988063,0.5156051537533178,0.43672110245014206,2.0,0.5771132458292418,N/A,kaersutite
8,6,"gl, amph",14.0,1.4,1400.0,1015,1288.15,"Tiepolo, M., Vannucci, R., Bottazzi, P., Oberti, R., Zanetti, A. and Foley, S. (2000) Partitioning of rare earth elements, Y, Th, U, and Pb between pargasite, kaersutite, and basanite to trachyte melts: Implications for percolated and veined mantle. Geochemistry, Geophysics, Geosystems 1(8) . 10.1029/2000GC000064",53.02,1.54,18.61,9.2,,1.75,4.37,3.18,2.7,,94.37000000000002,6,39.64,5.19,15.44,0.01,13.8,10.36,9.91,0.01,2.8,1.2,0.0,0.0,0.6597430264296651,0.25704644700277884,0.19207749909528715,0.1767149913514863,0.3028608977942547,0.09035318414301617,0.02547905939805722,0.00014097015661784402,0.06495782122205813,0.00013158743129491245,0.0,0.0,5.806974806922506,2.262490366941696,1.6906418916758708,1.555423038477558,2.6657433774037225,0.7952773171141063,0.22426346335071712,0.0012408015169752035,0.571750539585706,0.0011582159535242405,0.0,0.0,1.4769582491319566,5.806974806922506,2.193025193077494,0.0,0.0011582159535242405,0.4452608562064029,2.262490366941696,1.2453810354694679,0.0012408015169752035,1.555423038477558,0.44457696152244197,0.35070035559166435,0.22426346335071712,0.4727181843262285,0.571750539585706,45.5547391437936,98.36,1.9314069411725587,0.4452608562064029,1.2453810354694679,4.039148574642637,10.165522559270407,-0.0,100.69607807508561,,,True,0.6449752876877285,0.5723285280955669,0.44457696152244197,2.0,0.5749638189423815,N/A,kaersutite
9,9,"gl, amph, cpx, ilm",14.0,1.4,1400.0,975,1248.15,"Tiepolo, M., Vannucci, R., Bottazzi, P., Oberti, R., Zanetti, A. and Foley, S. (2000) Partitioning of rare earth elements, Y, Th, U, and Pb between pargasite, kaersutite, and basanite to trachyte melts: Implications for percolated and veined mantle. Geochemistry, Geophysics, Geosystems 1(8) . 10.1029/2000GC000064",54.6,1.42,17.96,7.69,,1.5,2.93,3.89,3.51,,93.50000000000001,9,38.73,4.94,14.94,0.01,16.35,8.93,9.66,0.01,2.93,1.19,0.0,0.0,0.6445975634112242,0.2215660976578007,0.22757008044985108,0.17225699459690794,0.2930532262335599,0.09454815340679909,0.02526673390307341,0.00014097015661784402,0.06182883176049464,0.00013158743129491245,0.0,0.0,5.78358455520578,1.987978753114471,2.041848863888798,1.5455579574402944,2.629389574680061,0.848323466928681,0.22670314046639334,0.0012648400596571442,0.5547527585180858,0.0011806545331462007,0.0,0.0,1.4488883571008433,5.78358455520578,2.2164154447942197,0.0,0.0011806545331462007,0.5266126210633928,1.987978753114471,1.5152362428254054,0.0012648400596571442,1.5455579574402944,0.45444204255970555,0.39388142436897544,0.22670314046639334,0.41297412988584137,0.5547527585180858,45.47338737893661,97.69000000000001,1.894700159285718,0.5266126210633928,1.5152362428254054,4.68633443704272,12.133176459991217,-0.0,100.05421105631966,,,True,0.5674726659421361,0.493316077523139,0.45444204255970555,2.0,0.6205845648353687,N/A,kaersutite
