,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
0,41.69875,1.6372499999999999,9.732249999999999,14.2835,0.51875,6.1915,22.08125,0.44775,0.23050000000000004,0.0,0
1,41.95975,2.28825,8.72175,16.63075,0.726,4.84,21.6805,0.8235000000000001,0.30324999999999996,0.0,1
2,43.73950000000001,2.157,8.3585,12.435500000000001,0.44625,7.5047500000000005,22.56925,0.49474999999999997,0.21849999999999997,0.0,2
3,43.8626,1.5372,9.2658,13.153199999999998,0.5062,7.1614,22.595399999999998,0.587,0.3328,0.0,3
4,44.181333333333335,1.5376666666666665,7.74,12.003333333333336,0.4146666666666667,8.789333333333333,22.471666666666664,0.46900000000000003,0.16866666666666666,0.0,4
5,42.084666666666664,1.6196666666666666,10.432666666666668,13.463333333333333,0.4323333333333334,6.958666666666666,23.642,0.488,0.14433333333333334,0.0,5
6,44.307,1.5619999999999998,8.965,11.188,0.396,7.6825,21.9075,0.5735,0.46950000000000003,0.0,6
7,44.824285714285715,1.7275714285714285,8.550857142857144,12.539285714285715,0.4598571428571429,8.333142857142857,23.044714285714285,0.5612857142857144,0.22714285714285712,0.0,7
8,43.574333333333335,1.782,8.111333333333333,12.548666666666668,0.5146666666666667,7.828333333333333,22.53233333333333,0.5433333333333333,0.18033333333333335,0.0,8
9,46.25175,1.3905,7.16375,9.724,0.39549999999999996,9.87025,22.894,0.5002500000000001,0.32225,0.0,9
10,46.237,1.243,6.31975,9.532,0.363,9.98625,23.25725,0.37875,0.18974999999999997,0.0,10
11,47.57142146159143,1.0391482246483723,6.628981410445559,11.370830431789122,0.2784132979246582,9.07686170945215,23.023995475558177,0.49800688502016327,0.18234110357037475,0.0,11
12,46.895799999999994,1.192,5.8324,10.7206,0.4920000000000001,9.708200000000001,22.3414,0.47240000000000004,0.1816,0.0,12
13,51.519666666666666,0.5133333333333333,2.830666666666666,9.139333333333335,0.272,13.613000000000001,20.579333333333334,0.33166666666666667,0.10466666666666664,0.0,13
14,46.11,0.53575,6.306500000000001,12.79875,0.29875,9.187999999999999,21.68225,0.50825,0.12475,0.0,14
15,49.82625,0.3925,2.863,8.38575,0.31775,13.77025,21.810249999999996,0.415,0.11674999999999999,0.0,15
16,49.049400000000006,0.6566,4.5166,11.1146,0.3094,11.761,20.622400000000003,0.4466,0.13620000000000002,0.0,16
17,49.398,0.6471666666666667,4.889500000000001,11.536166666666668,0.32066666666666666,11.415666666666667,21.260333333333335,0.42449999999999993,0.15183333333333332,0.0,17
