,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Fe3Fet_Liq,NiO_Liq,CoO_Liq,CO2_Liq,SiO2_Liq_mol_frac,MgO_Liq_mol_frac,MnO_Liq_mol_frac,FeOt_Liq_mol_frac,CaO_Liq_mol_frac,Al2O3_Liq_mol_frac,Na2O_Liq_mol_frac,K2O_Liq_mol_frac,TiO2_Liq_mol_frac,P2O5_Liq_mol_frac,Cr2O3_Liq_mol_frac,Si_Liq_cat_frac,Mg_Liq_cat_frac,Mn_Liq_cat_frac,Fet_Liq_cat_frac,Ca_Liq_cat_frac,Al_Liq_cat_frac,Na_Liq_cat_frac,K_Liq_cat_frac,Ti_Liq_cat_frac,P_Liq_cat_frac,Cr_Liq_cat_frac,Mg_Number_Liq_NoFe3,Mg_Number_Liq_Fe3,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Si_Cpx_cat_6ox,Mg_Cpx_cat_6ox,Fet_Cpx_cat_6ox,Ca_Cpx_cat_6ox,Al_Cpx_cat_6ox,Na_Cpx_cat_6ox,K_Cpx_cat_6ox,Mn_Cpx_cat_6ox,Ti_Cpx_cat_6ox,Cr_Cpx_cat_6ox,oxy_renorm_factor,Al_IV_cat_6ox,Al_VI_cat_6ox,En_Simple_MgFeCa_Cpx,Fs_Simple_MgFeCa_Cpx,Wo_Simple_MgFeCa_Cpx,Cation_Sum_Cpx,Ca_CaMgFe,Lindley_Fe3_Cpx,Lindley_Fe2_Cpx,Lindley_Fe3_Cpx_prop,CrCaTs,a_cpx_En,Mgno_Cpx,Jd,"Jd_from 0=Na, 1=Al",CaTs,CaTi,DiHd_1996,EnFs,DiHd_2003,Di_Cpx,FeIII_Wang21,FeII_Wang21,Kd_Fe_Mg_Fe2,Kd_Fe_Mg_Fe2_Lind,Kd_Fe_Mg_Fet,lnK_Jd_liq,lnK_Jd_DiHd_liq_1996,lnK_Jd_DiHd_liq_2003,Kd_Fe_Mg_IdealWB,Mgno_Liq_noFe3,Mgno_Liq_Fe2,DeltaFeMg_WB,Sample_ID_Liq,Sample_ID_Cpx,P_kbar,T_K,
0,59.63440107,0.416253139,21.23152357,2.32504151,0.136578855,0.196353462,2.566119543,4.347977806,9.114560502,0,0.031190537,5.15,0,0,0,0,0.680731789,0.003341383,0.001320528,0.022195548,0.03138551,0.142819415,0.048115348,0.066365664,0.003574096,0.000150719,0,0.541358438,0.002657267,0.001050163,0.017651221,0.024959626,0.227157,0.076528377,0.105555853,0.002842334,0.000239721,0,0.130841333,0.130841333,41.69875,1.63725,9.73225,14.2835,0.51875,6.1915,22.08125,0.44775,0.2305,0,1.680040675,0.371878596,0.481268451,0.95322089,0.462132947,0.034976753,0.011847487,0.01770272,0.049618226,0,0,0.319959325,0.142173622,0.205870902,0.266428805,0.527700293,4.062686745,0.527700293,0.113526004,0.367742448,0.235889145,0,-3.36E-05,0.435882172,0.034976753,0,0.107196869,0.106381228,0.739642793,0.056752128,0.739642793,0.315849339,0.113526004,0.367742448,0.194825865,0.148868558,0.194825865,1.926483243,-6.586488269,-6.586488269,0.190074084,0.130841333,0.130841333,0.004751781,0,0,2,1123.15,850
1,58.87546212,0.258163354,22.46864208,2.112426351,0.167905454,0.138547069,2.273933713,4.186658051,9.504645041,0,0.013616761,5.05,0,0,0,0,0.676814877,0.002374332,0.001634879,0.02030828,0.028008284,0.152208643,0.046657364,0.069694742,0.002232336,6.63E-05,0,0.533501865,0.001871576,0.001288699,0.016008078,0.022077635,0.239958067,0.073555684,0.109874283,0.001759648,0.000104465,0,0.104673177,0.104673177,41.95975,2.28825,8.72175,16.63075,0.726,4.84,21.6805,0.8235,0.30325,0,1.692602554,0.291055632,0.561034966,0.937053808,0.414650935,0.064406966,0.015605635,0.024805264,0.06943126,0,0,0.307397446,0.107253489,0.16267867,0.313577241,0.52374409,4.070647019,0.52374409,0.125688403,0.435346562,0.224029537,0,-0.012845344,0.341570757,0.064406966,0,0.042846523,0.132275461,0.761931824,0.045079387,0.761931824,0.252897246,0.125688403,0.435346562,0.225362805,0.17487488,0.225362805,2.551055581,-6.27091369,-6.27091369,0.172532161,0.104673177,0.104673177,0.052830644,1,1,2,1123.15,
2,58.81685796,0.397002172,20.61077294,2.461251377,0.133674233,0.183362231,2.878969118,4.708307043,9.773376665,0,0.036426265,3.52,0,0,0,0,0.671390039,0.003120265,0.001292427,0.023495519,0.035211394,0.138641827,0.052102072,0.07116169,0.003408752,0.000176016,0,0.531970386,0.002472316,0.001024044,0.018616481,0.027899459,0.219703427,0.082565298,0.112768762,0.002700897,0.00027893,0,0.11723018,0.11723018,43.7395,2.157,8.3585,12.4355,0.44625,7.50475,22.56925,0.49475,0.2185,0,1.723532133,0.440849493,0.409793265,0.952874783,0.388177924,0.037798843,0.010983874,0.014893917,0.063933016,0,0,0.276467867,0.111710057,0.244438705,0.227218896,0.528342398,4.042837248,0.528342398,0.074690622,0.335102643,0.182264153,0,-0.00129537,0.518246225,0.037798843,0,0.073911213,0.101278327,0.777685243,0.036478757,0.777685243,0.396103545,0.074690622,0.335102643,0.123447112,0.100947129,0.123447112,1.996500653,-6.452562121,-6.452562121,0.205393798,0.11723018,0.11723018,0.081946686,2,2,2,1173.15,
3,58.65291073,0.539009079,20.16148179,2.885844962,0.155706737,0.207188322,3.110597017,5.0391513,9.183408435,0,0.064701634,2.66,0,0,0,0,0.667294927,0.003514003,0.001500447,0.027457263,0.037917975,0.135169162,0.055577985,0.066643945,0.004612685,0.000311608,0,0.530566506,0.002793985,0.001193006,0.021831283,0.0301486,0.214946127,0.088380163,0.105977263,0.003667548,0.00049552,0,0.113456729,0.113456729,43.8626,1.5372,9.2658,13.1532,0.5062,7.1614,22.5954,0.587,0.3328,0,1.714340347,0.417262305,0.429922419,0.946228109,0.42681779,0.04448237,0.01659375,0.016757528,0.0451921,0,0,0.285659653,0.141158137,0.232663833,0.239723064,0.527613103,4.057596717,0.527613103,0.098599685,0.331322734,0.229342971,0,-0.005522384,0.492519777,0.04448237,0,0.096675767,0.094491943,0.755060399,0.046062162,0.755060399,0.364675118,0.098599685,0.331322734,0.131863856,0.101621807,0.131863856,2.118433167,-6.07382825,-6.07382825,0.200608679,0.113456729,0.113456729,0.068744823,3,3,2,1173.15,
4,59.29713276,0.509095277,20.93853931,2.629347588,0.157388677,0.348786497,3.733462075,3.858392123,8.448561585,0,0.079294106,5.33,0,0,0,0,0.673568345,0.005906309,0.001514281,0.024977673,0.045439428,0.140159092,0.042488508,0.061215203,0.004349872,0.000381289,0,0.541347432,0.004746906,0.001217029,0.020074576,0.036519706,0.225291955,0.068296097,0.098397418,0.003495996,0.000612885,0,0.191236664,0.191236664,44.18133333,1.537666667,7.74,12.00333333,0.414666667,8.789333333,22.47166667,0.469,0.168666667,0,1.738384277,0.51555078,0.394970653,0.94736075,0.358925937,0.035778897,0.008466322,0.013819465,0.045509141,0,0,0.261615723,0.097310215,0.277493796,0.212591873,0.509914331,4.058766222,0.509914331,0.109066123,0.28590453,0.276137282,0,0.006701915,0.566206671,0.035778897,0,0.061531318,0.100042203,0.78578723,0.062367101,0.78578723,0.438272525,0.109066123,0.28590453,0.181158031,0.131133545,0.181158031,2.071251768,-5.921016102,-5.921016102,0.214314441,0.191236664,0.191236664,0.033156409,4,4,2,1173.15,
5,58.35510011,0.462516979,20.88956745,2.451233544,0.104144973,0.357428967,3.910420711,4.428206425,8.991180969,0,0.050199879,3.55,0,0,0,0,0.663706674,0.006060321,0.001003277,0.023315141,0.04765341,0.140008284,0.048825013,0.06522929,0.003956895,0.000241694,0,0.529143275,0.00483162,0.000799867,0.018588106,0.037991906,0.223244529,0.077851943,0.104008718,0.003154653,0.000385383,0,0.206300095,0.206300095,42.08466667,1.619666667,10.43266667,13.46333333,0.432333333,6.958666667,23.642,0.488,0.144333333,0,1.650972334,0.406958836,0.441697048,0.993741102,0.482356517,0.037117854,0.00722339,0.014365467,0.047793741,0,0,0.349027666,0.133328851,0.220885531,0.239740431,0.539374038,4.08222629,0.539374038,0.157229189,0.284467859,0.35596613,0,-0.028053404,0.479525057,0.037117854,0,0.096210996,0.126408335,0.771121771,0.038767057,0.771121771,0.36362347,0.157229189,0.284467859,0.282118535,0.181693892,0.282118535,2.031768896,-6.005872967,-6.005872967,0.198191661,0.206300095,0.206300095,0.083926875,5,5,2,1173.15,
6,59.14413668,0.51650976,20.33117308,2.461736022,0.129722707,0.392850109,4.168197354,4.181176702,8.609485021,0,0.065012559,4.05,0,0,0,0,0.669760541,0.006631981,0.001244254,0.023313385,0.050574229,0.135674184,0.045901146,0.062189001,0.004399627,0.000311652,0,0.538359835,0.005330849,0.001000143,0.018739519,0.040652042,0.218112375,0.073791547,0.09997621,0.003536462,0.000501018,0,0.221463603,0.221463603,44.307,1.562,8.965,11.188,0.396,7.6825,21.9075,0.5735,0.4695,0,1.745680221,0.451235709,0.368638591,0.92482232,0.416293428,0.043809965,0.023598613,0.013215167,0.04629167,0,0,0.254319779,0.161973649,0.258632764,0.211290941,0.530076295,4.033585684,0.530076295,0.043572755,0.325065836,0.118199115,0,0.005890137,0.550363551,0.043809965,0,0.118163684,0.068078048,0.738580588,0.040646856,0.738580588,0.400045791,0.043572755,0.325065836,0.232399552,0.204930131,0.232399552,2.239818192,-5.625092928,-5.625092928,0.211367621,0.221463603,0.221463603,0.021031931,6,6,2,1173.15,
7,57.77974659,0.51799089,20.54178544,2.720208716,0.150880267,0.302607398,3.297438807,4.970798513,9.650347758,0,0.068195624,4.2,0,0,0,0,0.659100408,0.005145932,0.001457785,0.025949809,0.040301929,0.138083268,0.054969179,0.070217838,0.004444547,0.000329305,0,0.521605431,0.004072439,0.001153676,0.020536418,0.031894541,0.218555417,0.08700411,0.111139382,0.00351737,0.000521217,0,0.165482097,0.165482097,44.82428571,1.727571429,8.550857143,12.53928571,0.459857143,8.333142857,23.04471429,0.561285714,0.227142857,0,1.72353286,0.477665157,0.403213424,0.94940312,0.387500936,0.041844397,0.011142017,0.014976635,0.049965666,0,0,0.27646714,0.111033797,0.260979038,0.220301292,0.51871967,4.059244213,0.51871967,0.107346409,0.295867015,0.266227269,0,-0.001863254,0.542251638,0.041844397,0,0.0691894,0.10363887,0.77657485,0.052151865,0.77657485,0.414065511,0.107346409,0.295867015,0.167394539,0.122829548,0.167394539,2.090405938,-6.108388826,-6.108388826,0.209858805,0.165482097,0.165482097,0.042464266,7,7,2,1173.15,
8,58.80831924,0.528442555,20.45290193,2.424088741,0.123811046,0.322235291,3.365860909,4.414931579,9.508641419,0,0.050767288,3.55,0,0,0,0,0.669463317,0.005468518,0.001193803,0.0230777,0.041054174,0.13720498,0.048722452,0.069045445,0.004524966,0.000244646,0,0.533344465,0.00435663,0.000951072,0.018385419,0.03270682,0.218615463,0.077631886,0.110013514,0.003604925,0.000389806,0,0.191561996,0.191561996,43.57433333,1.782,8.111333333,12.54866667,0.514666667,7.828333333,22.53233333,0.543333333,0.180333333,0,1.7251047,0.462021901,0.415468674,0.955793364,0.378472101,0.041705967,0.009107921,0.017258215,0.053066675,0,0,0.2748953,0.103576801,0.252018736,0.226625383,0.521355881,4.057999518,0.521355881,0.106891115,0.308577559,0.257278398,0,-0.005189051,0.526518012,0.041705967,0,0.061870834,0.106512233,0.787410296,0.045040139,0.787410296,0.406595467,0.106891115,0.308577559,0.213084991,0.158262826,0.213084991,2.156282508,-6.065598582,-6.065598582,0.20693235,0.191561996,0.191561996,0.006152641,8,8,2,1173.15,
9,58.65973995,0.526532609,20.17247111,2.798561652,0.147507779,0.542523027,4.382907666,4.161642919,8.5348948,0,0.073218493,2.8,0,0,0,0,0.663399882,0.009146648,0.001412978,0.026468305,0.053109317,0.134437763,0.045626506,0.061568982,0.004479092,0.000350527,0,0.534145368,0.007364547,0.001137678,0.021311313,0.042761683,0.216488759,0.073473594,0.099146194,0.003606402,0.000564463,0,0.256814073,0.256814073,46.25175,1.3905,7.16375,9.724,0.3955,9.87025,22.894,0.50025,0.32225,0,1.782782105,0.567161569,0.313451997,0.945507355,0.325437379,0.037385598,0.01584607,0.012912244,0.040315362,0,0,0.217217895,0.108219484,0.310582702,0.171649091,0.517768207,4.040799677,0.517768207,0.065753285,0.247698712,0.209771467,0,0.001022231,0.644045069,0.037385598,0,0.070833886,0.073192005,0.801481464,0.039566051,0.801481464,0.508736827,0.065753285,0.247698712,0.190985367,0.150922087,0.190985367,2.108750634,-5.627942889,-5.627942889,0.228792383,0.256814073,0.256814073,0.037807015,9,9,2,1198.15,
