,Reference,Sample,T_C,T_K,T_sd,P_kbar,P_sd,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,F_Amp,Cl_Amp,Total,Altot,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
0,Mutch et al. (2016),MC1314 R01,750,1023.15,20,1.0,0.02,50.04,0.67,4.31,,17.48,0.44,12.68,11.06,0.92,0.39,,0.18,98.17,0.745,0.8328340323547033,0.314608971814212,0.24329816552069705,0.19722177642254676,0.08454212885318896,0.029687474789848175,0.008280694304368598,0.006202686891185137,0.008385691756990164,0.0,0.0,0.0050771443883451325,7.266963045451145,2.7451469117769514,2.122918503781742,1.7208751147797419,0.7376794202596128,0.25904054569026863,0.07225389112688863,0.05412206354404758,0.07317005518650341,0.0,0.0,0.04430104824391951,1.4898716771909764,7.266963045451145,0.7330369545488553,0.0,0.0,0.8090097120884465,2.7451469117769514,1.3139087916932954,0.05412206354404758,1.7208751147797419,0.25904054569026863,0.0,0.07225389112688863,0.004642465710757437,0.07317005518650341,45.19099028791155,98.17000000000002,1.905138004410343,0.8090097120884465,1.3139087916932954,7.403033114430271,10.818656315767864,-0.04061461653456696,100.77621281807393,,Low B Cations,False,0.6763018574566536,0.5639092077528911,0.25904054569026863,1.9799156604700106,0.07225389112688863,N/A,Mg-Hornblende
1,Mutch et al. (2016),MC1314 R02,715,988.15,20,2.0,0.02,48.42,0.91,4.71,0.01,18.31,0.37,11.41,10.88,1.02,0.46,,0.23,96.73,0.833,0.8058717795086878,0.283098451766574,0.2548506527851237,0.19401201875925037,0.09238826610174479,0.032914374223527325,0.00976697276925527,0.005215895794860228,0.011389521640091117,0.00013158743129491245,0.0,0.006487462273996558,7.210407004661735,2.532977468042224,2.2802348695034076,1.735891061854936,0.8266290221190099,0.2944960234245559,0.08738840428524945,0.046668381411463025,0.10190589706904367,0.001177357193116666,0.0,0.05804551618797472,1.4529461550283767,7.210407004661735,0.789592995338265,0.0,0.001177357193116666,0.6939012658066375,2.532977468042224,1.5863336036967701,0.046668381411463025,1.735891061854936,0.2641089381450641,0.0303870852794918,0.08738840428524945,0.03703602678074491,0.10190589706904367,45.30609873419336,96.72999999999999,1.8448630810927527,0.6939012658066375,1.5863336036967701,6.19233284677963,12.738059869250872,-0.05189645446083556,99.14335934266242,,,True,0.6149031777230922,0.5262550850465592,0.2641089381450641,2.0,0.11777548956474125,N/A,Mg-Hornblende
2,Mutch et al. (2016),MC1314 R03 ,715,988.15,15,4.3,0.05,44.14,1.41,9.6,,19.18,0.35,10.04,10.42,1.57,1.02,,0.07,97.82,1.692,0.7346381732241528,0.2491067884080984,0.26695988642373963,0.18580930473082616,0.18830729396533968,0.05066232110876265,0.02165720048834864,0.00493395548162454,0.017647500563218104,0.0,0.0,0.001974445039911996,6.534166723602192,2.2156557428754295,2.3744483610905163,1.6526625217137672,1.6748806404108127,0.45061101477546023,0.19262783219702193,0.04388458005425325,0.156963951966796,0.0,0.0,0.017561506531512495,1.4615935980661732,6.534166723602192,1.4658332763978077,0.0,0.0,0.9942941180511937,2.2156557428754295,1.3801542430393225,0.04388458005425325,1.6526625217137672,0.34733747828623285,0.10327353648922738,0.19262783219702193,0.20904736401300505,0.156963951966796,45.005705881948806,97.79999999999998,1.8945319223242052,0.9942941180511937,1.3801542430393225,8.92582966713988,11.148424541579278,-0.01579457309677604,100.57299155794657,,,True,0.6161770926590773,0.48270272148317006,0.34733747828623285,2.0,0.2959013686862493,N/A,Mg-Hornblende
3,Mutch et al. (2016),MC1314 R05,730,1003.15,50,10.0,0.05,43.22,1.22,13.13,,18.93,0.31,7.74,10.3,1.53,0.89,,0.02,97.3,2.327,0.7193262765461687,0.19204049225883288,0.2634802215850569,0.18366946628862854,0.2575494551838448,0.049371561335290984,0.018896969053559108,0.004370074855153164,0.015269468572429848,0.0,0.0,0.0005641271542605703,6.440089409581859,1.7193281835125866,2.3589242322851502,1.6443828388813628,2.305826400137907,0.4420209293849161,0.1691835461083857,0.03912504479731114,0.13670672968518607,0.0,0.0,0.005050600027090587,1.4520359890014862,6.440089409581859,1.5599105904181414,0.0,0.0,0.6406111680719704,1.7193281835125866,1.7183130642131799,0.03912504479731114,1.6443828388813628,0.35561716111863717,0.08640376826627894,0.1691835461083857,0.7459158097197656,0.13670672968518607,45.35938883192803,97.28999999999999,1.8940212124984208,0.6406111680719704,1.7183130642131799,5.713194096305651,13.78919503236656,-0.00451273517050744,99.75189760600011,,Low Mg# (<54),False,0.5001476476493989,0.42158454362768355,0.35561716111863717,2.0,0.25558731437466464,N/A,Tschermakitic pargasite
4,Mutch et al. (2016),MC1314 R06 ,715,988.15,15,8.0,0.05,41.02,3.04,12.29,0.05,17.76,0.27,9.73,10.21,1.91,0.95,,0.02,97.25,2.184,0.6827108714466413,0.24141524414450177,0.24719539014002173,0.18206458745698034,0.24107256696187757,0.06163377918327175,0.02017092202346197,0.0038061942286817885,0.038048511852612085,0.0006579371564745623,0.0,0.0005641271542605703,6.1002133206376685,2.157112988423219,2.2087602157808064,1.626798207077148,2.154051071583235,0.5507151218763336,0.18023285165553923,0.03400941409580814,0.3399741362575988,0.005878853221663225,0.0,0.005040634512911391,1.454906715930811,6.1002133206376685,1.8997866793623315,0.0,0.005878853221663225,0.9751507737183971,2.157112988423219,1.2336094420624093,0.03400941409580814,1.626798207077148,0.37320179292285194,0.1775133289534817,0.18023285165553923,0.25426439222090336,0.3399741362575988,45.0248492262816,97.24999999999999,1.8977752400213839,0.9751507737183971,1.2336094420624093,8.713928875110678,9.91909557882158,-0.00451273517050744,100.01628695878313,,,True,0.6361809415683346,0.4940851205541363,0.37320179292285194,2.0,0.35774618060902097,N/A,Tschermakitic pargasite
5,Mutch et al. (2016),MC1314 R07,730,1003.15,50,10.0,0.05,41.28,2.8,13.0,,16.63,0.22,10.07,10.28,1.96,1.0,,0.02,97.26,2.294,0.6870381465947674,0.24985113140134974,0.2314673050691757,0.18331282654826225,0.25499946057806416,0.06324722890011132,0.02123254949838102,0.0031013434455925684,0.035044681969511125,0.0,0.0,0.0005641271542605703,6.111175683443189,2.222415401922788,2.058892032795965,1.6305599530643462,2.2682095754065146,0.5625814654036991,0.1888626429771494,0.02758632070817182,0.31172098572336754,0.0,0.0,0.005017887528624541,1.461502069058461,6.111175683443189,1.8888243165568106,0.0,0.0,0.8734330717508456,2.222415401922788,1.1854589610451196,0.02758632070817182,1.6305599530643462,0.3694400469356538,0.19314141846804533,0.1888626429771494,0.379385258849704,0.31172098572336754,45.126566928249154,97.25999999999999,1.9063999325729264,0.8734330717508456,1.1854589610451196,7.840362794501284,9.575141487826622,-0.00451273517050744,99.94739147973033,,,True,0.6521412367993793,0.5190973635530994,0.3694400469356538,2.0,0.3820040614451947,N/A,Tschermakitic pargasite
6,Mutch et al. (2016),MC1314 R08 ,760,1033.15,20,1.0,0.02,50.51,0.61,3.85,,17.59,0.4,12.69,10.73,0.87,0.37,,0.17,97.79,0.667,0.8406564143532387,0.31485708614529573,0.24482921804971744,0.19133722070650333,0.07551907101734977,0.0280740250730086,0.007856043314400978,0.005638806264713761,0.007634734286214924,0.0,0.0,0.004795080811214848,7.338845009967566,2.748670343862261,2.137334176603857,1.6703544794615115,0.659273810358607,0.24508338400684657,0.0685824592444669,0.04922620527413217,0.06665045393357716,0.0,0.0,0.041860567864517056,1.4891353301165302,7.338845009967566,0.659273810358607,0.0018811796738266162,0.0,0.875360459664769,2.748670343862261,1.2619737169390879,0.04922620527413217,1.6703544794615115,0.24508338400684657,0.0,0.0685824592444669,0.0,0.06476927425975054,45.12463954033523,97.79000000000002,1.9065726294109058,0.875360459664769,1.2619737169390879,8.006232273231182,10.385890013807073,-0.038358248949313244,100.46033666749986,,Low B Cations,False,0.685343875495414,0.5625599264898022,0.24508338400684657,1.915437863468358,0.0685824592444669,N/A,Mg-Hornblende
7,Mutch et al. (2016),MC1314 R10 ,705,978.15,20,2.0,0.02,48.72,0.65,6.14,,18.04,0.51,11.74,11.33,0.63,0.36,,0.03,98.14,1.063,0.810864789294987,0.2912862246923382,0.25109261475934636,0.2020364129174914,0.12043820676533183,0.02032946643217864,0.0076437178194171665,0.007189477987510045,0.008135372600065085,0.0,0.0,0.0008461907313908554,7.0793787289480825,2.543118816289289,2.1922023737999563,1.763909720786667,1.0515041353176346,0.1774895076600403,0.06673464436396616,0.0627688342236095,0.07102711142142804,0.0,0.0,0.007387797254891207,1.4890066860995785,7.0793787289480825,0.9206212710519175,0.0,0.0,0.875640590345995,2.543118816289289,1.3165617834539614,0.0627688342236095,1.763909720786667,0.1774895076600403,0.0,0.06673464436396616,0.13088286426571716,0.07102711142142804,45.124359409654005,98.14999999999999,1.939969968298011,0.875640590345995,1.3165617834539614,8.008102540881637,10.834207123104218,-0.006769102755761159,100.8855105295281,,Low B Cations,False,0.6588935925056751,0.5370530771200674,0.1774895076600403,1.9413992284467072,0.06673464436396616,N/A,Mg-Hornblende
8,Mutch et al. (2016),MC1314 R11 ,720,993.15,20,1.5,0.02,49.59,0.53,4.5,,19.42,0.6,11.89,9.76,0.8,0.42,,0.03,97.54,0.785,0.8253445176752546,0.2950079396585947,0.2703003646688751,0.17404019329873927,0.08826904404625298,0.025815195469433196,0.008917670789320029,0.00845820939707064,0.006633457658514607,0.0,0.0,0.0008461907313908554,7.181647616994763,2.5669802385205838,2.3519899002477413,1.514392247961827,0.7680637070380392,0.2246281801780331,0.07759616475511986,0.07359821027419214,0.057720326924678864,0.0,0.0,0.007363038730460563,1.4940135331045628,7.181647616994763,0.7680637070380392,0.050288675967198104,0.0,1.422191564266278,2.5669802385205838,0.9297983359814634,0.07359821027419214,1.514392247961827,0.2246281801780331,0.0,0.07759616475511986,0.0,0.007431650957480759,44.57780843573372,97.54,1.9465173836122212,1.422191564266278,0.9297983359814634,13.050276769032973,7.677194397330559,-0.006769102755761159,100.78721944722,,Low B Cations,False,0.734098594986424,0.5218531859523217,0.2246281801780331,1.73902042813986,0.07759616475511986,N/A,Mg-Hornblende
9,Mutch et al. (2016),MC1314 R12 A ,680,953.15,15,4.3,0.05,43.95,0.65,9.83,,24.38,0.65,6.46,10.09,0.96,0.56,,0.05,97.58,1.764,0.73147593369283,0.16028185788011115,0.33933691506834057,0.17992474901478273,0.1928188228832593,0.030978234563319832,0.011890227719093371,0.009163060180159862,0.008135372600065085,0.0,0.0,0.0014103178856514258,6.598048993986861,1.4457721743505922,3.060882098725999,1.6229547064344685,1.739261651335297,0.27942943845618545,0.10725206589391814,0.08265250737412942,0.07338257422712233,0.0,0.0,0.012721329681547221,1.441211962304766,6.598048993986861,1.4019510060131388,0.0,0.0,1.2852842950177035,1.4457721743505922,1.7755978037082953,0.08265250737412942,1.6229547064344685,0.27942943845618545,0.0,0.10725206589391814,0.33731064532215815,0.07338257422712233,44.7147157049823,97.58,1.8726740948320415,1.2852842950177035,1.7755978037082953,11.377167489097031,14.142679481978748,-0.0112818379262686,100.58123922798156,,Low B Cations,False,0.4488066208470026,0.3208083173781148,0.27942943845618545,1.902384144890654,0.10725206589391814,N/A,low-Mg
