,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
0,51.51,0.7,2.76,7.5,0.2,15.73,20.49,0.29,0.0,0.03,0
1,53.4,0.52,2.93,7.64,0.22,15.35,18.8,0.37,0.0,0.07,1
2,51.63,0.58,2.54,5.81,0.13,16.86,20.43,0.25,0.0,0.07,2
3,51.81,0.6,3.0,6.24,0.14,16.13,21.69,0.27,0.0,0.09,3
4,51.15,0.53,2.57,5.55,0.16,16.37,21.36,0.32,0.0,0.19,4
5,51.31,0.48,2.44,6.48,0.17,16.01,20.97,0.28,0.0,0.33,5
6,51.49,0.6,2.57,6.98,0.22,16.77,19.42,0.25,0.0,0.24,6
7,51.43,0.66,3.03,6.76,0.15,15.98,20.98,0.29,0.0,0.06,7
8,51.06,0.62,3.16,6.18,0.12,15.78,20.82,0.27,0.0,0.01,8
9,53.32,0.48,2.25,5.92,0.15,16.91,20.73,0.28,0.0,0.12,9
10,51.75,0.26,2.43,6.05,0.17,16.51,21.33,0.33,0.0,0.0,10
11,52.77,0.4,1.8,5.07,0.19,17.58,20.9,0.28,0.0,0.41,11
12,51.99,0.61,2.81,6.57,0.14,16.35,20.26,0.28,0.0,0.21,12
13,52.9,0.18,6.07,4.64,0.11,23.1,12.9,0.31,0.0,0.63,13
14,53.1,0.16,5.93,4.56,0.11,23.6,12.2,0.34,0.0,0.83,14
15,50.3,0.2,10.0,6.16,0.1,20.0,13.4,0.36,0.0,0.04,15
16,50.2,0.25,10.2,6.49,0.11,19.0,13.7,0.41,0.0,0.0,16
17,50.4,0.15,7.54,5.32,0.11,20.2,14.3,0.42,0.0,0.44,17
18,50.3,0.31,10.3,5.01,0.11,18.8,14.6,0.72,0.0,0.04,18
19,50.5,0.24,10.2,5.22,0.11,19.2,13.5,0.76,0.0,0.05,19
20,50.4,0.28,9.84,5.61,0.2,19.0,14.0,0.72,0.0,0.1,20
21,49.8,0.27,10.1,5.21,0.12,18.7,14.8,0.68,0.0,0.19,21
22,51.5,0.47,7.34,5.44,0.14,19.1,15.4,0.61,0.0,0.25,22
23,51.6,0.55,4.79,9.37,0.26,18.8,14.3,0.31,0.0,0.39,23
24,53.1,0.52,3.64,7.11,0.13,20.5,14.9,0.3,0.0,0.17,24
25,51.1,0.72,7.03,7.83,0.17,19.7,13.3,0.59,0.0,0.13,25
26,50.2,0.92,8.55,8.19,0.19,18.9,12.9,0.65,0.0,0.1,26
27,50.5,0.68,8.42,7.66,0.18,19.3,12.6,0.67,0.0,0.1,27
28,52.8,0.65,4.45,6.43,0.17,20.1,15.0,0.37,0.0,0.13,28
29,51.9,0.37,7.2,5.85,0.16,21.5,12.0,0.47,0.0,0.14,29
30,52.9,0.35,7.4,5.2,0.17,23.1,11.6,0.55,0.0,0.12,30
31,50.8,0.98,6.97,7.58,0.19,18.3,14.2,0.59,0.0,0.15,31
32,51.9,0.48,7.25,6.05,0.18,21.5,12.4,0.48,0.0,0.19,32
33,50.2,0.63,10.5,7.9,0.15,18.9,10.3,1.23,0.0,0.06,33
34,50.2,0.85,8.76,7.86,0.18,18.4,13.0,0.75,0.0,0.12,34
35,51.3,0.58,7.01,5.8,0.16,19.9,14.3,0.5,0.0,0.18,35
36,51.6,0.25,8.87,5.12,0.15,21.8,11.9,0.55,0.0,0.08,36
37,52.5,0.31,7.48,5.94,0.15,23.5,10.4,0.58,0.0,0.09,37
38,51.4,0.33,8.17,5.56,0.17,21.0,13.2,0.47,0.0,0.08,38
39,51.2,0.36,8.44,5.54,0.15,20.3,14.1,0.52,0.0,0.08,39
40,51.3,0.53,9.15,7.15,0.19,20.6,10.8,0.93,0.0,0.08,40
41,51.5,0.49,8.97,6.53,0.18,20.9,11.1,0.74,0.0,0.08,41
42,53.2,0.38,4.71,6.81,0.15,20.5,14.3,0.31,0.0,0.09,42
43,51.4,0.93,3.2,6.58,0.0,16.3,20.7,0.3,0.02,0.0,43
44,52.4,0.37,2.29,6.27,0.0,16.5,20.97,0.3,0.03,0.0,44
45,48.9,1.05,3.9,12.0,0.0,15.1,17.7,0.4,0.13,0.0,45
46,50.6,0.89,5.11,7.52,0.0,15.1,21.42,0.3,0.02,0.0,46
47,52.2,0.42,2.6,6.71,0.0,17.3,20.35,0.3,0.03,0.0,47
48,51.4,1.17,3.1,6.05,0.0,15.5,21.01,1.1,0.03,0.0,48
49,51.7,1.08,2.7,6.18,0.0,16.6,19.9,0.8,0.0,0.0,49
50,50.1,0.79,4.2,6.94,0.0,15.4,21.52,0.4,0.02,0.0,50
51,50.5,0.71,4.2,6.08,0.0,15.4,22.0,0.3,0.0,0.0,51
52,50.2,0.75,4.37,6.97,0.0,14.8,21.7,0.35,0.01,0.0,52
53,50.64,1.33,5.86,10.77,0.19,17.63,13.52,0.54,0.02,0.23,53
54,51.58,0.85,5.17,9.1,0.17,19.2,12.8,0.71,0.01,0.27,54
55,51.49,0.75,7.16,9.54,0.17,18.52,11.41,1.07,0.01,0.27,55
56,50.82,0.77,5.77,10.23,0.2,20.91,10.06,0.9,0.04,0.23,56
57,52.5,0.77,8.15,9.01,0.17,15.81,12.36,1.76,0.02,0.19,57
58,48.66,1.19,10.45,9.29,0.22,14.57,15.26,0.87,0.02,0.06,58
59,50.12,0.61,11.17,6.19,0.13,13.06,17.13,1.57,0.01,0.17,59
60,50.17,0.88,9.08,7.78,0.14,15.44,15.86,0.63,0.0,0.08,60
61,49.85,0.69,8.4,6.37,0.15,16.09,17.39,0.66,0.0,0.24,61
62,49.94,0.91,7.96,6.9,0.17,16.8,16.93,0.51,0.02,0.16,62
63,49.66,2.66,4.42,5.58,0.1,13.53,23.59,0.36,0.05,0.03,63
64,49.46,2.3,4.29,5.57,0.16,13.9,23.56,0.39,0.01,0.0,64
65,51.33,2.16,4.69,5.56,0.12,13.22,23.41,0.49,0.03,0.05,65
66,48.91,2.24,6.13,6.24,0.11,12.51,22.93,0.55,0.04,0.01,66
67,47.02,2.9,8.65,6.85,0.11,11.62,22.07,0.86,0.64,0.0,67
68,48.11,1.39,10.3,7.23,0.19,13.66,17.15,1.34,0.0,0.14,68
69,51.01,0.95,5.43,6.59,0.21,17.68,17.78,0.72,0.0,0.21,69
70,49.25,1.37,10.78,6.95,0.07,12.89,17.12,1.5,0.01,0.07,70
71,48.99,1.63,8.63,10.58,0.24,13.16,16.06,0.87,0.0,0.0,71
72,48.81,1.66,10.5,7.2,0.18,12.41,18.22,1.72,0.02,0.12,72
73,50.98,0.96,10.5,5.9,0.11,12.23,17.8,1.82,0.03,0.1,73
74,48.09,1.44,9.1,7.16,0.2,15.5,17.1,0.86,0.03,0.11,74
75,49.7,1.12,8.38,6.52,0.16,14.66,17.85,0.98,0.01,0.0,75
76,51.0,0.5,4.69,5.14,0.1,15.5,22.1,0.21,0.0,0.51,76
77,51.0,0.47,4.4,4.7,0.07,15.7,22.3,0.21,0.0,0.67,77
78,51.1,0.63,4.41,5.66,0.13,15.6,22.6,0.23,0.0,0.27,78
79,50.9,0.38,4.37,4.56,0.0,15.4,23.1,0.2,0.0,0.71,79
80,51.5,0.5,3.7,5.18,0.09,15.8,22.8,0.24,0.0,0.66,80
81,50.3,0.73,4.12,5.83,0.0,15.0,22.7,0.24,0.0,0.28,81
82,50.5,0.93,4.5,6.11,0.13,15.0,22.8,0.27,0.0,0.23,82
83,52.1,0.6,3.0,5.6,0.11,16.4,21.9,0.22,0.0,0.5,83
84,51.8,0.77,3.0,7.15,0.2,15.6,21.6,0.25,0.0,0.16,84
85,51.8,0.88,3.2,7.1,0.17,15.6,21.6,0.27,0.0,0.24,85
86,51.4,0.63,3.56,5.43,0.06,15.7,22.6,0.19,0.0,0.34,86
87,51.4,0.63,3.67,5.27,0.1,15.7,22.7,0.21,0.0,0.28,87
88,47.3,1.75,7.85,6.51,0.14,13.1,22.5,0.25,0.0,0.22,88
89,51.4,0.59,2.86,6.61,0.21,15.5,21.9,0.22,0.0,0.17,89
90,51.0,0.56,4.14,7.33,0.2,14.4,22.4,0.31,0.0,0.09,90
91,49.3,0.99,5.54,7.14,0.25,14.4,22.3,0.24,0.0,0.09,91
92,49.4,1.08,5.82,6.35,0.13,14.4,23.0,0.34,0.0,0.08,92
93,51.5,0.72,2.92,6.36,0.16,16.7,20.8,0.21,0.0,0.0,93
94,51.8,0.94,2.46,7.94,0.12,16.4,19.8,0.26,0.0,0.0,94
95,51.3,1.28,2.86,8.89,0.18,16.3,18.8,0.32,0.0,0.0,95
96,52.3,0.72,2.5,6.4,0.15,17.0,20.2,0.24,0.0,0.0,96
97,52.6,0.81,2.29,7.86,0.24,16.8,19.2,0.22,0.0,0.0,97
98,52.1,0.94,2.17,8.91,0.18,15.9,18.4,0.27,0.0,0.0,98
99,50.8,1.43,2.69,10.5,0.24,14.7,18.7,0.3,0.0,0.0,99
100,51.8,0.76,2.83,6.7,0.15,16.6,20.1,0.27,0.0,0.0,100
101,51.5,1.17,2.57,9.16,0.18,15.9,18.9,0.25,0.0,0.0,101
102,51.4,1.36,2.05,9.92,0.19,15.6,18.4,0.26,0.0,0.0,102
103,52.5,0.74,2.47,6.59,0.17,16.9,19.9,0.21,0.0,0.0,103
104,49.5,1.74,3.91,9.43,0.23,13.9,20.2,0.37,0.0,0.0,104
105,50.6,1.42,3.16,9.47,0.22,14.8,19.9,0.31,0.0,0.0,105
106,51.2,1.5,2.28,10.2,0.24,15.6,18.1,0.23,0.0,0.0,106
107,51.7,1.1,2.84,7.29,0.13,15.7,20.6,0.28,0.0,0.0,107
108,52.1,0.96,2.48,8.06,0.21,16.3,19.5,0.21,0.0,0.0,108
109,51.0,1.27,3.14,9.7,0.24,15.2,18.0,0.31,0.0,0.0,109
110,51.8,0.27,2.85,6.41,0.15,17.1,20.5,0.16,0.0,0.0,110
111,51.7,0.27,2.38,6.84,0.17,17.6,19.7,0.16,0.0,0.0,111
112,53.2,0.21,2.56,4.87,0.13,18.4,21.1,0.15,0.0,0.0,112
