,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
0,50.42,0.62,6.72,7.21,0.19,15.55,17.27,0.61,0.01,0.0,0
1,51.14,0.61,5.31,7.68,0.15,16.36,16.34,0.81,0.04,0.0,1
2,47.4,2.51,3.62,13.83,1.78,8.13,16.4,4.37,0.04,0.0,2
3,46.1,4.23,3.78,18.91,1.79,3.92,16.72,3.77,0.03,0.0,3
4,49.9,1.3,3.21,8.8,0.88,12.8,21.3,1.73,0.0,0.0,4
5,48.4,1.9,3.82,10.11,0.75,12.8,20.7,1.54,0.0,0.0,5
6,47.3,1.78,8.86,14.1,0.22,12.9,13.1,1.14,0.0,0.03,6
7,48.8,1.4,7.59,16.4,0.22,12.7,12.3,0.85,0.0,0.02,7
8,48.6,1.87,10.2,12.0,0.16,12.6,14.3,1.77,0.0,0.03,8
9,51.4,0.8,1.75,10.9,0.29,13.9,19.8,0.33,0.0,0.01,9
10,52.5,0.33,1.58,9.89,0.24,13.29,22.5,0.37,0.0,0.05,10
11,48.26,1.35,9.69,14.9,0.25,14.1,9.52,1.14,0.0,0.06,11
12,50.6,0.83,1.81,24.4,0.33,16.9,4.15,0.17,0.0,0.01,12
13,50.4,0.9,1.21,22.5,0.31,17.9,4.8,0.11,0.0,0.05,13
14,50.8,0.7,1.3,23.1,0.33,18.6,3.2,0.18,0.01,0.0,14
15,49.84,0.79,0.95,30.89,0.59,12.7,4.42,0.08,0.0,0.01,15
16,50.93,0.83,1.15,26.25,0.51,16.41,4.19,0.08,0.0,0.01,16
17,52.0,0.61,2.24,24.0,0.78,16.9,4.94,0.16,0.0,0.0,17
18,50.9,0.98,2.35,17.9,0.45,15.8,11.3,0.24,0.0,0.0,18
19,51.4,0.47,1.48,25.0,0.75,16.0,5.05,0.06,0.0,0.0,19
20,51.4,0.57,1.54,23.8,0.85,16.9,4.8,0.08,0.0,0.0,20
21,48.8,1.96,6.5,15.1,0.37,12.9,14.7,0.57,0.0,0.0,21
22,51.5,0.52,1.98,11.2,0.0,14.5,19.3,0.33,0.0,0.0,22
23,52.3,0.57,1.46,10.8,0.51,14.1,19.5,0.19,0.0,0.0,23
24,51.9,0.55,1.86,11.1,0.55,14.6,19.3,0.39,0.0,0.0,24
25,51.8,0.4,1.84,9.71,0.49,15.1,19.8,0.26,0.0,0.0,25
26,50.4,1.55,4.5,6.66,0.4,15.6,19.0,0.52,0.0,0.0,26
27,51.0,1.85,3.07,7.53,0.55,16.5,18.1,0.36,0.0,0.0,27
28,51.4,0.53,1.77,10.2,0.37,14.6,20.0,0.29,0.0,0.0,28
29,51.8,0.72,2.06,8.13,0.4,16.4,19.3,0.08,0.0,0.0,29
30,51.2,0.92,1.95,11.9,0.54,14.3,19.1,0.22,0.0,0.0,30
31,49.9,0.71,4.14,10.6,0.21,15.8,15.9,0.27,0.0,0.0,31
32,50.4,0.75,3.38,11.6,0.4,14.1,18.4,0.33,0.0,0.0,32
33,51.2,0.33,7.25,5.89,0.16,17.7,17.5,0.44,0.0,0.0,33
34,50.5,0.55,7.06,5.25,0.13,16.5,18.9,0.33,0.0,0.0,34
35,50.2,0.63,6.75,6.36,0.2,15.6,19.2,0.26,0.0,0.0,35
36,50.7,0.64,6.1,7.5,0.18,16.5,17.6,0.36,0.0,0.0,36
37,52.1,0.36,2.75,13.8,0.37,18.1,12.1,0.38,0.0,0.0,37
38,51.8,0.55,2.03,10.8,0.58,14.4,19.2,0.26,0.0,0.0,38
39,51.8,0.52,1.9,10.1,0.49,14.2,20.1,0.4,0.0,0.0,39
40,51.3,0.53,3.75,17.1,0.53,20.2,5.98,0.13,0.0,0.0,40
41,50.7,0.52,1.95,24.0,0.76,16.3,5.34,0.13,0.0,0.0,41
42,50.9,0.46,1.31,25.1,1.03,16.5,4.45,0.02,0.0,0.0,42
43,51.2,0.64,5.53,14.8,0.46,21.5,5.66,0.18,0.0,0.0,43
44,52.0,0.67,5.18,10.7,0.33,18.9,11.8,0.06,0.0,0.0,44
45,51.3,0.43,1.56,23.3,0.72,17.5,4.53,0.06,0.0,0.0,45
46,51.9,0.5,4.57,16.8,0.46,20.9,5.8,0.18,0.0,0.0,46
47,49.6,0.7,3.63,18.3,0.65,15.3,11.1,0.33,0.0,0.0,47
48,51.4,0.7,2.7,6.0,0.08,15.6,22.34,0.47,0.0,0.0,48
49,51.4,0.86,3.0,6.9,0.1,15.2,22.4,0.51,0.0,0.0,49
