,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Fe3Fet_Liq,NiO_Liq,CoO_Liq,CO2_Liq,SiO2_Liq_mol_frac,MgO_Liq_mol_frac,MnO_Liq_mol_frac,FeOt_Liq_mol_frac,CaO_Liq_mol_frac,Al2O3_Liq_mol_frac,Na2O_Liq_mol_frac,K2O_Liq_mol_frac,TiO2_Liq_mol_frac,P2O5_Liq_mol_frac,Cr2O3_Liq_mol_frac,Si_Liq_cat_frac,Mg_Liq_cat_frac,Mn_Liq_cat_frac,Fet_Liq_cat_frac,Ca_Liq_cat_frac,Al_Liq_cat_frac,Na_Liq_cat_frac,K_Liq_cat_frac,Ti_Liq_cat_frac,P_Liq_cat_frac,Cr_Liq_cat_frac,Mg_Number_Liq_NoFe3,Mg_Number_Liq_Fe3,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Si_Cpx_cat_6ox,Mg_Cpx_cat_6ox,Fet_Cpx_cat_6ox,Ca_Cpx_cat_6ox,Al_Cpx_cat_6ox,Na_Cpx_cat_6ox,K_Cpx_cat_6ox,Mn_Cpx_cat_6ox,Ti_Cpx_cat_6ox,Cr_Cpx_cat_6ox,oxy_renorm_factor,Al_IV_cat_6ox,Al_VI_cat_6ox,En_Simple_MgFeCa_Cpx,Fs_Simple_MgFeCa_Cpx,Wo_Simple_MgFeCa_Cpx,Cation_Sum_Cpx,Ca_CaMgFe_Cpx,Lindley_Fe3_Cpx,Lindley_Fe2_Cpx,Lindley_Fe3_Cpx_prop,CrCaTs,a_cpx_En,Mgno_Cpx,Jd,"Jd_from 0=Na, 1=Al",CaTs,CaTi,DiHd_1996,EnFs,DiHd_2003,Di_Cpx,FeIII_Wang21,FeII_Wang21,Kd_Fe_Mg_Fe2,Kd_Fe_Mg_Fe2_Lind,Kd_Fe_Mg_Fet,lnK_Jd_liq,lnK_Jd_DiHd_liq_1996,lnK_Jd_DiHd_liq_2003,Kd_Fe_Mg_IdealWB,Mgno_Liq_noFe3,Mgno_Liq_Fe2,DeltaFeMg_WB,Sample_ID_Liq,Sample_ID_Cpx,P_kbar,T_K
0,50.1,1.54,14.78,11.35,0.23,7.52,11.49,2.4,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5242763047779293,0.11731374258823851,0.002038616180631516,0.09932861032332573,0.12882960311785438,0.09114311294362089,0.024347304503595478,0.0006007496938953992,0.012121955870908785,0.0,0.0,0.469743261315178,0.1051112543868077,0.0018265677936090733,0.08899686087271688,0.115429282939183,0.1633255698583937,0.043629598047911354,0.0010765244123098485,0.010861080373890424,0.0,0.0,0.5415005156447315,0.5415005156447315,50.42,0.62,6.72,7.21,0.19,15.55,17.27,0.61,0.01,0.0,1.865951466574728,0.8578995521901873,0.2231458225461469,0.6847987770325878,0.29310531285339747,0.04376979117841873,0.0004721239616989926,0.005955746856230963,0.017259120687618586,0.0,0.0,0.1340485334252719,0.15905677942812557,0.48582971001760966,0.12636778977499918,0.38780250020739115,3.992357713881014,0.38780250020739115,0.0,0.2231458225461469,0.0,0.0,0.22525562213000475,0.793577824424259,0.04376979117841873,0,0.11528698824970685,0.009380772587782527,0.5601310161950985,0.26045717927061784,0.5601310161950985,0.4420751169580912,-0.01575669619967212,0.23890251874581903,0.30720398883805256,0.30720398883805256,0.30720398883805256,3.3263557872130005,-1.4036348052160716,-1.4036348052160716,0.25660547534291217,0.5415005156447315,0.5415005156447315,0.050598513495140385,0,0,2.0469999999999997,1448.15
1,50.4,1.19,15.76,9.52,0.18,7.98,12.2,2.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5253362356714842,0.12399902155309905,0.0015891483944597187,0.08298503160821089,0.1362510282048891,0.09680325354771291,0.02324083883866287,0.0004654075306476237,0.009330034650833768,0.0,0.0,0.46883693151230466,0.11066307029282794,0.0014182373238043936,0.0740600874997991,0.12159738780883057,0.17278435132389583,0.041482627037760796,0.0008307069787129664,0.008326600222063874,0.0,0.0,0.5990672176944956,0.5990672176944956,51.14,0.61,5.31,7.68,0.15,16.36,16.34,0.81,0.04,0.0,1.8959238963920721,0.9041740149544093,0.2381098661224042,0.6490607769328999,0.23201262257380242,0.05822269888738987,0.0018918151917916611,0.004710169792229268,0.017010594256809137,0.0,0.0,0.10407610360792785,0.12793651896587457,0.5047459800164857,0.1329224195119201,0.36233160047159413,4.001116455103808,0.36233160047159413,0.0003410950158248757,0.23776877110657932,0.0014325110562597619,0.0,0.24834581423562965,0.7915437955588548,0.05822269888738987,0,0.0697138200784847,0.017181141764721575,0.5621658150896935,0.29005903299355995,0.5621658150896935,0.44315462814706486,0.0003410950158248757,0.23776877110657932,0.3934992089745434,0.3929355170070579,0.3934992089745434,3.6097120961353215,-1.1252668164760136,-1.1252668164760136,0.25622714597394697,0.5990672176944956,0.5990672176944956,0.1372720630005964,1,1,2.037,1443.15
2,62.4,0.38,20.3,2.4,0.22,0.14,0.4,9.6,4.2,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.6974821428603374,0.002332840705737698,0.0020828419269350367,0.022434466132591067,0.004790508676545248,0.13371233134579397,0.10402479731318826,0.029945139371205083,0.003194931667666434,0.0,0.0,0.5502026497097995,0.0018402408589043592,0.0016430315225371898,0.01769723115828645,0.0037789506072283185,0.21095559150411636,0.16411809163321217,0.04724391927913596,0.0025202937267797716,0.0,0.0,0.0941874759806092,0.0941874759806092,47.4,2.51,3.62,13.83,1.78,8.13,16.4,4.37,0.04,0.0,1.8710174002775097,0.47840815700002204,0.4565387641595206,0.6936117938684555,0.1684088734003194,0.3344475810029269,0.002014271540165805,0.05951200936660363,0.07452511933917698,0.0,0.0,0.12898259972249027,0.03942627367782914,0.2937616879178945,0.2803330085348945,0.42590530354721107,4.1384839699547005,0.42590530354721107,0.27495366836923407,0.18158509579028653,0.6022570041241048,0.0,-0.02248199456376628,0.5116871797001783,0.03942627367782914,1,0.0,0.06449129986124513,0.6291204940072104,0.15291321357616616,0.6291204940072104,0.3026533995825177,0.27495366836923407,0.18158509579028653,0.09923124231242314,0.03946853160183008,0.09923124231242314,1.3248910627081205,-8.92034363078993,-8.92034363078993,0.20417381542423316,0.0941874759806092,0.0941874759806092,0.10494257311181002,2,2,2.5,1048.15
3,61.0,0.4,20.7,2.5,0.25,0.08,0.32,10.6,4.1,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.6842021569334413,0.001337682780201225,0.0023750881870635357,0.023450418986869146,0.003845720511032413,0.13682071922343894,0.11525973346800844,0.02933371076930061,0.0033747691406444675,0.0,0.0,0.5339430267304046,0.0010439113429092362,0.0018534898823414547,0.018300421249860387,0.00300115342930671,0.21354644442812107,0.1798945832730981,0.04578334094587858,0.0026336287180798302,0.0,0.0,0.05396300690310971,0.05396300690310971,46.1,4.23,3.78,18.91,1.79,3.92,16.72,3.77,0.03,0.0,1.8438918820137649,0.23373790087875962,0.6325313420354995,0.7165457695406766,0.17818996479662585,0.2923634072068717,0.001530785437644436,0.06064188393562314,0.12726364803235715,0.0,0.0,0.15610811798623514,0.022081846810390715,0.14767227947644598,0.39962430041300123,0.45270342011055276,4.086696583877823,0.45270342011055276,0.17186238231800183,0.4606689597174977,0.27170571779881286,0.0,-0.007975691809235703,0.2698147274213117,0.022081846810390715,1,0.0,0.07805405899311757,0.638491710547559,0.11388876618335003,0.638491710547559,0.1610075743281536,0.17186238231800183,0.4606689597174977,0.15436734693877552,0.11242485613407714,0.15436734693877552,0.7012180349641276,-9.8591820326443,-9.8591820326443,0.15918553930036397,0.05396300690310971,0.05396300690310971,0.0048181923615884525,3,3,2.0,1023.15
4,61.5,0.5,20.2,2.07,0.15,0.22,0.76,9.1,5.5,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.6901565462493201,0.0036804737306002796,0.0014257680617791517,0.019426691135226375,0.009138169818936986,0.13358287463021243,0.09899905065867826,0.03936984729383571,0.004220578421410879,0.0,0.0,0.5425964734873099,0.00289356389914611,0.0011209293406495265,0.015273134999277566,0.007184368162309903,0.21004393013890682,0.15566478665721498,0.06190462271048903,0.0033181906046963563,0.0,0.0,0.15927399095173203,0.15927399095173203,49.9,1.3,3.21,8.8,0.88,12.8,21.3,1.73,0.0,0.0,1.881645307477123,0.7195413080281754,0.27750823949442727,0.860577437960878,0.14265899619689673,0.12648250453696003,0.0,0.028106386576933807,0.036873133210757685,0.0,0.0,0.11835469252287689,0.02430430367401984,0.38734434504400883,0.1493885702904993,0.4632670846654918,4.0733933134821525,0.4632670846654918,0.14678662696430173,0.13072161253012554,0.5289451125189002,0.0,0.011198704254304796,0.7216638528466292,0.02430430367401984,1,0.0,0.059177346261438446,0.8014000916994396,0.09782472791158153,0.8014000916994396,0.5624904963768431,0.14678662696430173,0.13072161253012554,0.07306763285024154,0.034418865570780846,0.07306763285024154,0.9261658839461723,-9.019230699342275,-9.019230699342275,0.24322947662947303,0.15927399095173203,0.15927399095173203,0.1701618437792315,4,4,2.0,1160.15
5,61.3,0.44,19.3,2.53,0.16,0.3,0.82,9.2,5.8,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.6872217264020887,0.005013790775161181,0.0015192929281383852,0.023719903718839447,0.009849708897172668,0.12750306810529652,0.09998650218323428,0.04147562556537279,0.003710381424695863,0.0,0.0,0.5415607367699695,0.003951086122411209,0.0011972691868164537,0.01869232016476071,0.007762000825046007,0.2009559734528385,0.15758746183097957,0.06536920902304698,0.0029239426241309146,0.0,0.0,0.17448687345966346,0.17448687345966346,48.4,1.9,3.82,10.11,0.75,12.8,20.7,1.54,0.0,0.0,1.8350078095406088,0.7234542469380301,0.3205528960169533,0.8408838993501966,0.17069186888568993,0.11320364571512763,0.0,0.024084572701230014,0.05418456986313695,0.0,0.0,0.16499219045939117,0.00569967842629876,0.38381754207567437,0.17006441689325671,0.44611804103106895,4.082063509010974,0.44611804103106895,0.16412701802194615,0.15642587799500715,0.5120122764801533,0.0,0.03939528492454247,0.6929519893456606,0.00569967842629876,1,0.0,0.08249609522969559,0.758387804120501,0.14280966941724116,0.758387804120501,0.5136814279847669,0.16412701802194615,0.15642587799500715,0.09365736166007903,0.04570364270737693,0.09365736166007903,-0.48830131828028567,-10.084742741166343,-10.084742741166343,0.23788907001829285,0.17448687345966346,0.17448687345966346,0.1442317083582138,5,5,1.0,1198.15
6,49.4,4.09,15.8,13.2,0.13,3.47,6.4,3.72,1.24,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.5505796283107275,0.05765423443272131,0.0012272178645512727,0.12303342514449604,0.07642690974456429,0.10377128531138025,0.040193263567461474,0.008815428338504601,0.03428830140358972,0.004010305882003717,0.0,0.47595457565184374,0.04983983291962845,0.0010608818923195206,0.10635758870212553,0.06606807721430386,0.179412442907714,0.06949101173252074,0.015241186699607664,0.029640896802592596,0.006933505477343804,0.0,0.3190750445440336,0.3190750445440336,47.3,1.78,8.86,14.1,0.22,12.9,13.1,1.14,0.0,0.03,1.7812460715340797,0.7242041924762226,0.4440561461337861,0.5285757208601558,0.3932361323643575,0.08323668345938355,0.0,0.007017308773174887,0.05042109290762019,0.0008931750646875368,0.0,0.21875392846592034,0.17448220389843716,0.42679679538538023,0.26169655203605363,0.3115066525785662,4.012886523573468,0.3115066525785662,0.025773047146938836,0.41828309898684723,0.05804006401292751,0.0004465875323437684,0.29553381754916075,0.6198917938578844,0.08323668345938355,0,0.09124552043905361,0.06375420401343337,0.37312940887532503,0.3975654648673418,0.37312940887532503,0.22992174048859693,0.025773047146938836,0.41828309898684723,0.2873326286116984,0.27065582445407266,0.2873326286116984,3.383424431519558,-1.6893154511012807,-1.6893154511012807,0.22429987365756648,0.3190750445440336,0.3190750445440336,0.06303275495413191,6,6,13.0,1433.15
7,48.6,3.49,15.5,14.0,0.12,2.96,6.44,3.14,1.46,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.5520150984709707,0.05012044795481676,0.0011544657692868865,0.13298379333353735,0.0783743028796803,0.1037464643659685,0.03457494334060945,0.01057781794014884,0.029817387417528377,0.006635278527452797,0.0,0.4777140764528506,0.04337425474857292,0.0009990751164215066,0.11508422539799126,0.06782515156108791,0.17956445954872202,0.05984233826980176,0.018308095347976547,0.025803978427141674,0.011484345129433934,0.0,0.2737196671409498,0.2737196671409498,48.8,1.4,7.59,16.4,0.22,12.7,12.3,0.85,0.0,0.02,1.8301719167705,0.7100424788542261,0.5143655894929405,0.4942541365453679,0.33548318402600275,0.06180706601921009,0.0,0.006988434078064282,0.03949385929784527,0.0005929998960665743,0.0,0.16982808322950005,0.1656551007965027,0.4131367274109714,0.29928253965711843,0.2875807329319102,3.993199664980223,0.28758073293191017,0.0,0.5143655894929405,0.0,0.00029649994803328716,0.3556208916861075,0.5798985917830394,0.06180706601921009,0,0.1038480347772926,0.032990024226103726,0.3571195775939383,0.4336442453766141,0.3571195775939383,0.2059207327800337,-0.01360067003954966,0.5279662595324902,0.2730258717660292,0.2730258717660292,0.2730258717660292,3.2270110996973638,-1.753874942762027,-1.753874942762027,0.2168611380716453,0.2737196671409498,0.2737196671409498,0.056164733694383906,7,7,13.0,1403.15
8,50.6,4.18,15.6,11.7,0.1,3.37,6.59,3.93,1.1,0.01,1.34,0.0,0.0,0.0,0.0,0.0,0.5623860651356501,0.05583705196638311,0.0009413890910046476,0.10874915474188873,0.0784770348051634,0.10217286048911035,0.0423441799334207,0.0077983956333025186,0.03494538181949833,0.006304551792824318,4.393459175381168e-05,0.4853746235156233,0.04819089546585475,0.0008124781248231726,0.09385737540946135,0.0677306277387776,0.17636323788162991,0.07309139279012701,0.013461013987347272,0.030160067248745735,0.01088245119351863,7.583664409136925e-05,0.33924968952287243,0.33924968952287243,48.6,1.87,10.2,12.0,0.16,12.6,14.3,1.77,0.0,0.03,1.7772552232879864,0.6868985833439161,0.36698707590116236,0.5603026851806036,0.4396130915256123,0.1254971703879458,0.0,0.0049558555536024,0.05143806352827373,0.0008673359372027192,0.0,0.22274477671201365,0.21686831481359864,0.42553806420173984,0.22735083992428035,0.3471110958739797,4.013815084646305,0.34711109587397976,0.027630169292610664,0.3393569066085517,0.07528921617951492,0.0004336679686013596,0.22528502293661334,0.6517695605517856,0.1254971703879458,0,0.09137114442565283,0.06568681614318041,0.40281105664316896,0.32553730130095476,0.40281105664316896,0.2613142196413277,0.027630169292610664,0.3393569066085517,0.2743182743182744,0.25366506646113435,0.2743182743182744,3.7214506898083752,-1.4587353152630171,-1.4587353152630171,0.23022913826263214,0.33924968952287243,0.33924968952287243,0.04408913605564224,8,8,16.0,1473.15
9,66.1,2.14,13.4,5.81,0.1,1.63,3.73,2.28,2.88,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.7226572981672172,0.02656605598169402,0.0009260108184826042,0.053120610782697184,0.043693104314160305,0.08633018101468899,0.024164784265988934,0.020084081087943864,0.017598440363810527,0.004859433203316627,0.0,0.6364565858642202,0.023397177794881013,0.0008155534933356417,0.04678422630411795,0.038481260852312,0.15206492041248337,0.042564673825567514,0.035376784298371815,0.015499246044968598,0.008559571109741917,0.0,0.3333740194884291,0.3333740194884291,51.4,0.8,1.75,10.9,0.29,13.9,19.8,0.33,0.0,0.01,1.9429637638275146,0.7832942309422606,0.34457524535287876,0.8019363668702546,0.07796443682237536,0.024185922639011023,0.0,0.00928505984010231,0.022746838439796906,0.0002988506045408513,0.0,0.05703623617248543,0.020928200649889928,0.4058927656978435,0.17855435901659614,0.41555287528556034,4.007250715338735,0.41555287528556034,0.014501430677471866,0.33007381467540686,0.04208494624336981,0.00014942530227042566,0.16497089344681048,0.6944830526600668,0.020928200649889928,1,0.0,0.028518118086242716,0.7732688234817414,0.17730032640669896,0.7732688234817414,0.5326426524747396,0.014501430677471866,0.33007381467540686,0.2200002476504167,0.21074154905452083,0.2200002476504167,2.0771987896837825,-4.483606616958215,-4.483606616958215,0.2381738477947724,0.3333740194884291,0.3333740194884291,0.018173600144355706,9,9,0.001,1344.15
