,SiO2_Amp,TiO2_Amp,Al2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,Cr2O3_Amp,F_Amp,Cl_Amp,Sample_ID_Amp
0,41.0,1.51,15.1,13.8,0.36,11.6,10.8,2.13,0.78,0.0,0.0,0.0,0
1,40.7,1.65,15.0,16.5,0.25,10.1,10.5,2.08,0.7,0.0,0.0,0.0,1
2,40.5,1.31,15.2,16.8,0.35,9.4,10.9,2.22,0.82,0.0,0.0,0.0,2
3,40.0,1.85,16.0,15.5,0.37,9.48,10.6,1.9,0.82,0.0,0.0,0.0,3
4,41.4,1.67,13.6,18.1,0.49,8.48,10.4,1.73,0.69,0.0,0.0,0.0,4
5,42.5,2.92,12.5,12.5,0.4,13.2,10.5,2.24,0.51,0.0,0.0,0.0,5
6,42.1,1.91,13.9,17.3,0.39,10.4,10.1,1.84,0.58,0.0,0.0,0.0,6
7,42.1,1.56,14.1,18.3,0.42,8.97,10.3,1.85,0.63,0.0,0.0,0.0,7
8,43.1,1.12,12.8,18.5,0.45,8.76,10.3,1.61,0.63,0.0,0.0,0.0,8
9,41.4,1.97,14.1,16.9,0.41,10.1,10.0,2.09,0.57,0.0,0.0,0.0,9
10,41.5,2.24,13.1,19.1,0.53,9.14,9.82,2.12,0.6,0.0,0.0,0.0,10
11,40.7,1.46,14.2,19.9,0.48,7.7,9.94,2.12,0.61,0.0,0.0,0.0,11
12,43.1,1.22,11.8,22.3,0.54,6.84,9.9,1.65,0.61,0.0,0.0,0.0,12
13,43.5,1.42,13.1,19.5,0.66,8.27,9.66,1.84,0.59,0.0,0.0,0.0,13
14,42.3,2.42,14.3,14.7,0.37,10.9,10.4,2.19,0.48,0.0,0.0,0.0,14
15,41.9,1.61,13.1,17.5,0.41,9.9,10.3,1.86,0.65,0.0,0.0,0.0,15
16,41.9,1.4,12.4,19.5,0.49,7.3,10.4,1.92,0.58,0.0,0.0,0.0,16
17,42.1,2.4,10.7,8.6,0.11,17.0,11.7,2.68,0.93,0.0,0.0,0.0,17
18,41.8,2.7,11.0,9.1,0.07,16.0,11.7,2.64,1.03,0.0,0.0,0.0,18
19,41.7,2.9,11.3,9.5,0.12,15.5,11.5,2.78,0.99,0.0,0.0,0.0,19
20,41.2,3.2,11.3,9.1,0.1,15.5,11.6,2.71,1.06,0.0,0.0,0.0,20
21,41.4,3.3,10.9,9.4,0.12,15.9,11.77,2.66,1.12,0.0,0.0,0.0,21
22,41.7,3.2,11.1,9.4,0.12,15.4,11.6,2.75,1.05,0.0,0.0,0.0,22
23,47.1,1.81,10.87,13.04,0.23,11.53,9.3,1.92,0.81,0.0,0.0,0.0,23
24,47.5,1.87,10.19,13.18,0.3,11.85,9.37,1.9,0.71,0.0,0.0,0.0,24
25,44.4,1.62,10.78,10.08,0.16,14.74,11.65,2.06,0.62,0.0,0.0,0.0,25
26,45.2,1.88,10.25,10.2,0.16,15.07,10.85,1.97,0.56,0.0,0.0,0.0,26
27,47.7,4.53,10.02,8.8,0.21,14.12,10.58,1.94,0.61,0.0,0.0,0.0,27
28,47.9,1.14,8.49,5.85,0.37,18.01,11.72,1.7,0.49,0.0,0.0,0.0,28
29,46.0,1.23,9.97,6.05,0.26,17.64,11.82,1.9,0.55,0.0,0.0,0.0,29
30,46.3,1.29,9.45,5.69,0.24,18.03,11.8,1.83,0.51,0.0,0.0,0.0,30
31,45.2,2.0,9.7,12.38,0.19,12.95,10.64,1.87,0.47,0.0,0.0,0.0,31
32,46.1,1.84,10.36,10.65,0.29,13.6,10.67,1.95,0.55,0.0,0.0,0.0,32
33,46.1,1.69,7.86,12.63,0.32,14.01,10.72,1.64,0.45,0.0,0.0,0.0,33
34,45.3,1.92,10.31,11.34,0.19,14.45,11.1,1.91,0.55,0.0,0.0,0.0,34
35,48.2,1.82,11.0,9.47,0.26,12.88,10.14,1.93,0.77,0.0,0.0,0.0,35
36,46.6,1.36,9.21,9.05,0.2,16.34,11.63,1.77,0.49,0.0,0.0,0.0,36
37,45.6,1.79,10.28,9.82,0.2,15.57,11.11,2.03,0.54,0.0,0.0,0.0,37
38,45.5,1.68,8.73,11.73,0.4,15.37,10.73,1.63,0.38,0.0,0.0,0.0,38
39,44.8,1.62,9.82,11.47,0.26,14.53,10.58,1.93,0.55,0.0,0.0,0.0,39
40,45.5,1.7,9.27,12.21,0.34,14.62,10.31,1.76,0.53,0.0,0.0,0.0,40
41,45.4,1.79,9.79,12.16,0.27,13.92,10.32,1.85,0.62,0.0,0.0,0.0,41
42,44.9,1.74,9.98,11.46,0.26,14.68,11.34,1.96,0.51,0.0,0.0,0.0,42
43,45.8,1.88,9.06,11.24,0.24,15.66,10.45,1.73,0.4,0.0,0.0,0.0,43
44,48.71,0.87,8.77,9.25,0.4,15.29,11.43,1.42,0.56,0.0,0.0,0.0,44
45,47.1,1.58,9.48,11.7,0.31,13.44,10.06,1.65,0.62,0.0,0.0,0.0,45
46,46.5,1.69,8.33,11.93,0.45,14.64,10.76,1.42,0.35,0.0,0.0,0.0,46
47,45.3,1.6,9.09,10.09,0.3,15.8,11.2,1.81,0.47,0.0,0.0,0.0,47
48,46.6,1.44,9.76,8.65,0.3,15.4,11.21,1.81,0.49,0.0,0.0,0.0,48
49,48.9,1.1,8.11,5.88,0.3,18.54,11.49,1.6,0.51,0.0,0.0,0.0,49
50,40.9,1.79,15.93,4.67,0.0,17.27,12.23,1.8,2.77,0.0,0.0,0.0,50
51,41.28,2.13,16.05,5.03,0.0,16.99,11.21,2.14,2.22,0.0,0.0,0.0,51
52,41.6,1.66,14.54,11.94,0.15,13.59,10.11,2.77,1.08,0.0,0.0,0.0,52
53,40.65,3.56,15.46,4.98,0.0,16.29,11.86,2.0,1.83,0.0,0.0,0.0,53
54,40.23,3.78,16.18,5.15,0.0,16.27,12.08,1.86,2.21,0.0,0.0,0.0,54
55,40.23,3.19,15.41,5.79,0.0,16.4,12.5,1.86,2.38,0.0,0.0,0.0,55
56,43.42,2.59,11.89,8.06,0.12,16.73,10.67,3.05,1.15,0.0,0.0,0.0,56
57,42.25,2.17,13.72,8.8,0.11,15.95,10.75,2.74,1.06,0.0,0.0,0.0,57
58,40.13,4.0,13.61,13.89,0.14,11.13,11.6,2.46,0.71,0.0,0.0,0.0,58
59,40.12,5.32,12.87,16.01,0.19,10.4,10.57,2.28,0.7,0.0,0.0,0.0,59
60,40.53,4.49,12.8,16.92,0.16,9.71,10.36,2.27,0.94,0.0,0.0,0.0,60
61,40.07,2.37,13.66,9.63,0.11,14.73,11.42,2.44,0.62,0.0,0.0,0.0,61
