,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Fe3Fet_Liq,NiO_Liq,CoO_Liq,CO2_Liq,SiO2_Liq_mol_frac,MgO_Liq_mol_frac,MnO_Liq_mol_frac,FeOt_Liq_mol_frac,CaO_Liq_mol_frac,Al2O3_Liq_mol_frac,Na2O_Liq_mol_frac,K2O_Liq_mol_frac,TiO2_Liq_mol_frac,P2O5_Liq_mol_frac,Cr2O3_Liq_mol_frac,Si_Liq_cat_frac,Mg_Liq_cat_frac,Mn_Liq_cat_frac,Fet_Liq_cat_frac,Ca_Liq_cat_frac,Al_Liq_cat_frac,Na_Liq_cat_frac,K_Liq_cat_frac,Ti_Liq_cat_frac,P_Liq_cat_frac,Cr_Liq_cat_frac,Mg_Number_Liq_NoFe3,Mg_Number_Liq_Fe3,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Si_Cpx_cat_6ox,Mg_Cpx_cat_6ox,Fet_Cpx_cat_6ox,Ca_Cpx_cat_6ox,Al_Cpx_cat_6ox,Na_Cpx_cat_6ox,K_Cpx_cat_6ox,Mn_Cpx_cat_6ox,Ti_Cpx_cat_6ox,Cr_Cpx_cat_6ox,oxy_renorm_factor,Al_IV_cat_6ox,Al_VI_cat_6ox,En_Simple_MgFeCa_Cpx,Fs_Simple_MgFeCa_Cpx,Wo_Simple_MgFeCa_Cpx,Cation_Sum_Cpx,Ca_CaMgFe_Cpx,Lindley_Fe3_Cpx,Lindley_Fe2_Cpx,Lindley_Fe3_Cpx_prop,CrCaTs,a_cpx_En,Mgno_Cpx,Jd,"Jd_from 0=Na, 1=Al",CaTs,CaTi,DiHd_1996,EnFs,DiHd_2003,Di_Cpx,FeIII_Wang21,FeII_Wang21,Kd_Fe_Mg_Fe2,Kd_Fe_Mg_Fe2_Lind,Kd_Fe_Mg_Fet,lnK_Jd_liq,lnK_Jd_DiHd_liq_1996,lnK_Jd_DiHd_liq_2003,Kd_Fe_Mg_IdealWB,Mgno_Liq_noFe3,Mgno_Liq_Fe2,DeltaFeMg_WB,Sample_ID_Liq,Sample_ID_Cpx,P_kbar,T_K
0,60.7,2.34,13.2,7.25,0.16,2.98,5.77,2.79,2.2,0.0,1.72,0.8900000000000006,0.0,0.0,0.0,0.0,0.6605134078918999,0.04834123667584977,0.0014746809038417605,0.06597614672307806,0.06727317055042518,0.08464353596809247,0.029431628421064157,0.015270180564713786,0.019153064805843605,0.00792294749519121,0.0,0.5807894340125415,0.04250644900311857,0.0012966869063641038,0.05801282525955338,0.05915329830004767,0.14885412093186212,0.05175846124696632,0.026854139284636286,0.01684128972293622,0.013933295331973886,0.0,0.422860489476222,0.422860489476222,52.5,0.33,1.58,9.89,0.24,13.29,22.5,0.37,0.0,0.05,1.9552859658117456,0.7378779052856452,0.30803726967135925,0.8978558860912851,0.06935295686553684,0.026717747501061463,0.0,0.007570897185711618,0.009244733443394238,0.0014722228045886342,0.0,0.04471403418825437,0.024638922677282474,0.37961152939878756,0.15847404863885184,0.46191442196236066,4.013415584660328,0.46191442196236066,0.026831169320656243,0.281206100350703,0.08710364609218245,0.0007361114022943171,0.07174771212500895,0.705478478021142,0.024638922677282474,1,0.0,0.022357017094127185,0.8747627575948635,0.08557620868107041,0.8747627575948635,0.612697337216007,0.026831169320656243,0.281206100350703,0.30587893412210376,0.27923576369727804,0.30587893412210376,2.2492620163595265,-3.8286981502550654,-3.8286981502550654,0.24021899691193244,0.422860489476222,0.422860489476222,0.06565993721017133,0,0,0.001,1358.15
1,66.1,2.14,13.4,5.81,0.1,1.63,3.73,2.28,2.88,0.0,1.05,0.8799999999999955,0.0,0.0,0.0,0.0,0.7226572981672172,0.02656605598169402,0.0009260108184826042,0.053120610782697184,0.043693104314160305,0.08633018101468899,0.024164784265988934,0.020084081087943864,0.017598440363810527,0.004859433203316627,0.0,0.6364565858642202,0.023397177794881013,0.0008155534933356417,0.04678422630411795,0.038481260852312,0.15206492041248337,0.042564673825567514,0.035376784298371815,0.015499246044968598,0.008559571109741917,0.0,0.3333740194884291,0.3333740194884291,51.4,0.8,1.75,10.9,0.29,13.9,19.8,0.33,0.0,0.01,1.9429637638275146,0.7832942309422606,0.34457524535287876,0.8019363668702546,0.07796443682237536,0.024185922639011023,0.0,0.00928505984010231,0.022746838439796906,0.0002988506045408513,0.0,0.05703623617248543,0.020928200649889928,0.4058927656978435,0.17855435901659614,0.41555287528556034,4.007250715338735,0.41555287528556034,0.014501430677471866,0.33007381467540686,0.04208494624336981,0.00014942530227042566,0.16497089344681048,0.6944830526600668,0.020928200649889928,1,0.0,0.028518118086242716,0.7732688234817414,0.17730032640669896,0.7732688234817414,0.5326426524747396,0.014501430677471866,0.33007381467540686,0.2200002476504167,0.21074154905452083,0.2200002476504167,2.0771987896837825,-4.483606616958215,-4.483606616958215,0.2381738477947724,0.3333740194884291,0.3333740194884291,0.018173600144355706,1,1,0.001,1344.15
2,54.1,3.26,11.8,13.2,0.2,2.83,6.57,2.83,1.62,0.03,1.15,2.4099999999999966,0.0,0.0,0.0,0.0,0.5994595767250942,0.04674741694433674,0.0018770582938535338,0.12231861721026399,0.07800117473990807,0.07704980865717154,0.030399484203355105,0.011450018727269777,0.02717125583183311,0.005394185312084596,0.00013140335482943386,0.5331254907191236,0.04157451238739668,0.0016693496323572457,0.10878326972531091,0.06936983939277656,0.1370474962618096,0.05407116864179877,0.02036599994303943,0.02416458033406957,0.009594567517782072,0.0002337254445355447,0.2764972122970623,0.2764972122970623,50.8,0.7,1.3,23.1,0.33,18.6,3.2,0.18,0.01,0.0,1.9552653016362118,1.067243382931517,0.7435496181353841,0.13196692452616676,0.05897151004704472,0.013432647667353921,0.000491021514543058,0.010758235526122505,0.02026606797343508,0.0,0.0,0.04473469836378818,0.014236811683256537,0.5493439353324724,0.3827285133588496,0.0679275513086781,4.00194470995778,0.06792755130867809,0.0033983984010154053,0.7401512197343687,0.004570506551449309,0.0,0.8229791771655484,0.5893709236966665,0.013432647667353921,0,0.0008041640159026156,0.021965267173942784,0.10919749333632137,0.8507977538652899,0.10919749333632137,0.06397860233339962,0.0033983984010154053,0.7401512197343687,0.2662634408602151,0.265046482059352,0.2662634408602151,1.8528116259431628,-1.753628791606406,-1.753628791606406,0.21862299180758,0.2764972122970623,0.2764972122970623,0.04764044905263509,2,2,0.001,1353.15
3,50.2,4.42,11.5,15.1,0.19,3.39,7.06,3.65,1.69,0.03,1.42,1.3499999999999943,0.0,0.0,0.0,0.0,0.5520250128992702,0.05557292849810496,0.0017696760255354372,0.1388634595343929,0.08318267392958809,0.07452119309841022,0.03891034178560286,0.01185414646469511,0.036560050142510424,0.006610111237165507,0.00013040638472389812,0.4876433190338276,0.04909155684615774,0.0015632818632154307,0.12266806162319187,0.07348122685254975,0.1316598382019351,0.06874459587770283,0.020943236959488434,0.03229611662323375,0.011678371477932895,0.00023039464076446737,0.2858086556835928,0.2858086556835928,50.4,0.9,1.21,22.5,0.31,17.9,4.8,0.11,0.0,0.05,1.9463758375063585,1.030523131779337,0.7266657319685473,0.19861431272369515,0.05507296439734068,0.008236372705311079,0.0,0.010140117535103788,0.02614376622848868,0.001526577049971061,0.0,0.05362416249364155,0.001448801903699136,0.5269053369871709,0.37154338468736336,0.10155127832546562,4.003298811894154,0.10155127832546564,0.006597623788305066,0.7200681081802423,0.009079310469797458,0.0007632885249855305,0.7674370341361255,0.5864531223792746,0.001448801903699136,1,0.0,0.026812081246820774,0.17103894295188884,0.7930749603979979,0.17103894295188884,0.09973218852499813,0.006597623788305066,0.7200681081802423,0.2821968996263273,0.2796347463610056,0.2821968996263273,-0.39578543264389743,-4.438648177849036,-4.438648177849036,0.21808028076254507,0.2858086556835928,0.2858086556835928,0.06411661886378225,3,3,5.0,1373.15
4,47.1,4.21,12.0,17.8,0.18,3.4,7.28,2.93,2.02,0.0,2.32,0.7600000000000051,0.0,0.0,0.0,0.0,0.5212693526445616,0.05609559351074289,0.001687325682454478,0.1647469112860707,0.08632683136378906,0.07826173118422046,0.03143591073426293,0.014260054951036572,0.035047161878876514,0.010869126763984714,0.0,0.4593382371554754,0.04943097249951778,0.0014868574194007633,0.14517361403088946,0.07607048896446293,0.1379271789393221,0.05540212846504805,0.025131684683621636,0.03088326883802588,0.019155569004235887,0.0,0.25400090291245414,0.25400090291245414,50.6,0.83,1.81,24.4,0.33,16.9,4.15,0.17,0.0,0.01,1.9442781453083804,0.9680618997766787,0.784067943247669,0.17085555781644465,0.0819678167936007,0.012664963323739006,0.0,0.010740065860132755,0.023989182255857354,0.00030378087888567395,0.0,0.05572185469161961,0.026245962101981088,0.5034161462450054,0.40773473522204007,0.08884911853295455,3.996929355261388,0.08884911853295455,0.0,0.784067943247669,0.0,0.00015189043944283698,0.7777226019363457,0.5524975403065909,0.012664963323739006,0,0.013580998778242082,0.021070427956688766,0.13605224064207097,0.8080388011911384,0.13605224064207097,0.07471169022799841,-0.006141289477222851,0.7902092327248919,0.2757795359351107,0.2757795359351107,0.2757795359351107,2.0611876769160036,-1.7129132814701373,-1.7129132814701373,0.21176454249702592,0.25400090291245414,0.25400090291245414,0.06401499343808476,4,4,7.0,1368.15
5,49.1,3.22,14.4,14.8,0.14,3.2,6.72,3.34,1.7,0.0,1.13,2.25,0.0,0.0,0.0,0.0,0.5499880474060295,0.05343554990394073,0.0013282655896774205,0.13864029333635783,0.080651819322073,0.09505198064914772,0.036268982150637244,0.012146446046780984,0.02713045671890497,0.005358158876450641,0.0,0.47873938642931774,0.04651319695978783,0.0011561943144337014,0.12068002073730329,0.07020371202385904,0.16547678484827194,0.06314097312879748,0.02114584909675254,0.023615819042640047,0.009328063418836623,0.0,0.278193554082962,0.278193554082962,48.8,1.16,5.22,16.3,0.25,13.2,13.9,0.63,0.0,0.04,1.8573257089065112,0.748946378311968,0.5188141909006061,0.5668343816942956,0.23415081110988145,0.04648961344548302,0.0,0.008059226914974472,0.0332089933632434,0.0012035961673883015,0.0,0.14267429109348884,0.09147652001639262,0.40823527718843433,0.28279495190158893,0.3089697709099768,4.015032900814353,0.30896977090997674,0.030065801628704144,0.48874838927190195,0.05795100087087656,0.0006017980836941507,0.33218484489681366,0.5907551929838121,0.04648961344548302,0,0.0449869065709096,0.04884369226128962,0.4724019847784022,0.39767929221708587,0.4724019847784022,0.2773148344939136,0.030065801628704144,0.48874838927190195,0.266994266994267,0.25152168199516317,0.266994266994267,2.965981208595737,-2.2022508490399444,-2.2022508490399444,0.21888046589498905,0.278193554082962,0.278193554082962,0.04811380109927793,5,5,10.0,1373.15
6,48.5,4.42,15.7,13.4,0.13,3.71,6.67,3.49,1.11,0.0,0.84,2.030000000000001,0.0,0.0,0.0,0.0,0.5417957548710158,0.06178404162980097,0.001230048791366454,0.12518567968967076,0.07983490806216885,0.10335236793854496,0.037795180868635175,0.00790943357162718,0.037140316688244766,0.003972267888925182,0.0,0.46988899435570364,0.053584106054078644,0.0010667975604962646,0.10857112225089062,0.06923927388973977,0.17927102528326425,0.06555806083819496,0.013719397959402357,0.03221107936300906,0.006890142445220404,0.0,0.33044205934837734,0.33044205934837734,47.9,1.09,8.07,20.4,0.28,19.3,2.44,0.3,0.0,0.05,1.7879799882933969,1.0739720891059263,0.6368150252133179,0.09758658109154923,0.35502389986464744,0.02171178513384305,0.0,0.008852588938547892,0.030604346626781662,0.001475535630939429,0.0,0.21202001170660312,0.14300388815804432,0.5938883604817979,0.3521479143549795,0.05396372516322258,4.01402183989895,0.05396372516322258,0.0280436797978991,0.6087713454154188,0.04403740283688365,0.0007377678154697145,0.7141560138144939,0.6277570865933404,0.02171178513384305,0,0.12129210302420128,0.04536395434120092,0.0,0.8553935571596221,0.0,-0.0435969416310332,0.0280436797978991,0.6087713454154188,0.2926455803882143,0.2797582290762249,0.2926455803882143,2.1242931311504263,,,0.2257628181063613,0.33044205934837734,0.33044205934837734,0.066882762281853,6,6,13.0,1435.15
7,49.4,4.09,15.8,13.2,0.13,3.47,6.4,3.72,1.24,0.0,0.85,1.7199999999999989,0.0,0.0,0.0,0.0,0.5505796283107275,0.05765423443272131,0.0012272178645512727,0.12303342514449604,0.07642690974456429,0.10377128531138025,0.040193263567461474,0.008815428338504601,0.03428830140358972,0.004010305882003717,0.0,0.47595457565184374,0.04983983291962845,0.0010608818923195206,0.10635758870212553,0.06606807721430386,0.179412442907714,0.06949101173252074,0.015241186699607664,0.029640896802592596,0.006933505477343804,0.0,0.3190750445440336,0.3190750445440336,47.3,1.78,8.86,14.1,0.22,12.9,13.1,1.14,0.0,0.03,1.7812460715340797,0.7242041924762226,0.4440561461337861,0.5285757208601558,0.3932361323643575,0.08323668345938355,0.0,0.007017308773174887,0.05042109290762019,0.0008931750646875368,0.0,0.21875392846592034,0.17448220389843716,0.42679679538538023,0.26169655203605363,0.3115066525785662,4.012886523573468,0.3115066525785662,0.025773047146938836,0.41828309898684723,0.05804006401292751,0.0004465875323437684,0.29553381754916075,0.6198917938578844,0.08323668345938355,0,0.09124552043905361,0.06375420401343337,0.37312940887532503,0.3975654648673418,0.37312940887532503,0.22992174048859693,0.025773047146938836,0.41828309898684723,0.2873326286116984,0.27065582445407266,0.2873326286116984,3.383424431519558,-1.6893154511012807,-1.6893154511012807,0.22429987365756648,0.3190750445440336,0.3190750445440336,0.06303275495413191,7,7,13.0,1433.15
8,48.6,3.49,15.5,14.0,0.12,2.96,6.44,3.14,1.46,0.0,1.38,2.9099999999999966,0.0,0.0,0.0,0.0,0.5520150984709707,0.05012044795481676,0.0011544657692868865,0.13298379333353735,0.0783743028796803,0.1037464643659685,0.03457494334060945,0.01057781794014884,0.029817387417528377,0.006635278527452797,0.0,0.4777140764528506,0.04337425474857292,0.0009990751164215066,0.11508422539799126,0.06782515156108791,0.17956445954872202,0.05984233826980176,0.018308095347976547,0.025803978427141674,0.011484345129433934,0.0,0.2737196671409498,0.2737196671409498,48.8,1.4,7.59,16.4,0.22,12.7,12.3,0.85,0.0,0.02,1.8301719167705,0.7100424788542261,0.5143655894929405,0.4942541365453679,0.33548318402600275,0.06180706601921009,0.0,0.006988434078064282,0.03949385929784527,0.0005929998960665743,0.0,0.16982808322950005,0.1656551007965027,0.4131367274109714,0.29928253965711843,0.2875807329319102,3.993199664980223,0.28758073293191017,0.0,0.5143655894929405,0.0,0.00029649994803328716,0.3556208916861075,0.5798985917830394,0.06180706601921009,0,0.1038480347772926,0.032990024226103726,0.3571195775939383,0.4336442453766141,0.3571195775939383,0.2059207327800337,-0.01360067003954966,0.5279662595324902,0.2730258717660292,0.2730258717660292,0.2730258717660292,3.2270110996973638,-1.753874942762027,-1.753874942762027,0.2168611380716453,0.2737196671409498,0.2737196671409498,0.056164733694383906,8,8,13.0,1403.15
9,51.0,4.27,16.4,12.6,0.26,4.22,6.71,3.57,1.03,0.14,0.87,0.0,0.0,0.0,0.0,0.0,0.550425485924664,0.0678968075986063,0.0023767682283770248,0.11372472557515001,0.07759326289031031,0.10430355866413933,0.03735198755828241,0.007090781908365784,0.03466456122256538,0.003974779078432707,0.000597281351106823,0.47725371535240424,0.05887082723389248,0.0020608084046452382,0.09860653112200106,0.06727826735440245,0.18087556688372955,0.06477307208273758,0.012296312932662274,0.030056367405913567,0.006892769798623212,0.0010357614289882291,0.3738289519708288,0.3738289519708288,48.26,1.35,9.69,14.9,0.25,14.1,9.52,1.14,0.0,0.06,1.8013037249291697,0.7845620331436081,0.46509523698689126,0.3807235262272993,0.42626563509946697,0.08249955733583478,0.0,0.00790359659040416,0.037902064989855794,0.0017705305977522207,0.0,0.19869627507083032,0.22756936002863665,0.4812139807438154,0.28526785768447116,0.2335181615717135,3.988025905900282,0.2335181615717135,0.0,0.46509523698689126,0.0,0.0008852652988761104,0.39975502086659165,0.6278139595971569,0.08249955733583478,0,0.14506980269280187,0.026813236189014225,0.2079552220466071,0.5208510240419462,0.2079552220466071,0.1297382704323019,-0.02394818819943533,0.4890434251863266,0.3539232241359902,0.3539232241359902,0.3539232241359902,3.4312629878797156,-1.025110177946125,-1.025110177946125,0.22577339648507116,0.3738289519708288,0.3738289519708288,0.12814982765091903,9,9,16.0,1488.15
