,SiO2_Amp,TiO2_Amp,Al2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,Cr2O3_Amp,F_Amp,Cl_Amp,Sample_ID_Amp
0,42.43,2.5,12.97,7.8,0.09,15.56,11.21,2.41,1.61,0.31,0.0,0.0,0
1,41.19,2.62,12.25,9.44,0.11,15.67,11.54,2.44,1.4,0.1,0.0,0.0,1
2,45.69,1.44,9.64,13.37,0.21,14.57,10.72,1.76,0.23,0.0,0.0,0.0,2
3,45.56,1.43,10.4,12.27,0.21,15.15,11.03,1.89,0.25,0.0,0.0,0.0,3
4,45.65,1.55,10.78,13.3,0.21,14.21,10.81,1.89,0.27,0.0,0.0,0.0,4
5,44.9,1.55,10.9,8.7,0.0,16.6,11.18,2.1,0.4,0.0,0.0,0.0,5
6,46.24,1.27,10.03,10.1,0.32,16.3,11.72,1.78,0.19,0.0,0.0,0.0,6
7,47.08,1.31,9.24,13.9,0.45,13.22,10.13,1.75,0.22,0.0,0.0,0.0,7
8,45.28,2.03,9.06,13.99,0.2,13.5,10.91,2.17,0.38,0.0,0.0,0.0,8
9,41.6,1.66,14.54,11.94,0.15,13.59,10.11,2.77,1.08,0.0,0.0,0.0,9
10,42.25,2.17,13.72,8.8,0.11,15.95,10.75,2.74,1.06,0.0,0.0,0.0,10
11,43.42,2.59,11.89,8.06,0.12,16.73,10.67,3.05,1.15,0.0,0.0,0.0,11
12,39.98,6.37,13.11,11.06,0.16,12.57,11.23,2.81,1.2,0.0,0.0,0.0,12
13,41.89,2.91,12.25,12.21,0.16,13.89,10.42,2.99,0.85,0.0,0.0,0.0,13
14,43.8,1.87,11.9,12.2,0.14,14.1,11.2,2.17,0.33,0.0,0.0,0.0,14
15,42.0,2.65,12.2,15.0,0.31,12.2,10.7,2.31,0.37,0.0,0.0,0.0,15
16,41.9,1.75,12.9,12.2,0.22,13.4,11.5,2.15,0.33,0.0,0.0,0.0,16
17,45.53,1.77,9.41,14.87,0.44,12.87,11.8,1.56,0.17,0.0,0.0,0.0,17
