,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
0,51.2,0.33,7.25,5.89,0.16,17.7,17.5,0.44,0.0,0.0,0
1,50.5,0.55,7.06,5.25,0.13,16.5,18.9,0.33,0.0,0.0,1
2,50.2,0.63,6.75,6.36,0.2,15.6,19.2,0.26,0.0,0.0,2
3,50.7,0.64,6.1,7.5,0.18,16.5,17.6,0.36,0.0,0.0,3
4,52.1,0.36,2.75,13.8,0.37,18.1,12.1,0.38,0.0,0.0,4
5,51.3,0.53,3.75,17.1,0.53,20.2,5.98,0.13,0.0,0.0,5
6,50.7,0.52,1.95,24.0,0.76,16.3,5.34,0.13,0.0,0.0,6
7,51.2,0.64,5.53,14.8,0.46,21.5,5.66,0.18,0.0,0.0,7
8,52.0,0.67,5.18,10.7,0.33,18.9,11.8,0.06,0.0,0.0,8
9,51.9,0.5,4.57,16.8,0.46,20.9,5.8,0.18,0.0,0.0,9
10,49.6,0.7,3.63,18.3,0.65,15.3,11.1,0.33,0.0,0.0,10
11,52.0,0.61,2.24,24.0,0.78,16.9,4.94,0.16,0.0,0.0,11
12,50.9,0.98,2.35,17.9,0.45,15.8,11.3,0.24,0.0,0.0,12
13,51.8,0.43,1.76,11.3,0.58,14.6,18.4,0.27,0.0,0.0,13
14,48.8,1.96,6.5,15.1,0.37,12.9,14.7,0.57,0.0,0.0,14
15,51.9,0.69,1.68,11.0,0.31,14.3,19.3,0.37,0.0,0.0,15
16,51.6,0.95,2.84,9.69,0.41,14.4,19.2,0.39,0.0,0.0,16
17,51.9,0.55,1.86,11.1,0.55,14.6,19.3,0.39,0.0,0.0,17
18,50.4,1.55,4.5,6.66,0.4,15.6,19.0,0.52,0.0,0.0,18
19,51.3,0.49,1.67,10.5,0.46,14.3,19.9,0.35,0.0,0.0,19
20,51.0,1.85,3.07,7.53,0.55,16.5,18.1,0.36,0.0,0.0,20
21,51.4,0.53,1.77,10.2,0.37,14.6,20.0,0.29,0.0,0.0,21
22,51.8,0.72,2.06,8.13,0.4,16.4,19.3,0.08,0.0,0.0,22
23,51.2,0.92,1.95,11.9,0.54,14.3,19.1,0.22,0.0,0.0,23
24,50.4,0.75,3.38,11.6,0.4,14.1,18.4,0.33,0.0,0.0,24
25,51.3,0.51,2.37,10.3,0.36,14.3,20.1,0.13,0.0,0.0,25
26,51.0,0.43,7.02,6.56,0.15,19.8,14.8,0.38,0.0,0.07,26
27,51.7,0.35,6.3,7.56,0.15,20.7,12.4,0.4,0.0,0.11,27
28,51.3,0.51,7.1,5.97,0.2,18.0,17.2,0.43,0.0,0.18,28
29,52.5,0.5,5.5,6.29,0.2,18.0,17.8,0.41,0.0,0.17,29
30,50.7,0.54,6.4,6.66,0.22,17.6,17.0,0.45,0.0,0.14,30
31,50.2,0.35,9.8,4.7,0.14,18.8,16.0,0.45,0.0,0.13,31
32,49.9,0.41,10.3,5.79,0.15,18.0,15.1,0.51,0.0,0.08,32
33,49.1,0.41,11.9,5.0,0.14,17.6,16.3,0.45,0.0,0.13,33
34,50.4,0.32,10.2,5.38,0.15,19.1,14.9,0.48,0.0,0.08,34
35,49.3,0.37,11.8,5.11,0.14,18.2,15.5,0.5,0.0,0.17,35
36,49.7,0.4,10.3,5.64,0.13,17.9,15.8,0.53,0.0,0.14,36
37,50.0,0.43,9.53,6.61,0.16,17.9,14.6,0.65,0.0,0.08,37
38,49.3,0.35,10.2,5.67,0.15,17.4,15.8,0.61,0.0,0.1,38
39,50.3,0.37,9.45,6.25,0.16,18.2,14.9,0.57,0.0,0.12,39
40,50.6,0.67,7.9,8.0,0.23,17.9,14.7,0.59,0.0,0.11,40
41,50.5,0.36,9.4,5.6,0.17,18.6,15.7,0.5,0.0,0.2,41
42,50.2,0.39,9.6,6.58,0.18,18.7,14.6,0.53,0.0,0.1,42
43,50.4,0.39,9.3,5.99,0.19,18.6,15.4,0.51,0.0,0.11,43
44,51.4,0.38,9.4,5.7,0.15,17.9,14.6,0.81,0.0,0.17,44
45,49.9,0.38,10.2,6.68,0.2,17.9,14.6,0.62,0.0,0.1,45
46,51.67,0.47,4.5,6.11,0.18,16.84,21.11,0.25,0.01,0.0,46
47,48.08,0.55,6.7,7.61,0.09,14.74,21.73,0.27,0.0,0.0,47
48,49.09,0.63,5.76,7.79,0.15,14.71,20.84,0.37,0.01,0.0,48
49,49.29,0.61,5.28,8.16,0.19,15.13,20.4,0.36,0.01,0.0,49
50,49.38,0.6,5.28,8.17,0.2,15.28,20.3,0.35,0.01,0.0,50
51,49.49,0.64,5.88,6.75,0.28,15.2,21.22,0.32,0.0,0.0,51
52,51.36,0.46,4.01,6.4,0.19,15.18,21.97,0.29,0.01,0.0,52
53,49.36,0.76,5.18,7.89,0.25,15.59,20.16,0.36,0.0,0.0,53
54,49.53,0.87,5.74,8.58,0.2,15.09,18.89,0.39,0.01,0.0,54
55,48.57,0.76,6.19,7.54,0.19,15.63,20.5,0.32,0.01,0.0,55
56,49.27,0.86,5.15,7.41,0.25,15.66,20.58,0.34,0.0,0.0,56
57,50.46,0.93,4.47,7.15,0.3,15.67,20.19,0.4,0.0,0.0,57
58,50.1,1.0,4.51,7.83,0.23,15.7,19.72,0.42,0.0,0.0,58
59,48.42,1.06,5.61,8.98,0.27,14.65,20.12,0.45,0.02,0.0,59
60,51.11,0.73,3.87,8.21,0.3,17.01,17.78,0.42,0.02,0.0,60
61,51.21,0.82,3.82,9.78,0.35,16.98,16.66,0.42,0.01,0.0,61
62,47.92,1.12,5.54,8.2,0.18,14.07,22.64,0.37,0.01,0.0,62
63,48.34,1.25,5.39,7.78,0.28,15.21,20.48,0.46,0.0,0.0,63
64,49.91,0.99,4.75,8.06,0.41,15.16,19.93,0.59,0.02,0.0,64
65,49.83,0.87,3.73,7.42,0.47,15.75,19.43,0.41,0.03,0.0,65
66,48.22,1.43,6.76,6.59,0.26,14.26,22.71,0.41,0.01,0.0,66
67,51.5,0.51,4.9,6.33,0.14,16.31,20.63,0.33,0.01,0.0,67
68,51.27,0.49,4.85,6.36,0.18,14.99,20.8,0.22,0.01,0.0,68
69,52.47,0.59,4.88,6.94,0.16,15.6,20.49,0.31,0.01,0.0,69
70,50.54,0.67,4.86,8.42,0.24,15.22,19.18,0.33,0.02,0.0,70
71,50.97,0.65,6.02,6.48,0.12,15.0,20.39,0.28,0.02,0.0,71
72,49.67,0.75,5.5,7.77,0.18,15.12,21.05,0.21,0.01,0.0,72
73,50.55,0.74,4.81,8.41,0.19,15.46,19.82,0.29,0.01,0.0,73
74,50.37,0.84,4.95,8.94,0.23,14.91,19.39,0.34,0.01,0.0,74
75,48.9,1.17,6.52,7.1,0.13,14.26,21.78,0.21,0.0,0.0,75
76,50.43,0.89,4.75,8.25,0.25,14.92,20.21,0.25,0.01,0.0,76
77,49.73,1.23,6.49,9.07,0.2,13.6,18.02,0.22,0.02,0.0,77
78,51.01,1.17,5.67,8.48,0.2,13.44,18.88,0.4,0.03,0.0,78
79,51.1,0.62,3.6,10.6,0.29,15.49,17.84,0.13,0.02,0.0,79
80,50.4,1.33,4.32,10.87,0.0,16.25,17.25,0.37,0.03,0.0,80
81,49.83,1.57,5.5,9.48,0.0,15.19,18.94,0.6,0.03,0.0,81
82,47.99,1.84,6.07,9.04,0.0,14.46,20.73,0.49,0.03,0.0,82
83,50.23,1.55,4.09,10.29,0.0,16.31,18.23,0.44,0.03,0.0,83
84,50.99,1.31,3.56,11.28,0.0,16.14,17.33,0.44,0.02,0.0,84
85,47.52,1.95,6.66,8.63,0.0,13.72,20.8,0.46,0.03,0.0,85
86,46.3,2.13,6.94,8.69,0.0,13.38,21.17,0.46,0.02,0.0,86
87,48.85,1.4,5.05,8.0,0.0,14.47,21.29,0.36,0.01,0.0,87
88,51.06,1.65,4.22,10.62,0.0,14.9,18.72,0.3,0.02,0.0,88
89,51.74,1.47,2.99,10.85,0.0,15.17,18.63,0.25,0.01,0.0,89
90,49.16,1.81,5.07,10.36,0.0,14.82,19.08,0.34,0.01,0.0,90
91,50.31,1.5,3.52,12.11,0.0,14.82,17.72,0.32,0.01,0.0,91
92,50.16,1.7,4.23,13.06,0.0,13.48,17.44,0.4,0.04,0.0,92
93,48.24,2.57,6.88,9.84,0.0,13.14,20.74,0.42,0.03,0.0,93
94,49.55,2.11,5.6,11.44,0.0,14.08,18.09,0.46,0.03,0.0,94
95,47.98,2.97,6.94,13.21,0.0,13.96,17.28,0.5,0.04,0.0,95
96,46.52,2.51,6.7,8.82,0.0,13.2,21.4,0.37,0.02,0.0,96
97,49.93,1.53,4.71,11.3,0.0,13.43,18.8,0.39,0.04,0.0,97
98,48.65,1.92,5.62,8.74,0.0,13.61,21.16,0.31,0.02,0.0,98
99,49.41,1.61,4.23,12.89,0.0,13.82,17.6,0.36,0.04,0.0,99
100,52.68,1.06,2.54,7.52,0.0,17.3,19.44,0.26,0.03,0.0,100
101,51.51,1.45,3.52,10.11,0.0,14.97,18.91,0.3,0.04,0.0,101
102,51.48,1.75,4.37,10.4,0.0,14.44,18.18,0.4,0.05,0.0,102
103,50.44,1.45,4.15,8.15,0.0,14.73,20.79,0.26,0.05,0.0,103
104,49.92,1.99,4.68,10.63,0.0,13.53,18.68,0.4,0.05,0.0,104
105,50.56,1.93,3.83,11.21,0.0,13.33,18.85,0.35,0.03,0.0,105
106,47.25,2.4,6.7,8.91,0.0,13.17,21.16,0.4,0.08,0.0,106
107,50.97,1.16,3.95,13.29,0.0,11.93,18.08,0.46,0.01,0.0,107
108,50.21,1.25,2.95,13.79,0.0,12.83,18.53,0.28,0.06,0.0,108
109,47.24,2.64,6.4,9.1,0.0,12.83,21.5,0.28,0.01,0.0,109
